ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado
20555757469,AVOCADO PACKING COMPANY S.A.C.,AVOCADO PACKING COMPANY,98877412.258,58163040.15,6558,2,10,11,58163.04015,514162543.74160004
20340584237,CAMPOSOL S.A.,CAMPOSOL,96022253.054,35583105.405,2967,5,10,28,35583.105405,499315715.88080007
20131495006,PERALES HUANCARUNA S.A.C.,PERALES HUANCARUNA,81666033.17,12816790.0,206,1,10,22,12816.79,424663372.48399997
20461642706,AGRICOLA CERRO PRIETO S.A.,AGRICOLA CERRO PRIETO,73746238.717,29141672.123,1646,3,10,24,29141.672123,383480441.32839996
20451899881,PROCESADORA LARAN SAC,PROCESADORA LARAN,68885799.027,47981137.374,2725,5,10,25,47981.137374,358206154.9404
20170040938,DANPER TRUJILLO S.A.C.,DANPER TRUJILLO,62818045.897,23550310.419,1891,9,10,20,23550.310419,326653838.66440004
20501923428,CONSORCIO DE PRODUCTORES DE FRUTA S.A.,CONSORCIO DE PRODUCTORES DE FRUTA,60957899.83,41086965.224,2009,3,10,24,41086.965224,316981079.116
20500985322,MACHU PICCHU FOODS S.A.C.,MACHU PICCHU FOODS,57471490.158,8401736.433,616,6,10,23,8401.736433,298851748.8216
20505688903,AGRICOLA ANDREA S.A.C.,AGRICOLA ANDREA,54281110.268,12461433.5,967,2,10,15,12461.4335,282261773.3936
20325117835,SOCIEDAD AGRICOLA DROKASA S.A.,SOCIEDAD AGRICOLA DROKA,50475656.704,19956485.46,1231,2,10,15,19956.48546,262473414.8608
20547669046,EXPORTADORA EL PARQUE PERU SAC,EXPORTADORA EL PARQUE PERU,45741158.93,24196909.618,4083,2,10,14,24196.909618,237854026.43600002
20614389941,VIRU AVOCADO S.A,VIRU AVOCADO,45324922.748,23819237.0,1073,1,10,10,23819.237,235689598.28960004
20336183791,EL PEDREGAL S.A,EL PEDREGAL,42134348.013,15273249.0,1035,2,10,13,15273.249,219098609.66759998
20600876491,WESTFALIA FRUIT PERÚ S.A.C.,WESTFALIA FRUIT PERÚ,38043033.941,21002674.94,993,3,10,18,21002.67494,197823776.4932
20411808972,AGRICOLA PAMPA BAJA S.A.C.,AGRICOLA PAMPA BAJA,33223397.491,18414304.28,903,3,10,22,18414.30428,172761666.9532
20473159644,CAFETALERA AMAZONICA S.A.C.,CAFETALERA AMAZONICA,32436019.044999998,6416236.2,60,2,10,8,6416.2362,168667299.03399998
20297939131,COMPLEJO AGROINDUSTRIAL BETA S.A.,COMPLEJO AGROINDUSTRIAL BETA,31142145.872,15034781.041,1248,5,10,25,15034.781040999998,161939158.5344
20131565659,TAL S A,TAL S A,30749719.193,15979654.828,814,3,10,18,15979.654828,159898539.8036
