ruc,razon_social,nombre_limpio,fob_usd,peso_kg,operaciones,partidas,semanas_activo,paises,toneladas,fob_anualizado,rubro,uso_dual
20131016639,ORICA MINING SERVICES PERU S.A.,ORICA MINING SERVICES PERU,21313097.131,35486150.0,10,3,4,5,35486.15,110828105.08120002,Otro,True
20506453047,CHEMTRADE S.A.C.,CHEMTRADE,16514669.235,30351950.0,11,3,6,6,30351.95,85876280.022,Fertilizantes,True
20524269440,MACROSOURCE PERÚ SOCIEDAD COMERCIAL DE R,MACROSOURCE PERÚ SOCIEDAD COMERCIAL DE R,14805059.87,26279770.0,28,3,10,9,26279.77,76986311.324,Fertilizantes,True
20602237525,INKA AGRI-RESOURCES S.A.C.,INKA AGRI-RESOURCES,14463928.736,29810550.0,33,3,5,4,29810.55,75212429.4272,Fertilizantes,True
20257364357,MOLINOS & CIA S.A.,MOLINOS & CIA,14217450.211,24070440.0,26,3,9,3,24070.44,73930741.0972,Fertilizantes,True
20601647649,EQUILIBRA PERU S.A,EQUILIBRA PERU,13970671.969,24868030.0,50,9,10,14,24868.03,72647494.2388,Fertilizantes,True
20100094135,EXSA S A,EXSA S A,12091584.728,21746300.0,25,3,8,5,21746.3,62876240.5856,Fertilizantes,True
20307150981,TECNOLOGIA QUIMICA Y COMERCIO S.A.,TECNOLOGIA QUIMICA Y COMERCIO,10791096.08,369369.43,114,3,10,13,369.36942999999997,56113699.616,Agroquimicos,False
20100193117,YARA PERU S.R.L.,YARA PERU,10291738.87,17680534.0,47,3,8,6,17680.534,53517042.12399999,Fertilizantes,True
20100112214,FAMESA EXPLOSIVOS S.A.C.,FAMESA EXPLOSIVOS,7533938.058,11986500.0,65,3,10,5,11986.5,39176477.901599996,Fertilizantes,True
20516596946,ADAMA AGRICULTURE PERU S.A.,ADAMA AGRICULTURE PERU,6942282.791,679488.4,65,4,9,10,679.4884000000001,36099870.5132,Agroquimicos,True
20483919159,CERES PERU SOCIEDAD ANONIMA,CERES PERU,6303911.1,11843000.0,8,3,5,5,11843.0,32780337.72,Fertilizantes,True
20100096341,BAYER S.A.,BAYER,6146827.93,276691.08,76,2,10,11,276.69108,31963505.235999998,Agroquimicos,False
20330791501,QUIMPAC S.A.,QUIMPAC,5856840.0,34800000.0,1,1,1,1,34800.0,30455568.0,Fertilizantes,False
20100141583,FARMEX S A,FARMEX S A,4478671.678,515070.867,60,2,10,11,515.070867,23289092.725600004,Agroquimicos,False
20134294303,MAXAM PERU S.A.C.,MAXAM PERU,4191429.738,8006800.0,4,2,3,3,8006.8,21795434.637599997,Fertilizantes,True
20101637221,HORTUS S A,HORTUS S A,3226682.312,718763.8,88,2,10,6,718.7638000000001,16778748.0224,Agroquimicos,False
20502344367,POINT ANDINA S.A.,POINT ANDINA,2814785.819,223838.242,56,1,10,4,223.838242,14636886.2588,Agroquimicos,False
20191503482,SILVESTRE PERU S.A.C.,SILVESTRE PERU,2680245.387,577682.871,104,3,10,7,577.6828710000001,13937276.012400001,Agroquimicos,False
20100257298,ARIS INDUSTRIAL S.A.,ARIS INDUSTRIAL,2460347.1380000003,311256.12,23,1,7,3,311.25612,12793805.117600001,Agroquimicos,False
20498412727,AGP SOCIEDAD ANONIMA CERRADA,AGP,2368089.111,584028.2660000001,102,1,10,10,584.028266,12314063.3772,Semillas,False
20262786511,DROKASA PERU S.A.,DROKASA PERU,2185123.587,701048.3,60,2,7,7,701.0483,11362642.652399998,Agroquimicos,False
20514184331,INTEROC SOCIEDAD ANONIMA,INTEROC,2086352.926,418059.381,49,4,10,4,418.059381,10849035.2152,Agroquimicos,True
20251357413,E & M S.R.L.,E & M,1828845.23,2670300.0,10,3,5,4,2670.3,9509995.195999999,Fertilizantes,True
20549455078,NEXXT SAC,NEXXT,1706327.04,255949.0,43,1,5,1,255.949,8872900.608,Agroquimicos,False
20600174020,"SUMMIT AGRO SOUTH AMERICA SPA, SUCURSAL","SUMMIT AGRO SOUTH AMERICA SPA, SUCURSAL",1666598.1090000002,150089.21000000002,11,1,5,5,150.08921,8666310.1668,Agroquimicos,False
20100180210,FARMAGRO S A,FARMAGRO S A,1652858.699,535117.32,56,3,9,5,535.11732,8594865.2348,Agroquimicos,False
20392664310,SQM COMERCIAL PERÚ S.A.C.,SQM COMERCIAL PERÚ,1648547.71,2559000.0,10,3,6,3,2559.0,8572448.092,Fertilizantes,True
20603105894,RAINBOW PERÚ S.A.C.,RAINBOW PERÚ,1639845.069,253624.84,92,2,4,2,253.62484,8527194.3588,Agroquimicos,False
20509089923,NEOAGRUM S.A.C.,NEOAGRUM,1571132.319,379134.6,65,3,10,2,379.1346,8169888.058799999,Agroquimicos,False
20610852743,AG TEN SOCIEDAD ANONIMA CERRADA,AG TEN,1559992.5,205783.0,16,1,3,2,205.783,8111961.0,Agroquimicos,False
20100006376,BASF PERUANA S A,BASF PERUANA S A,1514022.17,107705.52,21,1,6,5,107.70552,7872915.284,Agroquimicos,False
20513481927,SOLUCIONES TECNICAS DEL AGRO S.A.C.,SOLUCIONES TECNICAS DEL AGRO,1445987.24,959053.3,23,4,8,6,959.0533,7519133.647999999,Agroquimicos,True
20535703214,AVGUST PERU S.A.C.,AVGUST PERU,1320979.326,188188.87099999998,51,2,9,4,188.18887099999998,6869092.4952,Agroquimicos,False
20100316138,SERVICIOS Y FORMULACIONES INDUSTRIALES S,SERVICIOS Y FORMULACIONES INDUSTRIALES S,1302374.5050000001,157880.8,20,3,8,8,157.8808,6772347.426,Agroquimicos,False
20512122311,FERTILIZANTES DEL SUR SOCIEDAD ANONIMA C,FERTILIZANTES DEL SUR SOCIEDAD ANONIMA C,1193417.5,2296050.0,16,2,7,5,2296.05,6205771.0,Fertilizantes,True
20507141791,DISAN PERU S.A,DISAN PERU,1137158.616,1732652.0,29,5,9,7,1732.652,5913224.803199999,Fertilizantes,False
20530897983,PERU PRODUCTOS AGRICOLAS SAC,PERU PRODUCTOS AGRICOLAS,1108773.88,498485.405,38,3,7,5,498.485405,5765624.176,Agroquimicos,False
20391043851,ASOCIACION DE PRODUCTORES DE CITRICOS DE,ASOCIACION DE PRODUCTORES DE CITRICOS DE,1106512.87,390386.8,48,3,7,5,390.3868,5753866.924000001,Agroquimicos,False
20554708049,CROP BUSINESS S.A.C.,CROP BUSINESS,1054753.328,183798.18,28,2,7,3,183.79818,5484717.305600001,Agroquimicos,False
20464265504,FERROSALT S.A.,FERROSALT,1015482.0,1310200.0,7,2,4,3,1310.2,5280506.399999999,Fertilizantes,False
