ubigeo,fob,kg,ops,empresas,familia_lider,pct_lider,mes_pico,dep,prov,dist,lat,lon,ha_agricola,h3,h3_ter,hub,horas_al_hub,cubierto_2h,km_al_nodo,promesa_h,cubierto_promesa,fob_mm,cluster
131201,1894466471.03,611264349.31,60244,68,"Arándano, fresa y otras bayas",40.9,Oct,LA LIBERTAD,VIRU,VIRU,-8.428038507437456,-78.77410531737496,28716.847871771202,858f5ecffffffff,868f5ece7ffffff,Huamachuco,3.462921808973969,False,0.1321788871181251,4.0,True,1894.5,12.0
110108,1604005088.46,988508931.72,60620,198,Uva,61.0,Ene,ICA,ICA,SALAS,-13.944405358799964,-75.84350364639997,21741.258480942644,858e458ffffffff,868e458f7ffffff,Pisco,0.7986222046432881,True,0.9159394915515324,4.0,True,1604.0,
131202,1602141969.62,352094757.77,32609,51,"Arándano, fresa y otras bayas",84.6,Oct,LA LIBERTAD,VIRU,CHAO,-8.531563946888834,-78.59765777899996,18214.087161109797,858f5e1bfffffff,868f5e1a7ffffff,Huamachuco,3.8768597654323984,False,5.599994692013438,4.0,True,1602.1,12.0
140308,1598639664.89,648987613.61,35804,118,"Arándano, fresa y otras bayas",60.8,Oct,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.950887123666614,-79.95120309099997,56369.2285732649,858f56bbfffffff,868f56ba7ffffff,Chiclayo,2.4789393259472603,False,5.152662589819636,4.0,True,1598.6,
200104,1343000628.98,529331700.82,36180,62,Uva,85.0,Nov,PIURA,PIURA,CASTILLA,-5.1062157147499505,-80.52711383199997,13867.686602814592,858f0947fffffff,868f09447ffffff,Chiclayo,3.031376268275753,False,6.4332827409046685,4.0,True,1343.0,
060801,1213879595.39,277756963.91,9256,147,Café,98.3,Oct,CAJAMARCA,JAEN,JAEN,-5.77777052999996,-78.8564451898333,20173.010598625893,858f54affffffff,868f54ad7ffffff,Chiclayo,6.138677699620201,False,0.3747004655479719,6.0,False,1213.9,
200114,1177425390.4,650749292.68,38576,357,"Palta, mango, dátil y piña",50.5,Dic,PIURA,PIURA,TAMBO GRANDE,-4.8628883712499515,-80.2997042673333,66427.85911451193,858f091bfffffff,868f09187ffffff,Chiclayo,3.792121067593454,False,1.1519931058717734,4.0,True,1177.4,17.0
130107,1000532669.34,710523979.91,28360,37,Alimento balanceado,63.2,May,LA LIBERTAD,TRUJILLO,MOCHE,-8.15966629549996,-79.00172043149996,1699.3194654259587,858f53affffffff,868f53acfffffff,Huamachuco,2.8275160611749337,False,0.1905385395277695,4.0,True,1000.5,2.0
070101,762604735.95,351738990.87,24174,227,Café,37.0,Set,CALLAO,CALLAO,CALLAO,-12.016749225999945,-77.12113309199998,0.0,858e62c3fffffff,868e62c17ffffff,Pisco,3.1418682698176448,False,0.9035825291978106,4.0,True,762.6,
130402,740093200.79,270327625.96,16779,46,"Arándano, fresa y otras bayas",44.4,Nov,LA LIBERTAD,CHEPEN,PACANGA,-7.118824663166625,-79.46094220733329,21153.673297265734,858f5077fffffff,868f50777ffffff,Chiclayo,0.8294184450246733,True,2.0695499053598456,4.0,True,740.1,4.0
150101,650641541.16,335840874.17,52563,363,Galletas y panadería,62.3,Oct,LIMA,LIMA,LIMA,-12.044540457999972,-77.05082250599997,0.0,858e62c3fffffff,868e62c07ffffff,Pisco,2.985987507007016,False,0.0087904948250752,4.0,True,650.6,
150125,631853975.76,184400408.42,13443,116,Cacao en grano,45.9,Ago,LIMA,LIMA,PUENTE PIEDRA,-11.870821251999956,-77.08703975999995,142.78464608021034,858e62d3fffffff,868e62d07ffffff,Pisco,3.358801603648442,False,0.0763377321125259,4.0,True,631.9,
110202,611048359.47,337388916.39,19238,50,Cítricos,29.9,Jul,ICA,CHINCHA,ALTO LARAN,-13.439829823777732,-76.05278446244441,4455.974338552634,858e6363fffffff,868e63637ffffff,Pisco,0.8588220015941723,True,1.6306743194145,4.0,True,611.0,
200601,601890060.57,397436862.54,23967,209,Uva,29.7,Nov,PIURA,SULLANA,SULLANA,-4.8364109005555065,-80.57625466399996,26279.2568743192,858f0953fffffff,868f0952fffffff,Chiclayo,3.905464854940087,False,1.341691469660946,4.0,True,601.9,17.0
110501,595723792.38,108093348.44,9125,45,Manteca de cacao,44.3,Oct,ICA,PISCO,PISCO,-13.701264309666612,-76.17995265733329,1120.6328718759803,858e45d3fffffff,868e45d07ffffff,Pisco,0.071812848165409,True,0.7132364846056163,4.0,True,595.7,1.0
150601,531391894.5,352849937.54,20584,370,"Palta, mango, dátil y piña",57.7,Jul,LIMA,HUARAL,HUARAL,-11.426808909499954,-77.16120348124996,12480.776057805884,858e664ffffffff,868e664c7ffffff,Pisco,4.594466507100387,False,2.165321517748151,4.0,False,531.4,
150118,530555435.92,254337797.42,18109,157,Preparaciones de harina y malta,27.9,Ago,LIMA,LIMA,LURIGANCHO,-11.963301258499948,-76.81614178249997,577.9697681388598,858e629bfffffff,868e6299fffffff,Pisco,3.386978134841757,False,1.334960222867339,4.0,True,530.6,
150103,493566720.27,157223083.69,22089,188,Café,58.7,Set,LIMA,LIMA,ATE,-12.04034159349996,-76.90482929099994,0.0,858e62d7fffffff,868e62c67ffffff,Pisco,3.115832114906666,False,0.1390079859043846,4.0,True,493.6,
150119,415263560.14,148466694.61,22496,185,Quinua y cereales andinos,17.5,Jul,LIMA,LIMA,LURIN,-12.243244325666637,-76.86513057833328,2091.17506917515,858e6213fffffff,868e62117ffffff,Pisco,2.635010664079632,False,0.5184560223857252,4.0,True,415.3,-1.0
130109,402994749.24,131132094.85,10532,31,"Arándano, fresa y otras bayas",39.5,Nov,LA LIBERTAD,TRUJILLO,SALAVERRY,-8.224594965999955,-78.93221415799997,7338.939048451444,858f5edbfffffff,868f5ed87ffffff,Huamachuco,2.9923400561089992,False,1.504712040668297,4.0,True,403.0,
150605,399389817.55,205002841.95,12158,127,"Palta, mango, dátil y piña",32.4,Nov,LIMA,HUARAL,CHANCAY,-11.524083201999948,-77.2758532423333,5049.740945016605,858e75b3fffffff,868e75b0fffffff,Pisco,4.117161736243854,False,0.3768301798181324,4.0,False,399.4,24.0
110110,397568329.41,162056291.71,32595,48,Uva,76.1,Dic,ICA,ICA,SAN JUAN BAUTISTA,-13.993925760399952,-75.73599404579996,2218.6887096848463,858e458ffffffff,868e458efffffff,Pisco,1.1494248715528756,True,0.3575838785097427,4.0,True,397.6,6.0
150204,392937390.41,131941573.37,8852,60,"Arándano, fresa y otras bayas",40.2,Ago,LIMA,BARRANCA,SUPE,-10.799342093249948,-77.62793257949997,11744.527806296926,858f5b3bfffffff,868f5b397ffffff,Pisco,5.899966546729845,False,2.3331774733776744,4.0,False,392.9,10.0
140304,380174317.88,152826110.44,15248,51,"Arándano, fresa y otras bayas",23.7,Oct,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,-6.3518526279999605,-79.79381142449996,18914.512077622196,858f50dbfffffff,868f50d97ffffff,Chiclayo,0.8427437033452945,True,1.004940874178157,4.0,True,380.2,
140101,356890041.49,119104836.3,3546,107,Café,77.3,Oct,LAMBAYEQUE,CHICLAYO,CHICLAYO,-6.778467846249953,-79.81662766524997,2471.9542297912367,858f5053fffffff,868f5051fffffff,Chiclayo,0.0945331181942098,True,0.578372172892923,4.0,True,356.9,4.0
110111,354794895.26,116102306.79,9292,41,"Arándano, fresa y otras bayas",48.2,Dic,ICA,ICA,SANTIAGO,-14.255783187526271,-75.67323701015785,16767.456136003628,858e45abfffffff,868e45a87ffffff,Pisco,1.484010468803,True,1.6140787550067537,4.0,True,354.8,6.0
150201,344935502.29,106763227.78,6569,92,Pimienta y ají,73.1,Nov,LIMA,BARRANCA,BARRANCA,-10.727300391166628,-77.7047406123333,7575.118649773781,858f5b0ffffffff,868f5b0c7ffffff,Pisco,5.703186276509092,False,0.5072326223741561,4.0,False,344.9,10.0
110101,326641662.22,224568227.91,12058,249,Tomate preparado,28.3,Dic,ICA,ICA,ICA,-14.140398188499972,-75.83562266299995,1759.5950848303714,858e4517fffffff,868e45157ffffff,Pisco,1.5481818226809014,True,3.712407508346944,4.0,True,326.6,
110103,317286476.67,106156244.46,8200,37,Uva,84.3,Dic,ICA,ICA,LOS AQUIJES,-14.08965448833329,-75.68863036816661,2204.613478999909,858e45bbfffffff,868e45b97ffffff,Pisco,1.3165041324698084,True,0.2162161143254975,4.0,True,317.3,6.0
200101,311479695.22,123859620.72,9553,216,Uva,24.3,Nov,PIURA,PIURA,PIURA,-5.115279066666612,-80.65308190899997,9063.440781113404,858f094ffffffff,868f094e7ffffff,Chiclayo,3.152193146801072,False,1.297343802970576,4.0,True,311.5,
110503,298963279.41,71644433.69,5385,16,Uva,50.0,Feb,ICA,PISCO,HUMAY,-13.747573368666622,-75.92711893966663,7339.125561552532,858e459bfffffff,868e4599fffffff,Pisco,0.8348711017771401,True,0.2610663724148478,4.0,True,299.0,1.0
120303,293606606.44,124870896.16,7256,168,"Jengibre, cúrcuma y especias",48.8,Ago,JUNIN,CHANCHAMAYO,PICHANAQUI,-10.98927795066662,-74.83262394833329,44154.623678013995,858e65d7fffffff,868e65d57ffffff,Satipo,0.7197304329867058,True,3.570302974012502,6.0,True,293.6,5.0
040520,291201859.86,119947007.11,8872,83,Uva,35.4,Dic,AREQUIPA,CAYLLOMA,MAJES,-16.355911164285665,-72.25542138499996,18405.43731732337,85b330d3fffffff,86b330d0fffffff,Juliaca,6.3999663442154064,False,0.5936220741871793,4.0,False,291.2,15.0
020801,284203332.88,144666144.94,11543,139,"Palta, mango, dátil y piña",70.3,Mar,ANCASH,CASMA,CASMA,-9.486941018999943,-78.24837464433331,6381.1925603890195,858f5a87fffffff,868f58497ffffff,Huamachuco,5.687702263055143,False,0.8109822443064041,4.0,False,284.2,
140307,275171160.13,138300228.19,9183,58,Frutas congeladas,29.3,Nov,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,-6.14811952324996,-79.69034406099995,16936.840092994367,858f56a7fffffff,868f56a67ffffff,Chiclayo,1.164680800637409,True,0.2178488273586303,4.0,True,275.2,
130201,269261239.13,276691485.98,2319,36,Azúcar de caña,53.6,Dic,LA LIBERTAD,ASCOPE,ASCOPE,-7.694241615999942,-79.08776584699999,4153.259818242715,858f5387fffffff,868f5386fffffff,Chiclayo,2.918438911137513,False,1.852571480497234,4.0,True,269.3,
110205,264701489.7,155970241.85,9158,93,"Palta, mango, dátil y piña",39.9,Jul,ICA,CHINCHA,EL CARMEN,-13.532068524066627,-76.09022220366663,10620.609733995158,858e636bfffffff,868e636afffffff,Pisco,0.775433317139597,True,2.4446111610284667,4.0,True,264.7,1.0
110102,242244504.95,69321302.35,5697,23,Uva,66.1,Dic,ICA,ICA,LA TINGUIÑA,-14.011633399999937,-75.69780896066662,2780.9966434731114,858e458ffffffff,868e45bb7ffffff,Pisco,1.3026689663743714,True,0.8411000716989758,4.0,True,242.2,6.0
200501,224198611.76,142760256.67,5226,80,Preparaciones alimenticias,45.2,Dic,PIURA,PAITA,PAITA,-5.167187442999932,-81.05541875299997,200.6817444584524,858f0b8ffffffff,868f0b8e7ffffff,Chiclayo,3.691541355096565,False,1.945522058333782,4.0,True,224.2,
110105,224023003.6,104083937.28,7568,21,Uva,37.3,Ene,ICA,ICA,PACHACUTEC,-14.16401067366663,-75.6794365243333,3099.4321933395017,858e45abfffffff,868e45b9fffffff,Pisco,1.4363177190365684,True,0.3075750195081597,4.0,True,224.0,6.0
230101,218751205.06,248656128.59,48786,265,Hortalizas preparadas,28.7,Oct,TACNA,TACNA,TACNA,-18.016258393999976,-70.39369989799997,4101.533424622475,85b30457fffffff,86b304547ffffff,Juliaca,8.501144108199792,False,9.110595015022662,4.0,False,218.8,-1.0
221005,201411456.83,169985482.4,2129,5,Aceite de palma,71.7,Oct,SAN MARTIN,TOCACHE,UCHIZA,-8.397130707499969,-76.39598311149996,26653.17231979304,858f5d9bfffffff,868f5d9afffffff,Bellavista,4.409558410888044,False,0.9241401649824724,6.0,True,201.4,
130205,192601157.07,46413824.14,8801,63,Hortalizas frescas (espárrago y otras),80.1,Ago,LA LIBERTAD,ASCOPE,PAIJAN,-7.731538622333289,-79.2955613383333,5526.188514090634,858f538ffffffff,868f538e7ffffff,Chiclayo,2.2084381107673683,False,0.5212759423035904,4.0,True,192.6,
070103,167416312.24,122874777.92,6801,14,Jugos de fruta,30.5,Jul,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,-12.042884683999944,-77.09041772499995,0.0,858e62c3fffffff,868e62c07ffffff,Pisco,3.081303896251987,False,0.1329034991914584,4.0,True,167.4,
250101,166931422.73,148220842.12,173,14,Aceite de palma,94.9,Feb,UCAYALI,CORONEL PORTILLO,CALLERIA,-8.195059035299959,-74.33146417789996,44005.387415029865,858f4c77fffffff,868f4c767ffffff,Tarma,10.21031730281616,False,28.4047442158102,6.0,False,166.9,
021201,161795124.94,33420575.2,5109,25,"Arándano, fresa y otras bayas",62.3,Set,ANCASH,HUAYLAS,CARAZ,-9.035460237999956,-77.77094787974997,7237.622086371043,858f58c3fffffff,868f58c0fffffff,Huamachuco,7.885530387933729,False,0.1134267229332671,6.0,False,161.8,
200401,158817321.94,78308781.3,5431,21,Uva,87.2,Nov,PIURA,MORROPON,CHULUCANAS,-5.093092845111057,-80.14107099688886,26338.685373567947,858f090ffffffff,868f09057ffffff,Chiclayo,3.3398388117523354,False,0.719349602985099,4.0,True,158.8,17.0
150512,156079117.46,33001233.85,3171,42,Semillas para siembra,43.0,Jul,LIMA,CAÑETE,QUILMANA,-12.956796703599958,-76.38260593479995,4888.200901226942,858e635bfffffff,868e635a7ffffff,Pisco,1.519170849868349,True,0.3925472902618004,4.0,True,156.1,13.0
200603,150952369.72,144010694.62,454,8,Alcohol etílico,93.8,Ago,PIURA,SULLANA,IGNACIO ESCUDERO,-4.848388903333283,-80.88554595616662,8512.077098978649,858f082ffffffff,868f082cfffffff,Chiclayo,3.6980128460136727,False,0.2955019199331752,4.0,True,151.0,
150108,149867707.81,67961894.77,8601,92,Jugos de fruta,21.9,May,LIMA,LIMA,CHORRILLOS,-12.192644506999956,-77.00588969799998,0.0,858e62cffffffff,868e62cefffffff,Pisco,2.697474065535012,False,0.2653071410396269,4.0,True,149.9,
110107,146886507.68,45287975.78,5853,69,Hortalizas frescas (espárrago y otras),50.5,Oct,ICA,ICA,PUEBLO NUEVO,-14.122794828399947,-75.69737394639998,1754.9245984147037,858e45bbfffffff,868e45b9fffffff,Pisco,1.339285009154203,True,0.4089483571635253,4.0,True,146.9,6.0
150115,129823462.36,51919041.96,29121,133,Salsas y condimentos,31.0,Jun,LIMA,LIMA,LA VICTORIA,-12.072332720999952,-77.01738574699993,0.0,858e62c3fffffff,868e62c0fffffff,Pisco,2.9229753854734013,False,0.1438247053205278,4.0,True,129.8,
110204,126610325.07,58850069.11,6664,36,Hortalizas preparadas,19.3,Ago,ICA,CHINCHA,CHINCHA BAJA,-13.491188230199947,-76.14861338299995,6652.67600142143,858e636bfffffff,868e636a7ffffff,Pisco,0.496138771383398,True,1.02648044799773,4.0,True,126.6,1.0
021207,123870216.53,19094139.02,2779,5,"Arándano, fresa y otras bayas",99.7,Set,ANCASH,HUAYLAS,PUEBLO LIBRE,-9.150892691999957,-77.81688835249997,4310.278568796921,858f58cffffffff,868f58cc7ffffff,Huamachuco,8.069638442878995,False,1.2740403462087366,6.0,False,123.9,
221003,123495709.03,28356369.0,278,3,Cacao en grano,99.9,Ago,SAN MARTIN,TOCACHE,POLVORA,-8.016862480999956,-76.75821921266663,46094.57648132636,858f437bfffffff,868f43797ffffff,Bellavista,3.011473608627837,False,9.825086343174004,6.0,True,123.5,
150205,119415336.6,26805813.71,1625,24,Pimienta y ají,73.3,Oct,LIMA,BARRANCA,SUPE PUERTO,-10.785247863999928,-77.72567981799995,880.5967583285515,858f5b0ffffffff,868f5b0dfffffff,Pisco,5.468398388428522,False,0.9937530470092104,4.0,False,119.4,10.0
150132,113422750.52,22073720.11,9228,124,Frutas preparadas,42.8,Set,LIMA,LIMA,SAN JUAN DE LURIGANCHO,-11.945962191999968,-76.97148873299994,5.571419295859967,858e62d7fffffff,868e62d57ffffff,Pisco,3.273203361965221,False,0.3327686731163986,4.0,True,113.4,
130206,111551110.36,20620561.43,3135,36,"Arándano, fresa y otras bayas",51.2,Oct,LA LIBERTAD,ASCOPE,RAZURI,-7.700197413999945,-79.37301609399995,12346.435907888193,858f538bfffffff,868f538f7ffffff,Chiclayo,2.269564420520857,False,0.4560733572599362,4.0,True,111.6,2.0
150140,110908120.06,32439484.7,12450,198,Preparaciones alimenticias,32.7,Oct,LIMA,LIMA,SANTIAGO DE SURCO,-12.126991046999931,-76.98430619899995,1.2640155827521895,858e62c7fffffff,868e62c57ffffff,Pisco,2.7775809233081263,False,0.2089836626878342,4.0,True,110.9,
110109,110560253.48,36803967.02,2351,18,Uva,76.3,Dic,ICA,ICA,SAN JOSE DE LOS MOLINOS,-13.912241466999944,-75.63583404174996,2906.6811026582577,858e4587fffffff,868e45847ffffff,Pisco,1.622596886870011,True,2.699692194288393,4.0,True,110.6,
130208,110163879.78,140346654.62,903,11,Alcohol etílico,54.2,Ago,LA LIBERTAD,ASCOPE,CASA GRANDE,-7.630586066999939,-79.19929836349996,13145.920218149655,858f5387fffffff,868f53877ffffff,Chiclayo,2.7254419988861174,False,3.8661444341526896,4.0,True,110.2,
150142,106944974.08,39109656.82,4112,70,"Productos vegetales diversos (tara, achiote)",25.9,May,LIMA,LIMA,VILLA EL SALVADOR,-12.219278058999976,-76.94527585299994,0.0,858e621bfffffff,868e621a7ffffff,Pisco,2.707063250927421,False,0.0766983521874138,4.0,True,106.9,
120606,105596217.36,35101181.33,1605,46,Cacao en grano,45.0,Set,JUNIN,SATIPO,PANGOA,-11.625696256714248,-74.37676050014282,58009.90894663609,858e6533fffffff,868e6530fffffff,Satipo,1.521814807026176,True,0.4237411071275192,6.0,True,105.6,
140301,104351439.29,72228277.38,3976,107,Hortalizas preparadas,30.9,Nov,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,-6.659179089166618,-79.90060426241662,20140.585825920123,858f5627fffffff,868f5624fffffff,Chiclayo,0.2625796671413165,True,0.6077043012428681,4.0,True,104.4,4.0
150810,98293266.31,25944383.82,4107,48,Legumbres frescas,33.7,Oct,LIMA,HUAURA,SANTA MARIA,-11.115008011333279,-77.47556169466662,3343.435077052044,858f5b2ffffffff,868f5b2dfffffff,Pisco,5.938192825361588,False,1.3032224886074275,4.0,False,98.3,
140102,97261983.9,39206530.02,2337,7,Uva,90.7,Nov,LAMBAYEQUE,CHICLAYO,CHONGOYAPE,-6.643981376083285,-79.42586380341663,9321.101875409566,858f5013fffffff,868f50117ffffff,Chiclayo,0.9666221970780652,True,1.021963115574007,4.0,True,97.3,4.0
060101,96882346.76,28909433.19,1346,56,Café,41.9,Set,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.1339595449999536,-78.54251182749995,15280.080293804125,858f51d7fffffff,868f51d5fffffff,Huamachuco,3.3432600968352872,False,0.6440029309954441,6.0,True,96.9,
200404,96209875.6,7235009.38,2276,8,Semillas para siembra,89.7,Nov,PIURA,MORROPON,LA MATANZA,-5.223229427249954,-80.08547772874996,10857.180231433485,858f093bfffffff,868f09387ffffff,Chiclayo,2.9739585699444087,False,0.6419030512626486,4.0,True,96.2,
