ubigeo,fob,kg,ops,empresas,familia_lider,pct_lider,mes_pico,dep,prov,dist,lat,lon,ha_agricola,h3,h3_ter,hub,horas_al_hub,cubierto_2h,km_al_nodo,promesa_h,cubierto_promesa,fob_mm,cluster
110108,1604005088.46,988508931.72,60620,198,Uva,61.0,Ene,ICA,ICA,SALAS,-13.944405358799964,-75.84350364639997,21741.258480942644,858e458ffffffff,868e458f7ffffff,Pisco,0.7986222046432881,True,0.9159394915515324,4.0,True,1604.0,
140308,1598639664.89,648987613.61,35804,118,"Arándano, fresa y otras bayas",60.8,Oct,LAMBAYEQUE,LAMBAYEQUE,OLMOS,-5.950887123666614,-79.95120309099997,56369.2285732649,858f56bbfffffff,868f56ba7ffffff,Chiclayo,2.4789393259472603,False,5.152662589819636,4.0,True,1598.6,
060801,1213879595.39,277756963.91,9256,147,Café,98.3,Oct,CAJAMARCA,JAEN,JAEN,-5.77777052999996,-78.8564451898333,20173.010598625893,858f54affffffff,868f54ad7ffffff,Chiclayo,6.138677699620201,False,0.3747004655479719,6.0,False,1213.9,
070101,762604735.95,351738990.87,24174,227,Café,37.0,Set,CALLAO,CALLAO,CALLAO,-12.016749225999945,-77.12113309199998,0.0,858e62c3fffffff,868e62c17ffffff,Pisco,3.1418682698176448,False,0.9035825291978106,4.0,True,762.6,
150101,650641541.16,335840874.17,52563,363,Galletas y panadería,62.3,Oct,LIMA,LIMA,LIMA,-12.044540457999972,-77.05082250599997,0.0,858e62c3fffffff,868e62c07ffffff,Pisco,2.985987507007016,False,0.0087904948250752,4.0,True,650.6,
110202,611048359.47,337388916.39,19238,50,Cítricos,29.9,Jul,ICA,CHINCHA,ALTO LARAN,-13.439829823777732,-76.05278446244441,4455.974338552634,858e6363fffffff,868e63637ffffff,Pisco,0.8588220015941723,True,1.6306743194145,4.0,True,611.0,
150601,531391894.5,352849937.54,20584,370,"Palta, mango, dátil y piña",57.7,Jul,LIMA,HUARAL,HUARAL,-11.426808909499954,-77.16120348124996,12480.776057805884,858e664ffffffff,868e664c7ffffff,Pisco,4.594466507100387,False,2.165321517748151,4.0,False,531.4,
130109,402994749.24,131132094.85,10532,31,"Arándano, fresa y otras bayas",39.5,Nov,LA LIBERTAD,TRUJILLO,SALAVERRY,-8.224594965999955,-78.93221415799997,7338.939048451444,858f5edbfffffff,868f5ed87ffffff,Huamachuco,2.9923400561089992,False,1.504712040668297,4.0,True,403.0,
140304,380174317.88,152826110.44,15248,51,"Arándano, fresa y otras bayas",23.7,Oct,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,-6.3518526279999605,-79.79381142449996,18914.512077622196,858f50dbfffffff,868f50d97ffffff,Chiclayo,0.8427437033452945,True,1.004940874178157,4.0,True,380.2,
110101,326641662.22,224568227.91,12058,249,Tomate preparado,28.3,Dic,ICA,ICA,ICA,-14.140398188499972,-75.83562266299995,1759.5950848303714,858e4517fffffff,868e45157ffffff,Pisco,1.5481818226809014,True,3.712407508346944,4.0,True,326.6,
200101,311479695.22,123859620.72,9553,216,Uva,24.3,Nov,PIURA,PIURA,PIURA,-5.115279066666612,-80.65308190899997,9063.440781113404,858f094ffffffff,868f094e7ffffff,Chiclayo,3.152193146801072,False,1.297343802970576,4.0,True,311.5,
140307,275171160.13,138300228.19,9183,58,Frutas congeladas,29.3,Nov,LAMBAYEQUE,LAMBAYEQUE,MOTUPE,-6.14811952324996,-79.69034406099995,16936.840092994367,858f56a7fffffff,868f56a67ffffff,Chiclayo,1.164680800637409,True,0.2178488273586303,4.0,True,275.2,
130201,269261239.13,276691485.98,2319,36,Azúcar de caña,53.6,Dic,LA LIBERTAD,ASCOPE,ASCOPE,-7.694241615999942,-79.08776584699999,4153.259818242715,858f5387fffffff,868f5386fffffff,Chiclayo,2.918438911137513,False,1.852571480497234,4.0,True,269.3,
221005,201411456.83,169985482.4,2129,5,Aceite de palma,71.7,Oct,SAN MARTIN,TOCACHE,UCHIZA,-8.397130707499969,-76.39598311149996,26653.17231979304,858f5d9bfffffff,868f5d9afffffff,Bellavista,4.409558410888044,False,0.9241401649824724,6.0,True,201.4,
070103,167416312.24,122874777.92,6801,14,Jugos de fruta,30.5,Jul,CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,-12.042884683999944,-77.09041772499995,0.0,858e62c3fffffff,868e62c07ffffff,Pisco,3.081303896251987,False,0.1329034991914584,4.0,True,167.4,
250101,166931422.73,148220842.12,173,14,Aceite de palma,94.9,Feb,UCAYALI,CORONEL PORTILLO,CALLERIA,-8.195059035299959,-74.33146417789996,44005.387415029865,858f4c77fffffff,868f4c767ffffff,Tarma,10.21031730281616,False,28.4047442158102,6.0,False,166.9,
150108,149867707.81,67961894.77,8601,92,Jugos de fruta,21.9,May,LIMA,LIMA,CHORRILLOS,-12.192644506999956,-77.00588969799998,0.0,858e62cffffffff,868e62cefffffff,Pisco,2.697474065535012,False,0.2653071410396269,4.0,True,149.9,
150115,129823462.36,51919041.96,29121,133,Salsas y condimentos,31.0,Jun,LIMA,LIMA,LA VICTORIA,-12.072332720999952,-77.01738574699993,0.0,858e62c3fffffff,868e62c0fffffff,Pisco,2.9229753854734013,False,0.1438247053205278,4.0,True,129.8,
221003,123495709.03,28356369.0,278,3,Cacao en grano,99.9,Ago,SAN MARTIN,TOCACHE,POLVORA,-8.016862480999956,-76.75821921266663,46094.57648132636,858f437bfffffff,868f43797ffffff,Bellavista,3.011473608627837,False,9.825086343174004,6.0,True,123.5,
110109,110560253.48,36803967.02,2351,18,Uva,76.3,Dic,ICA,ICA,SAN JOSE DE LOS MOLINOS,-13.912241466999944,-75.63583404174996,2906.6811026582577,858e4587fffffff,868e45847ffffff,Pisco,1.622596886870011,True,2.699692194288393,4.0,True,110.6,
130208,110163879.78,140346654.62,903,11,Alcohol etílico,54.2,Ago,LA LIBERTAD,ASCOPE,CASA GRANDE,-7.630586066999939,-79.19929836349996,13145.920218149655,858f5387fffffff,868f53877ffffff,Chiclayo,2.7254419988861174,False,3.8661444341526896,4.0,True,110.2,
120606,105596217.36,35101181.33,1605,46,Cacao en grano,45.0,Set,JUNIN,SATIPO,PANGOA,-11.625696256714248,-74.37676050014282,58009.90894663609,858e6533fffffff,868e6530fffffff,Satipo,1.521814807026176,True,0.4237411071275192,6.0,True,105.6,
060101,96882346.76,28909433.19,1346,56,Café,41.9,Set,CAJAMARCA,CAJAMARCA,CAJAMARCA,-7.1339595449999536,-78.54251182749995,15280.080293804125,858f51d7fffffff,868f51d5fffffff,Huamachuco,3.3432600968352872,False,0.6440029309954441,6.0,True,96.9,
