cluster,empresas,agroindustria,productor,exportadores,importadores,dentro_2h,dentro_promesa,horas_al_hub,hub,rank,territorio,dep,sam_usd,clientes,extension_km,visitable_en_dia,empresas_por_mm,distritos,empresas_export,fob_export_mm
0,133.0,15.0,93.0,1.0,1.0,93.0,120.0,1.4919223702142106,Huamachuco,1,"La Libertad · Sanchez Carrion, Pataz",La Libertad,33637887.472499914,9114.522777125883,231.538287725718,False,3.95387493072304,4.0,5.0,2.4
4,952.0,190.0,365.0,7.0,7.0,926.0,952.0,0.3393847730159745,Chiclayo,2,"Lambayeque · Chiclayo, Lambayeque",Lambayeque,31450481.05032067,7263.319854079438,196.3054414598064,False,30.269807271844368,22.0,287.0,1439.0
17,451.0,69.0,256.0,15.0,2.0,0.0,380.0,3.675244993160447,Chiclayo,3,"Piura · Ayabaca, Huancabamba",Piura,24788236.85153129,6340.19903520287,220.51240786659287,False,18.194113712131145,17.0,507.0,2011.3
8,513.0,99.0,232.0,3.0,3.0,301.0,506.0,1.643692585136887,Bellavista,4,"San Martín · Picota, Lamas",San Martín,23951737.31264537,5225.499805377807,253.66410158423653,False,21.41807056848276,13.0,46.0,42.2
5,649.0,99.0,389.0,9.0,1.0,435.0,649.0,1.3543956220344628,Satipo,5,"Junín · Satipo, Chanchamayo",Junín,23800262.49376659,8184.985777139142,183.9385112524297,False,27.26860681347428,9.0,297.0,505.8
1,258.0,29.0,151.0,7.0,0.0,257.0,258.0,0.7618700061726205,Pisco,6,"Ica · Pisco, Chincha",Ica,14599227.969719565,1994.4070112027807,119.00030684205495,True,17.67216735947414,15.0,204.0,1390.2
18,283.0,35.0,163.0,2.0,0.0,179.0,283.0,1.7694882419143738,Tarma,7,"Junín · Jauja, Huancayo",Junín,13619482.233447723,4543.5752184148405,204.3296669666913,False,20.77905717333276,17.0,20.0,20.8
9,93.0,14.0,54.0,2.0,1.0,13.0,93.0,2.806293669204864,Sicuani,8,"Cusco · Anta, Paucartambo",Cusco,12579168.581359794,5943.3481761095045,202.8512867313473,False,7.393175423200091,9.0,16.0,10.7
28,259.0,49.0,146.0,1.0,2.0,259.0,259.0,0.391732177357745,Juliaca,9,"Puno · Puno, Lampa",Puno,8921773.68230781,5314.033812962,119.5281056577358,True,29.03010199794757,2.0,11.0,2.3
3,5.0,1.0,4.0,0.0,0.0,0.0,0.0,6.95015499247742,Tarma,10,"Huánuco · Puerto Inca, Oxapampa",Huánuco,8815552.130123358,3056.98659381893,117.34940761903776,True,0.5671794490233516,,,
6,134.0,20.0,63.0,3.0,1.0,134.0,134.0,1.304193835475294,Pisco,11,"Ica · Ica, Huaytara",Ica,8321340.169563073,1138.8243649326762,119.67692509421973,True,16.103175362320986,8.0,198.0,1716.7
2,729.0,134.0,290.0,11.0,4.0,0.0,728.0,2.795084166722603,Huamachuco,12,"La Libertad · Ascope, Trujillo",La Libertad,7848662.515077956,2059.2712983467945,107.1249534154186,True,92.88206730758624,13.0,173.0,1403.6
23,230.0,49.0,125.0,0.0,1.0,0.0,80.0,6.003689830807589,Tarma,13,"Huánuco · Huanuco, Ambo",Huánuco,6823626.768246845,2292.79417902013,153.5419495541923,False,33.7064156366648,4.0,34.0,6.3
10,289.0,34.0,130.0,6.0,1.0,0.0,0.0,5.79940530506873,Pisco,14,"Lima · Huaura, Barranca",Lima,6601266.210520093,1397.3107824320437,118.13122214185834,True,43.77947969125011,9.0,209.0,1056.5
22,200.0,29.0,102.0,0.0,2.0,0.0,177.0,5.848100778318882,Chiclayo,15,"Amazonas · Utcubamba, Bongara",Amazonas,6425851.032083868,1924.2302413282737,119.60396957622766,True,31.124282060292504,5.0,25.0,95.7
12,227.0,25.0,103.0,3.0,0.0,0.0,117.0,3.834136827785757,Huamachuco,16,"La Libertad · Viru, Santa",La Libertad,5725801.1893438585,1845.688141371863,118.29371934345656,True,39.645106858139584,6.0,146.0,3590.1
7,96.0,9.0,61.0,3.0,3.0,0.0,0.0,6.974805135813187,Chiclayo,17,"Tumbes · Tumbes, Zarumilla",Tumbes,5385204.531987383,794.9588250721216,113.6723156341175,True,17.826620963005777,5.0,29.0,21.7
20,120.0,12.0,91.0,1.0,1.0,61.0,120.0,1.9960566617119064,Juliaca,18,"Puno · Chucuito, El Collao",Puno,5305437.303788863,3160.052499515003,121.59365670190073,False,22.618305170490345,1.0,2.0,0.2
30,19.0,3.0,14.0,0.0,0.0,0.0,0.0,8.696055531670291,Bellavista,19,"Ucayali · Padre Abad, Coronel Portillo",Ucayali,4994985.749553274,1152.400284489891,119.661237677769,True,3.803814655867489,1.0,1.0,0.4
44,272.0,57.0,139.0,3.0,3.0,0.0,0.0,6.257969869011292,Pisco,20,"Ayacucho · Huamanga, Cangallo",Ayacucho,4993986.823287086,1594.167136763561,119.68059025502708,True,54.46550213782248,10.0,61.0,94.1
15,403.0,46.0,180.0,7.0,4.0,0.0,0.0,6.501308314101161,Juliaca,21,"Arequipa · Caylloma, Arequipa",Arequipa,4971744.41759196,959.0543887308042,83.85600076454662,True,81.05806858736135,3.0,83.0,291.5
31,136.0,33.0,52.0,0.0,2.0,0.0,47.0,6.991299139352767,Tarma,22,"Huánuco · Leoncio Prado, Padre Abad",Huánuco,4949951.281297181,1573.935476634281,119.96283536902608,True,27.47501788832959,4.0,17.0,18.8
24,719.0,167.0,207.0,17.0,9.0,0.0,579.0,3.341094771641284,Pisco,23,"Lima · Huaral, Lima",Lima,4945158.056088503,1012.5781350450934,119.87879377985158,True,145.39474610215208,11.0,458.0,1240.5
33,240.0,36.0,151.0,1.0,0.0,0.0,229.0,5.218481705216816,Chiclayo,24,"Cajamarca · Chota, Santa Cruz",Cajamarca,4180181.846845576,2281.6491472314915,106.2147684045525,True,57.41377021219959,3.0,6.0,1.3
19,5.0,0.0,4.0,0.0,0.0,0.0,0.0,10.675114813098732,Tarma,25,"Huánuco · Puerto Inca, Coronel Portillo",Huánuco,4120275.356896136,1239.4707981944289,108.45097311716754,True,1.2135111289665297,,,
46,70.0,9.0,56.0,1.0,0.0,0.0,68.0,5.206766753857323,Tarma,26,"Huancavelica · Angaraes, Acobamba",Huancavelica,4053135.984596542,1058.390239483326,119.51368354495123,True,17.27057771217808,4.0,6.0,0.8
39,64.0,10.0,51.0,0.0,0.0,46.0,64.0,1.7436975145948492,Juliaca,27,"Puno · Melgar, Azangaro",Puno,3971111.452796072,2365.2943110455963,119.55582749032048,True,16.11639480804232,,,
13,202.0,22.0,104.0,1.0,0.0,200.0,200.0,1.3603158680328946,Pisco,28,"Lima · Cañete, Yauyos",Lima,3949571.837635953,804.3819225503524,116.07762671056062,True,51.144784372603965,6.0,135.0,379.5
14,386.0,86.0,123.0,8.0,4.0,0.0,381.0,4.437874042686684,Juliaca,29,"Arequipa · Arequipa, General Sanchez Cerro",Arequipa,3948317.237523629,789.5483221957473,119.52614428865591,True,97.76316764305844,10.0,156.0,194.3
21,13.0,5.0,5.0,0.0,0.0,0.0,0.0,5.774780375609556,Pisco,30,"Ica · Nasca, Caraveli",Ica,3833234.043886679,599.2091998284995,118.65661545010543,True,3.3913921902923376,2.0,13.0,22.4
40,96.0,7.0,76.0,0.0,0.0,0.0,89.0,5.516207719994656,Huamachuco,31,"Cajamarca · Cajamarca, Celendin",Cajamarca,3664354.6211541374,1992.9648310146167,110.50719517445462,True,26.198337749790035,4.0,8.0,0.5
57,9.0,1.0,5.0,0.0,0.0,0.0,9.0,2.664995695594784,Bellavista,32,"San Martín · Lamas, San Martin",San Martín,3469368.538613707,776.6444618057914,104.0212998249522,True,2.594132015619254,,,
37,2.0,0.0,2.0,0.0,0.0,0.0,2.0,4.432248864257563,Juliaca,33,Arequipa · Caylloma,Arequipa,3412539.835015096,658.2822910022179,117.6462040885446,True,0.5860737446867497,1.0,1.0,0.0
16,54.0,9.0,29.0,0.0,0.0,0.0,54.0,3.1900796766524,Tarma,34,"Pasco · Oxapampa, Pasco",Pasco,3274650.229470829,1265.544997742854,118.3268260445308,True,16.490310786177062,2.0,14.0,0.8
25,7.0,0.0,5.0,0.0,0.0,0.0,0.0,9.541846154192305,Juliaca,35,"Arequipa · Castilla, Condesuyos",Arequipa,2769171.4374426445,534.1758942455201,91.71908767122984,True,2.527831937507114,,,
