cod_se,dep,prov,dist,region_nat,lat,lon,horas_capital_real,horas_puerto_real,clientes,sam_usd,con_comercio,con_sitio,sin_nada,cubierto_greedy
1010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SIERRA,-6.211162749999971,-77.87639983399998,1.7592517785041877,7.249395513625642,9.638663389122357,33716.55547272396,True,True,False,False
1010103,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SIERRA,-6.266829395999935,-77.87408786399999,2.1247580343459704,7.61209453500714,9.337751581078066,32663.950017098978,True,True,False,False
1010104,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SIERRA,-6.2581085599999255,-77.91189073599998,1.8522385107650805,7.104811893452547,6.249812010952063,21862.17371167569,True,True,False,False
1010201,AMAZONAS,CHACHAPOYAS,ASUNCION,SIERRA,-5.965723329999946,-77.75835636099998,1.4157122806049038,8.215545782475925,3.109050242609632,10875.622556830303,False,True,False,False
1010202,AMAZONAS,CHACHAPOYAS,ASUNCION,SIERRA,-5.984437884999977,-77.75157796799994,1.5545813040736591,8.35441480594468,3.427017892881836,11987.890252684616,False,True,False,False
1010203,AMAZONAS,CHACHAPOYAS,ASUNCION,SIERRA,-6.009581135999952,-77.73935117799994,1.7101112373674865,8.509944739238508,2.858258884441628,9998.341091716164,False,True,False,False
1010204,AMAZONAS,CHACHAPOYAS,ASUNCION,SIERRA,-6.0275512819999335,-77.71729303699993,1.74521987065524,8.545053372526262,3.5328704959128747,12358.168269246124,False,True,False,False
1010301,AMAZONAS,CHACHAPOYAS,BALSAS,SELVA ALTA,-6.765361233999954,-77.93609947999994,3.5314512568136545,8.699944808492141,15.188693904850483,53130.85641926806,False,False,True,False
1010302,AMAZONAS,CHACHAPOYAS,BALSAS,SELVA ALTA,-6.87231971999995,-77.93897979099995,2.9034458980826177,7.697442958651373,5.5379926527921,19372.191863876724,False,True,False,False
1010303,AMAZONAS,CHACHAPOYAS,BALSAS,SELVA ALTA,-6.804144657999927,-77.99634447699998,2.7470971275621543,7.541094188130912,2.3060034043998168,8066.522147923691,False,True,False,False
1010401,AMAZONAS,CHACHAPOYAS,CHETO,SIERRA,-6.275737246999938,-77.70892396799997,1.6199114472249223,8.226052506629044,6.314265792554068,22087.63645636116,False,True,False,False
1010402,AMAZONAS,CHACHAPOYAS,CHETO,SIERRA,-6.295984905999944,-77.67386647199999,1.8347582438516925,8.440899303255813,2.6243290803579384,9180.04223660599,False,True,False,False
