cluster,clientes,con_canal,clientes_cubiertos,sam,dep,provincias,rank,pct,pct_elegidos
0,9114.522777125881,8844.154399877087,964.6232580384229,33637887.47249991,LA LIBERTAD,"Sanchez Carrion, Pataz",1,97.03365295298488,10.583365488528642
4,7263.319854079438,7263.319854079438,5319.539353261338,31450481.050320666,LAMBAYEQUE,"Chiclayo, Lambayeque",2,100.0,73.23840144907874
17,6340.19903520287,6237.000727887926,1742.801355111987,24788236.851531286,PIURA,"Ayabaca, Huancabamba",3,98.37231754489167,27.488117414538262
8,5225.499805377806,5125.427667232227,1919.013569143839,23951737.312645372,SAN MARTIN,"Picota, Lamas",4,98.08492695679386,36.72401953146936
5,8184.985777139142,7872.50751831561,4491.690387090585,23800262.49376659,JUNIN,"Satipo, Chanchamayo",5,96.18229930592804,54.87719232983865
18,4543.5752184148405,4459.127148754643,2895.6219923876783,13619482.233447723,JUNIN,"Jauja, Huancayo",6,98.14137401494015,63.73003313892317
1,1835.5205677883473,1835.5205677883473,1724.612440121176,13502727.11900694,ICA,"Pisco, Chincha",7,100.0,93.95767448137033
9,5943.348176109504,5861.318979066585,3385.060106735296,12579168.581359793,CUSCO,"Anta, Paucartambo",8,98.61981505016563,56.955440038701305
2,1833.4646655865279,1833.4646655865279,1659.318885962351,7031975.070946209,LA LIBERTAD,"Ascope, Trujillo",9,100.0,90.50181970272837
23,2292.7941790201294,2070.5333211373763,0.0,6823626.768246846,HUANUCO,"Huanuco, Ambo",10,90.30611382755079,0.0
10,1244.392104591082,1244.392104591082,978.640098856013,6077274.857092851,LIMA,"Huaura, Barranca",11,100.0,78.64402990387042
28,3583.955186062222,3583.955186062222,3178.7434467342714,6017130.899616495,PUNO,"Azangaro, Puno",12,100.0,88.69372750798352
6,803.2871710744773,803.2871710744773,747.9517533664331,5909259.563507337,ICA,Ica,13,100.0,93.11137788569093
20,3160.052499515003,3160.052499515003,2676.637482293568,5305437.303788863,PUNO,"Chucuito, El Collao",14,100.0,84.70231056934567
7,726.779206138971,700.3784207100045,0.0,4923342.632618361,TUMBES,"Tumbes, Zarumilla",15,96.36742697012191,0.0
12,1142.9378162479,1142.9378162479,1119.0465105662847,4383564.288066521,LA LIBERTAD,"Viru, Trujillo",16,100.0,97.90965830844175
22,1186.3959112495743,1186.3959112495743,0.0,4150075.7874169783,AMAZONAS,"Utcubamba, Bagua",17,100.0,0.0
