nombre,dep,clase,hub,horas_reparto,reparto_en_promesa,clientes_exclusivos,sam_exclusivo,margen_base,lat,lon
AGROSERVICIOS LA CASA DEL CAMPESINO S.R.L.,JUNIN,canal,Satipo,0.0527905707521289,True,1656.903248677752,4844499.387463857,15260.173070511148,-11.196044039833293,-74.6180556923333
Promart,ICA,comercio,Pisco,0.0585481433853602,True,653.1632899289477,4804896.127473065,15135.42280154015,-13.711186,-76.195788
AGROCOMERCIAL LEYDI & NAISHA E.I.R.L.,LA LIBERTAD,canal,Chiclayo,2.314001366762243,True,985.7593296288436,3780730.090964241,11909.299786537356,-7.731538622333289,-79.2955613383333
AGROSERVICIOS AMAZONICOS E.I.R.L.,SAN MARTIN,canal,Bellavista,3.843320181043184,True,775.0170998053982,3558568.49167185,11209.490748766326,-8.255198821499931,-76.52505808574996
ASOCIACION DE PRODUCTORES AGROPECUARIOS Y SEMILLERISTAS LA PODEROSA,LA LIBERTAD,canal,Huamachuco,0.2611984402762674,True,901.5113756707544,3457609.867743584,10891.471083392287,-7.811962216624948,-78.01877318312496
AGROSERVICIOS ORO VERDE SOCIEDAD ANONIMA CERRADA - AGROSERVICIOS ORO VERDE SAC,JUNIN,canal,Satipo,0.9141231059591476,True,1063.6065297822347,3109802.087807194,9795.876576592658,-10.98927795066662,-74.83262394833329
INSUMOS AGRICOLAS J & K S.R.L.,LAMBAYEQUE,canal,Chiclayo,1.013624084134972,True,661.9741473850495,2947194.326519665,9283.662128536942,-6.5027159718888345,-79.8787747583333
AGROSERVICIOS JHUNIOR HC S.R.L.,LAMBAYEQUE,canal,Chiclayo,0.4436463004350804,True,637.9858340738343,2840395.260162067,8947.245069510509,-6.788854413999928,-79.69287900949996
Vet House,ICA,comercio,Pisco,0.965020306000256,True,366.7553680862873,2697979.930928847,8498.636782425865,-13.985313,-75.77297
La Pradera,TACNA,comercio,,,False,728.3194040048361,2398653.359430876,7555.758082207259,-18.224943,-70.531952
AGRO DISTRIBUIDOR SAN FRANCISCO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,LAMBAYEQUE,canal,Chiclayo,0.5471842990721545,True,510.88455245167273,2274523.95299707,7164.7504519407685,-6.659179089166618,-79.90060426241662
COMERCIAL DISTRIBUIDORA AGROPEZ SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,PUNO,canal,Juliaca,2.015884083261642,True,1342.1021488434894,2253265.984366484,7097.787850754423,-16.11891839914281,-69.61075756564283
AGRO SERVICIOS PACASMAYO S.A.C.,SAN MARTIN,canal,Bellavista,0.4973233665992753,True,490.55501154452895,2252432.3759468133,7095.16198423246,-7.159358838249943,-76.40707039074995
Colors Fish,ICA,comercio,Pisco,1.304193835475294,True,301.0072988805907,2214314.287151395,6975.090004526893,-14.085013,-75.723631
