hub,ruta,orden,punto,dep,lat,lon,margen_anual,horas_ruta
Chiclayo,1,1,Y&L,LAMBAYEQUE,-6.77995,-79.83477,1684.49,8.54
Chiclayo,1,2,H&C Ferromateriales,LAMBAYEQUE,-6.77165,-79.79511,2099.96,8.54
Chiclayo,1,3,AGRO SERVICIOS VALLE VERDE EIRL,LAMBAYEQUE,-6.77847,-79.81663,249.47,8.54
Chiclayo,1,4,Ferretería Inversiones San Miguel,LAMBAYEQUE,-6.76403,-79.83157,2320.71,8.54
Chiclayo,1,5,Corporación BIM s.a.c.,LAMBAYEQUE,-6.76048,-79.84228,50.2,8.54
Chiclayo,1,6,Negocios El Triunfo,LAMBAYEQUE,-6.70514,-79.90181,2961.04,8.54
Chiclayo,1,7,AGRO DISTRIBUIDOR SAN FRANCISCO SOCIEDAD COMERCIAL DE RESPON,LAMBAYEQUE,-6.65918,-79.9006,7164.75,8.54
Chiclayo,1,8,Sodimac,LAMBAYEQUE,-6.74832,-79.87212,254.23,8.54
Chiclayo,1,9,Veterinaria Yanapaqui,LAMBAYEQUE,-6.77845,-79.88328,821.39,8.54
Chiclayo,1,10,AGRO SERVICIOS MIGUEL ANGEL E.I.R.L.,LAMBAYEQUE,-6.79413,-79.90092,513.83,8.54
Chiclayo,1,11,Los Leones,LAMBAYEQUE,-6.77785,-79.84407,1742.98,8.54
Chiclayo,2,1,AGROSERVICIOS PERU E.I.R.L,LAMBAYEQUE,-6.73661,-79.84224,461.97,8.84
Chiclayo,2,2,Vivero Las Palmeras Piscoya,LAMBAYEQUE,-5.99235,-79.72637,5913.83,8.84
Chiclayo,2,3,AGRO SERVICIOS HERNANDEZ E.I.R.L.,LAMBAYEQUE,-6.14812,-79.69034,5798.4,8.84
Chiclayo,2,4,AGROSERVICIOS VALLE DEL NORTE E.I.R.L.,LAMBAYEQUE,-6.35185,-79.79381,5955.01,8.84
Chiclayo,2,5,INSUMOS AGRICOLAS J & K S.R.L.,LAMBAYEQUE,-6.50272,-79.87877,9283.66,8.84
Chiclayo,2,6,NEGOCIOS Y AGROSERVICIOS JOLSA E.I.R.L.,LAMBAYEQUE,-6.62812,-79.82482,618.54,8.84
Chiclayo,2,7,AGROCOMERCIAL IZUMI EMPRESA INDIVIDUAL DE RESPONSABILIDAD LI,LAMBAYEQUE,-6.6139,-79.79465,4187.95,8.84
Chiclayo,3,1,AGROSERVICIOS JHUNIOR HC S.R.L.,LAMBAYEQUE,-6.78885,-79.69288,8947.25,7.94
Chiclayo,3,2,AGROSERVICIOS GREYSSI & JOSUE S.A.C.,LA LIBERTAD,-7.28028,-79.47137,5947.33,7.94
Chiclayo,3,3,JC AGRO COMERCIALIZADORA E.I.R.L.,LA LIBERTAD,-7.24239,-79.38433,1340.26,7.94
Chiclayo,3,4,Ferreteria William,LA LIBERTAD,-7.15609,-79.44443,5279.35,7.94
Chiclayo,3,5,AGROSERVICIOS LA PRADERA S.R.L.,LA LIBERTAD,-7.11882,-79.46094,2324.22,7.94
Chiclayo,3,6,AGROVETERINARIA EL TAMBO E.I.R.L.,LAMBAYEQUE,-7.02568,-79.65379,5507.13,7.94
Chiclayo,4,1,Casa Blanca,LAMBAYEQUE,-6.47824,-79.68236,4441.34,8.85
Chiclayo,4,2,AGROVETERINARIA COMERCIALIZADORA REAL SRL,LA LIBERTAD,-7.39991,-79.54782,2405.4,8.85
Chiclayo,4,3,Al Kosto,LA LIBERTAD,-7.40107,-79.56639,171.64,8.85
Chiclayo,4,4,AGROCOMERCIAL LEYDI & NAISHA E.I.R.L.,LA LIBERTAD,-7.73154,-79.29556,11909.3,8.85
Chiclayo,5,1,AGROVETERINARIA RABANAL CURA MORI SOCIEDAD ANONIMA CERRADA,PIURA,-5.35834,-80.61801,1428.78,8.62
Chiclayo,5,2,Clínica Veterinaria MaskVet,PIURA,-5.18501,-80.63323,188.09,8.62
Chiclayo,5,3,Sodimac,PIURA,-5.18206,-80.62299,1516.85,8.62
Chiclayo,5,4,Ferretería Eleodoro Quiroga Ramos,PIURA,-5.21273,-80.62259,522.1,8.62
Chiclayo,6,1,AGROVETERINARIA CASA GRANDE E.I.R.L.,LA LIBERTAD,-7.63059,-79.1993,1929.28,7.79
Chiclayo,6,2,Ferreteria Errezeta,LA LIBERTAD,-7.9887,-79.07145,5024.2,7.79
Chiclayo,7,1,Sodimac,PIURA,-5.178,-80.66483,847.97,8.61
Chiclayo,7,2,AGROVETERINARIA RABANAL PIURA EMPRESA INDIVIDUAL DE RESPONSA,PIURA,-5.11528,-80.65308,1196.61,8.61
Chiclayo,7,3,AGROSERVICIOS A & S - PIURA E.I.R.L.,PIURA,-5.10622,-80.52711,1356.86,8.61
Chiclayo,8,1,Depósito de Materiales DINO,PIURA,-5.40282,-80.74971,1625.47,7.88
Chiclayo,8,2,AGROVETERINARIA RABANAL E.I.R.L.,PIURA,-5.4613,-80.71065,924.53,7.88
Chiclayo,9,1,AGROVETERINARIA RABANAL PUENTE MOCHO S.A.C.,PIURA,-5.31903,-80.74447,1100.15,8.71
Chiclayo,9,2,Promart,PIURA,-4.91838,-80.69625,1005.54,8.71
Chiclayo,10,1,AGROVETERINARIA NATH & MULTISERVICIOS GENERALES E.I.R.L.,CAJAMARCA,-7.27075,-78.94833,16.52,6.79
Chiclayo,11,1,Vivero OL & AS,PIURA,-5.11958,-80.9194,1719.89,8.85
Chiclayo,11,2,Sodimac,PIURA,-4.90616,-80.70486,470.25,8.85
Chiclayo,12,1,AGROSERVICIOS MULTIPLES GONSAF S.A.C,CAJAMARCA,-6.0299,-79.1245,1508.9,7.27
Chiclayo,13,1,Vivero Forestal de Marcavelica,PIURA,-4.88067,-80.69844,2821.01,8.28
Chiclayo,13,2,Vivero Pulache,PIURA,-4.91856,-80.64793,1465.41,8.28
Chiclayo,14,1,Señor de los milagros,PIURA,-4.92979,-80.34333,3338.84,8.73
Chiclayo,14,2,Vivero El Huerto,PIURA,-4.90813,-80.34229,3115.66,8.73
Chiclayo,15,1,Vivero Municipal,PIURA,-5.31784,-79.78615,2226.7,8.68
Chiclayo,15,2,Jhosept,PIURA,-5.31822,-79.78124,744.82,8.68
Chiclayo,16,1,AGROVETERINARIA RABANAL CRUCETA S.A.C.,PIURA,-4.86289,-80.2997,1447.95,8.25
Chiclayo,17,1,AGROCOMERCIALIZADORA Y DE SERVICIOS EMA S.A.C.,PIURA,-4.83641,-80.57625,1658.56,8.47
Chiclayo,18,1,AGROSERVICIOS MÚLTIPLES JUANITA E.I.R.L.- AGRO JUANITA E.I.R,CAJAMARCA,-7.08471,-78.78337,439.75,8.21
Chiclayo,19,1,AGRO SERVICIOS BLANCO S.A.C.,CAJAMARCA,-6.37929,-78.83682,1571.4,8.77
Chiclayo,20,1,AGROVETERINARIA Y REPRESENTACIONES SANTIAGO ALTAMIRANO EIRL,CAJAMARCA,-6.56393,-78.64512,2690.76,8.92
Pisco,1,1,Clínica Veterinaria,ICA,-13.71134,-76.2048,343.06,8.89
Pisco,1,2,Maderera Luisa de la Torre,ICA,-13.71733,-76.20816,865.29,8.89
Pisco,1,3,Progresol,ICA,-13.41759,-76.15795,286.02,8.89
Pisco,1,4,Muebles & Acabados Benaute,ICA,-13.41425,-76.14827,548.43,8.89
Pisco,1,5,Ferreteria En Gral,ICA,-13.40301,-76.1295,303.53,8.89
Pisco,1,6,Clinica Veterinaria,ICA,-13.40079,-76.12856,911.34,8.89
Pisco,1,7,Aceros Arequipa,ICA,-13.41239,-76.12125,2587.13,8.89
Pisco,1,8,Ferreteria el Progreso,ICA,-13.43482,-76.13454,81.23,8.89
Pisco,1,9,Facasa,ICA,-13.44454,-76.13585,4841.38,8.89
Pisco,1,10,Global Vet,ICA,-13.45864,-76.16187,923.04,8.89
Pisco,1,11,Promart,ICA,-13.71119,-76.19579,15135.42,8.89
Pisco,2,1,AGROSERVICIOS Y NEGOCIOS R & A EMPRESA INDIVIDUAL DE RESPONS,ICA,-13.53207,-76.09022,1983.16,8.54
Pisco,2,2,AGRO SERVICIOS EL COLORADO E.I.R.L.,ICA,-13.35615,-76.16477,1242.11,8.54
Pisco,2,3,AGROSERVICIOS TINCO E.I.R.L.,LIMA,-13.04848,-76.42218,519.4,8.54
Pisco,2,4,Guadalupe,LIMA,-13.05368,-76.42922,508.85,8.54
Pisco,2,5,Sodimac,LIMA,-13.07548,-76.37261,2461.6,8.54
Pisco,2,6,Vivero Galan de Noche,LIMA,-13.21341,-76.22374,479.59,8.54
Pisco,3,1,Vet House,ICA,-13.98531,-75.77297,8498.64,8.51
Pisco,3,2,Grupo AYG Fortaleza SRL,ICA,-14.06195,-75.74093,62.37,8.51
Pisco,3,3,Colors Fish,ICA,-14.08501,-75.72363,6975.09,8.51
Pisco,3,4,Fatima Nicoll,ICA,-14.07075,-75.72107,228.64,8.51
Pisco,3,5,Industrias Acerinox,ICA,-14.05983,-75.71684,190.79,8.51
Pisco,3,6,Ferreteria Rosita,ICA,-14.04883,-75.70135,749.81,8.51
Pisco,3,7,Ferremar,ICA,-14.05975,-75.72208,95.09,8.51
Pisco,3,8,Aceros Arequipa,ICA,-14.05634,-75.73273,1188.2,8.51
Pisco,3,9,Ica Verde,ICA,-14.03493,-75.75491,175.26,8.51
Pisco,4,1,AGRO SERVICIOS SANTA CRUZ S.A.C.,ICA,-14.04683,-76.15788,1242.74,7.79
Pisco,4,2,Yupanqui,ICA,-14.11475,-75.67016,6040.74,7.79
Pisco,4,3,Ferreteria Rosita II,ICA,-14.03508,-75.70691,582.67,7.79
Pisco,4,4,AGROSERVICIOS M & R E.I.R.L.,ICA,-14.01163,-75.69781,2130.94,7.79
Pisco,4,5,Ferreteria Huaman,ICA,-14.03292,-75.7099,332.38,7.79
Pisco,5,1,Grupo el Álamo,LIMA,-13.02411,-76.4764,846.27,8.6
Pisco,5,2,MAX,LIMA,-12.72843,-76.61978,947.63,8.6
Pisco,5,3,Mirasur garden,LIMA,-12.69787,-76.64303,402.5,8.6
Pisco,5,4,AGROVETERINARIA MALENIC S.A.C.,LIMA,-12.9568,-76.38261,1558.17,8.6
Pisco,5,5,AGRO VETERINARIA CHALLCO S.A.C.,LIMA,-13.03134,-76.36796,1293.87,8.6
Pisco,5,6,AGRO VETERINARIA L & T S.A.C.,LIMA,-13.04054,-76.28175,1360.25,8.6
Pisco,6,1,AGROSERVICIOS VALERY S.A.C.,ICA,-14.1404,-75.83562,1646.36,8.77
Pisco,6,2,Coliseo de Gallos Santa María,ICA,-14.53107,-75.19098,3818.42,8.77
Pisco,6,3,Ferretería Jesús,ICA,-14.53414,-75.18795,4261.51,8.77
Pisco,6,4,C & C INSUMOS AGRICOLAS SOCIEDAD ANONIMA CERRADA,ICA,-14.51566,-75.16391,450.26,8.77
Pisco,7,1,Ferretería Maderera El Oriente,LIMA,-12.65741,-76.63651,502.59,8.72
Pisco,7,2,Ferretería Sofemac,LIMA,-12.66057,-76.63291,256.06,8.72
Pisco,7,3,Ferreteria Miguelito,LIMA,-12.65274,-76.63386,462.69,8.72
Pisco,7,4,Fertisem,LIMA,-12.6542,-76.63581,181.65,8.72
Pisco,7,5,Juan Pablo,LIMA,-12.51587,-76.73431,831.38,8.72
Pisco,7,6,AGROSERVICIOS BYM S.A.C.,LIMA,-12.46584,-76.77562,17.63,8.72
Pisco,8,1,Agroceterinaria Huaytará,HUANCAVELICA,-13.60413,-75.34961,578.71,4.61
Pisco,9,1,ZID,LIMA,-12.33238,-76.82501,141.97,8.83
Pisco,9,2,San Lorenzo,LIMA,-12.29472,-76.85289,406.79,8.83
Pisco,9,3,Vivero de plantas,LIMA,-12.2542,-76.87763,116.68,8.83
Pisco,9,4,El Comedero,LIMA,-12.255,-76.88954,25.14,8.83
Pisco,9,5,Demetrio's,LIMA,-12.22376,-76.90375,234.65,8.83
Pisco,10,1,EL SEMILLERO,LIMA,-12.12699,-76.98431,0.4,8.26
Pisco,10,2,Promart,LIMA,-12.18014,-76.94252,0.18,8.26
Pisco,10,3,AGROSERVICIOS WALBERT EMPRESA INDIVIDUAL DE RESPONSABILIDAD ,LIMA,-12.08809,-76.92573,0.15,8.26
Pisco,11,1,Ferretería Cañon,LIMA,-12.09944,-76.88331,22.47,8.73
Pisco,11,2,Promart,LIMA,-12.01595,-76.88707,17.67,8.73
Pisco,11,3,Ferreteria Huamani,LIMA,-11.98575,-76.93781,70.81,8.73
Pisco,12,1,AGROVETERINARIA FATIMA E.I.R.L.,LIMA,-11.99283,-77.08841,63.31,8.69
Pisco,12,2,Veterinaria Argos,LIMA,-11.93655,-77.04899,12.16,8.69
Pisco,12,3,Veterinaraia Clinican,LIMA,-11.91373,-77.02591,5.73,8.69
Pisco,13,1,SEMILLERO DEPORTIVO CANTO GRANDE,LIMA,-11.94596,-76.97149,1.78,8.43
Pisco,13,2,San Martín 33 Veterinaria,LIMA,-11.87319,-77.01513,1275.1,8.43
Pisco,14,1,Ferreteria Ramirez,LIMA,-11.88062,-77.07429,30.38,8.75
Pisco,14,2,Maestro,LIMA,-11.86257,-77.06424,75.99,8.75
Pisco,14,3,Veterinaria Gavet,LIMA,-11.85195,-77.06875,278.08,8.75
Pisco,15,1,AGROVETERINARIA AQUATERRA S.A.C.,LIMA,-12.18541,-76.8422,401.04,8.51
Pisco,15,2,"Ferretería ""Silvanita""",LIMA,-12.06999,-76.75638,755.05,8.51
Pisco,16,1,Pernos Lupita,LIMA,-11.8508,-77.09236,15.13,8.79
Pisco,16,2,Vivero Chaclacayo,LIMA,-11.97723,-76.77434,54.69,8.79
Pisco,17,1,Ferreteria Chaclacayo,LIMA,-11.97613,-76.77221,0.08,8.89
Pisco,17,2,Los Mejores Precios,LIMA,-11.9706,-76.75206,39.02,8.89
Pisco,17,3,Señor de Muruhuay,LIMA,-11.9396,-76.7128,2.05,8.89
Pisco,18,1,Distribuidora Atencio,LIMA,-11.92084,-76.67308,595.14,7.8
Pisco,19,1,San Juan,LIMA,-11.59412,-77.25809,500.25,8.58
Pisco,20,1,AGRO SERVICIOS FAST S.A.C. - AGROSER FAST S.A.C.,LIMA,-11.5509,-77.13207,805.55,8.88
Bellavista,1,1,AGROSERVICIOS DEL HUALLAGA E.I.R.L.,SAN MARTIN,-6.99984,-76.58721,2858.77,7.1
Bellavista,1,2,CONSTRUCCIONES & AGROSERVICIOS FYM S.A.C.,SAN MARTIN,-6.8307,-76.58153,4546.77,7.1
Bellavista,1,3,AGROSERVICIOS & MAQUINARIA AGRICOLA MARY SOCIEDAD ANONIMA CE,SAN MARTIN,-6.96142,-76.4719,569.51,7.1
Bellavista,1,4,AGROVETERINARIA GUEVARA E.I.R.L.,SAN MARTIN,-6.97126,-76.32615,3055.84,7.1
Bellavista,1,5,AGRO COMERCIALIZADORA PLATO FINO S.A.C.,SAN MARTIN,-6.92317,-76.41933,2623.36,7.1
Bellavista,1,6,EMPRESA DE AGROSERVICIOS MALON SAC,SAN MARTIN,-7.01872,-76.4993,1589.18,7.1
Bellavista,2,1,AGRO SERVICIOS PACASMAYO S.A.C.,SAN MARTIN,-7.15936,-76.40707,7095.16,7.76
Bellavista,2,2,SOFY SEMILLERO DEL EXITO E.I.R.L.,SAN MARTIN,-7.26311,-76.74738,2591.67,7.76
Bellavista,2,3,AGROSERVICIOS UCAYALI S.A.C.,SAN MARTIN,-6.61484,-76.34926,2450.73,7.76
Bellavista,3,1,Conselva de la villa,SAN MARTIN,-6.50759,-76.34732,1859.23,7.44
Bellavista,3,2,Ferro selva,SAN MARTIN,-6.51131,-76.35997,1224.94,7.44
Bellavista,3,3,AGRO COMERCIALIZADORA AP E.I.R.L.,SAN MARTIN,-6.49914,-76.41091,545.05,7.44
Bellavista,3,4,AGROPECUARIA & AGROVETERINARIA EL CORRAL E.I.R.L.,SAN MARTIN,-6.46627,-76.43876,5818.77,7.44
Bellavista,3,5,Santa Rosa,SAN MARTIN,-6.47788,-76.38648,406.04,7.44
Bellavista,3,6,Promart,SAN MARTIN,-6.48268,-76.37746,101.76,7.44
Bellavista,4,1,AGROSERVICIOS E INVERSIONES JIBAJA S.A.C.,SAN MARTIN,-6.60861,-76.7158,4923.35,8.86
Bellavista,4,2,Vivero Municipal,SAN MARTIN,-6.04684,-76.97481,3952.11,8.86
Bellavista,5,1,AGROSERVICIOS VELA E.I.R.L.,SAN MARTIN,-7.01024,-76.12003,4012.22,3.96
Bellavista,6,1,AGROSERVICIOS PALMAS DEL ORIENTE E.I.R.L.,SAN MARTIN,-6.2288,-76.30091,3803.36,8.86
Bellavista,6,2,Cerámicas San Lorenzo,LORETO,-5.89397,-76.10533,618.87,8.86
Bellavista,7,1,Cobos,SAN MARTIN,-6.03496,-76.97641,2627.69,8.56
Bellavista,7,2,AGROCOMERCIAL ELIZABETH E.I.R.L.,SAN MARTIN,-6.08918,-77.10088,1352.33,8.56
Bellavista,8,1,AGROCOMERCIALIZADORA EL PLATANAL E.I.R.L,LORETO,-5.86003,-76.14739,163.27,7.9
Bellavista,9,1,FERRETERIA AGROCOMERCIAL QUINTANA E.I.R.L.,SAN MARTIN,-6.07878,-77.19875,1076.58,8.02
Bellavista,10,1,AGROSERVICIOS AMAZONICOS E.I.R.L.,SAN MARTIN,-8.2552,-76.52506,11209.49,8.03
Bellavista,11,1,AGRO COMERCIALIZADORA E INVERSIONES NUCAR S.A.C.,SAN MARTIN,-6.02113,-77.28344,1933.15,8.12
Bellavista,12,1,AGRO VETERINARIA BUSTAMANTE E.I.R.L.,SAN MARTIN,-5.98978,-77.16787,469.02,8.28
Bellavista,13,1,AGROVETERINARIA RUBIO S.A.C.,SAN MARTIN,-5.90309,-77.35915,2180.95,8.51
Bellavista,14,1,AGROSERVICIOS CHAVEZ EIRL,SAN MARTIN,-5.82154,-77.40676,4949.36,8.83
Bellavista,15,1,AGROSERVICIOS LLOJA E.I.R.L.,SAN MARTIN,-5.93982,-77.2323,568.48,8.92
Tarma,1,1,Ferreteria Maranatha,JUNIN,-11.41886,-75.69211,1680.32,6.22
Tarma,1,2,AGRO VETERINARIA CESAR´S E.I.R.L.,JUNIN,-11.43415,-75.72653,1218.05,6.22
Tarma,1,3,La Económica,JUNIN,-11.12363,-75.35536,6085.61,6.22
Tarma,1,4,ASOCIACION DE PRODUCTORES AGROPECUARIOS Y SERVICIOS MULTIPLE,JUNIN,-11.32114,-75.5244,3329.58,6.22
Tarma,1,5,Ferreteria Rosales,JUNIN,-11.41774,-75.68826,2143.51,6.22
Tarma,2,1,La Hacienda,JUNIN,-11.77916,-75.49651,4162.59,8.7
Tarma,2,2,Maestrlto,JUNIN,-11.78054,-75.49619,2854.66,8.7
Tarma,2,3,Ferretería Profer San Jerónimo,JUNIN,-11.94796,-75.28581,2523.71,8.7
Tarma,2,4,Ferretería Señor de la Divina Misericordia,JUNIN,-11.9642,-75.27226,231.22,8.7
Tarma,2,5,Clinica Veterinaria,JUNIN,-11.92034,-75.31601,139.79,8.7
Tarma,2,6,Siderperu,JUNIN,-11.91519,-75.31607,1537.97,8.7
Tarma,2,7,Ferretería J&L,JUNIN,-11.91459,-75.3254,188.35,8.7
Tarma,2,8,Ferretería Los Angeles,JUNIN,-11.86646,-75.3728,828.85,8.7
Tarma,3,1,Ferreteria Arenas,JUNIN,-11.52142,-75.90144,165.88,8.99
Tarma,3,2,Ferretera Yuri,JUNIN,-11.55724,-75.94743,20.48,8.99
Tarma,3,3,AGROVETERINARIA GAMARRA EIRL,JUNIN,-11.18879,-76.01191,2822.35,8.99
Tarma,3,4,AGROVETERINARIA CENTRAL NITSUGA SOCIEDAD COMERCIAL DE RESPON,PASCO,-10.70117,-76.24659,661.51,8.99
Tarma,4,1,Inversiones y Ferretería Corazón de Jesús,JUNIN,-11.97716,-75.26551,123.79,8.3
Tarma,4,2,Ferretería Nuñez,JUNIN,-12.01417,-75.24431,141.06,8.3
Tarma,4,3,Electroferreteria,JUNIN,-12.02918,-75.23161,459.08,8.3
Tarma,4,4,Mateco,JUNIN,-12.03881,-75.22873,251.69,8.3
Tarma,4,5,EMPRESA LOS SEMILLEROS DE GUINDA HUAMANCACA CHICO S.A.C.,JUNIN,-12.07682,-75.24886,3275.2,8.3
Tarma,4,6,Dorita,JUNIN,-12.0523,-75.24174,311.16,8.3
Tarma,4,7,CORPORACIÓN AGROINDUSTRIAL SEMILLERISTA HERMANOS DIAL S.A.C.,JUNIN,-12.04792,-75.25368,1097.27,8.3
Tarma,5,1,Meza,JUNIN,-12.0876,-75.2107,95.03,7.85
Tarma,5,2,DISTRIBUIDORA AGROPECUARIA MAURICIO S.A.C.,JUNIN,-12.1379,-75.22377,3827.45,7.85
Tarma,5,3,Romero,JUNIN,-12.08747,-75.19867,1979.12,7.85
Tarma,5,4,Ferretería Noemi,JUNIN,-12.05079,-75.18841,119.15,7.85
Tarma,5,5,AGROVETERINARIA HUAYTAPALLANA EIRL,JUNIN,-12.01999,-75.13048,335.23,7.85
Tarma,6,1,AGROVETERINARIA GRUPO RIVERA S.A.C.,JUNIN,-12.06836,-75.29055,112.59,7.43
Tarma,6,2,SEMILLEROS AGRO-BIOORGANIC S.R.L.,HUANCAVELICA,-12.2609,-75.02855,1292.09,7.43
Tarma,7,1,ASOCIACION LOS SEMILLEROS DE HUASAHUASI,JUNIN,-11.18101,-75.64371,117.6,5.12
Tarma,8,1,Cochachis,LIMA,-11.7594,-76.30069,335.13,6.54
Tarma,9,1,Ferretería Loechle,PASCO,-10.57426,-75.40368,1987.41,7.51
Tarma,9,2,Ferretería Nicoll,PASCO,-10.57214,-75.40651,2182.95,7.51
Tarma,10,1,INVERSIONES AGROVETERINARIAS SOMY E.I.R.L.,PASCO,-10.68008,-75.22024,1083.47,7.09
Tarma,11,1,AGROVETERINARIA TOLENTINO B EMPRESA INDIVIDUAL DE RESPONSABI,PASCO,-10.51557,-76.54042,693.51,7.68
Tarma,12,1,Fernández,HUANUCO,-10.13831,-76.19692,2575.12,8.12
Tarma,13,1,AGRO VETERINARIA JCRA SOCIEDAD COMERCIAL DE RESPONSABILIDAD ,HUANUCO,-10.15981,-76.15909,270.02,8.68
Tarma,14,1,Ferretería V&R,HUANUCO,-9.94481,-76.24404,378.53,8.99
Juliaca,1,1,Promart,PUNO,-15.49614,-70.12936,4742.75,8.52
Juliaca,1,2,INDUSTRIA & COMERCIALIZADORA AGROREGION SOCIEDAD COMERCIAL D,PUNO,-15.88985,-70.01578,442.54,8.52
Juliaca,1,3,Comercial y Ferretería Hervas,PUNO,-15.84487,-70.02298,801.3,8.52
Juliaca,1,4,Solar,PUNO,-15.83379,-70.02652,1171.96,8.52
Juliaca,1,5,Ferretería Checa,PUNO,-15.63941,-70.34717,4853.44,8.52
Juliaca,1,6,IMPORTACIONES DISTRIBUCIONES AGRO VETERINARIA PERU SOCIEDAD ,PUNO,-15.4684,-70.20194,1564.89,8.52
Juliaca,1,7,San Pedro,PUNO,-15.48917,-70.13277,6841.06,8.52
Juliaca,1,8,El Altiplano,PUNO,-15.49069,-70.13326,111.1,8.52
Juliaca,2,1,Mundo Animal,PUNO,-15.04516,-70.36748,5245.76,8.44
Juliaca,2,2,ASOCIACION DE PRODUCTORES SEMILLERISTAS Y SERVICIOS MULTIPLE,PUNO,-14.91774,-70.58911,5374.57,8.44
Juliaca,2,3,Ferretex,PUNO,-14.91432,-69.86479,151.96,8.44
Juliaca,2,4,Ferreteria La Economica,PUNO,-14.91407,-69.8608,569.15,8.44
