ruc,razon_social,fob,tn,semanas,destinos
20555757469,AVOCADO PACKING COMPANY S.A.C.,98877412.258,58163.04015,10,11
20340584237,CAMPOSOL S.A.,96022253.054,35583.105405,10,28
20131495006,PERALES HUANCARUNA S.A.C.,81666033.17,12816.79,10,22
20461642706,AGRICOLA CERRO PRIETO S.A.,73746238.717,29141.672123,10,24
20451899881,PROCESADORA LARAN SAC,68885799.027,47981.137374,10,25
20170040938,DANPER TRUJILLO S.A.C.,62818045.897,23550.310419,10,20
20501923428,CONSORCIO DE PRODUCTORES DE FRUTA S.A.,60957899.83,41086.965224,10,24
20500985322,MACHU PICCHU FOODS S.A.C.,57471490.158,8401.736432999998,10,23
20505688903,AGRICOLA ANDREA S.A.C.,54281110.268,12461.4335,10,15
20325117835,SOCIEDAD AGRICOLA DROKASA S.A.,50475656.704,19956.48546,10,15
20547669046,EXPORTADORA EL PARQUE PERU SAC,45741158.93,24196.909618,10,14
20614389941,VIRU AVOCADO S.A,45324922.748,23819.237,10,10
20336183791,EL PEDREGAL S.A,42134348.013,15273.249,10,13
20600876491,WESTFALIA FRUIT PERÚ S.A.C.,38043033.941,21002.674939999997,10,18
20411808972,AGRICOLA PAMPA BAJA S.A.C.,33223397.491,18414.30428,10,22
20473159644,CAFETALERA AMAZONICA S.A.C.,32436019.044999998,6416.2362,10,8
20297939131,COMPLEJO AGROINDUSTRIAL BETA S.A.,31142145.872,15034.781040999998,10,25
20131565659,TAL S A,30749719.193,15979.654828,10,18
20610068767,AQU ANQA II S.A.C.,28566832.651,3492.29132,10,19
20535747424,RVR AGRO S.R.L.,25861318.39,10680.723800000002,10,21
20136222725,SAFRESCO PERU S.A.,23620205.751,15291.619920000001,10,18
20562877101,TA EXPORT S.A.C.,23135494.22,3981.9744,10,7
20522061035,EXPORTADORA ROMEX S.A.,22797046.03,3912.666,9,18
20550858461,PLANTACIONES DEL SOL S.A.C,22453041.168,14225.894400000001,10,7
20451871286,NATUCULTURA S.A,22342472.736,24.540950000000002,10,9
20603311346,EXPORTADORA SAN RAMON S.A.C.,22237940.344,12488.752,10,9
20600699131,AGRO SAN GERARDO S.A.C.,20759873.830000002,4536.98112,9,5
20512896252,OLAM AGRO PERÚ S.A.C.,20220799.12,2704.71,10,12
20329725431,SUNSHINE EXPORT S.A.C,19990275.466000002,11404.46511,10,18
20451779711,SOCIEDAD AGRICOLA RAPEL   S.A.C.,19386650.614,8032.9911999999995,4,7
20600807685,AGROBERRIES PERU S.A.C.,19369641.753,2594.17343,10,9
20607481491,BAIKA PERU S.A.C.,18286494.959,10382.87966,10,11
20372081831,AGRICOLA CHAPI S.A.,18255664.608,6928.387,9,8
20104902864,EXPORTADORA FRUTICOLA DEL SUR SA,16862047.342,4111.215924,10,24
20517952533,PURA FRUIT COMPANY S.A.,16160271.995,5364.073,9,9
20557530160,BLUEBERRIES PERU S.A.C.,15850668.5,1658.6646600000001,10,7
20492896269,EUROFRESH PERU S.A.C,14343036.06,7605.5892,10,4
20603461534,AGRICOLA INTERANDINA S.A.C.,14075281.959999999,2279.48484,10,9
20481121966,HASS PERU S.A.,13522573.368,5143.120236,10,10
20477793674,QUICORNAC S.A.C.,13113747.33,4743.094,9,17
20395379233,PRONATUR S.A.C,13042710.145,7226.379000000001,10,11
20606133139,FAMILY FARMS PERÚ S.R.L.,12901668.56,1419.1123799999998,10,3
20396260639,MORAVA S.A.C.,12879855.376,7039.711619999999,10,6
20600697511,UVICA S.A.C.,12681479.801,4937.2347199999995,10,6
20602822533,HORTIFRUT - PERÚ S.A.C.,12653379.77,2426.5470219999997,10,12
20535645346,SUMAQAO SOCIEDAD ANONIMA CERRADA,12486478.13,2803.31,6,4
20610799869,VIRU S.A.,12450804.597,5077.250456000001,10,16
20550720354,INVERSIONES MOSQUETA S.A.C.,12389045.319,8876.9766,10,13
20397680038,GREEN PERU S.A,12318398.097000001,4575.47145,10,8
20512217452,AGUALIMA S.A.C.,12142269.372,3117.3167699999995,10,19
20410065364,CORPORACION FRUTICOLA DE CHINCHA S.A.C.,12055279.49,6866.658,10,11
20600708997,TRAPANI CULTIVARES PERU SAC,12015413.827,6225.52,9,4
20104420282,AGROINDUSTRIAS AIB S.A,11878547.406,5981.485144,10,20
20614389797,VIRU FROZEN S.A.,11824115.592,4350.216693,10,16
20535674010,SIEMBRA ALTA S.A.C.,11633350.734,6985.382934,9,12
20614418827,VIRU FINE FOODS S.A.,11218849.581,4140.310724000001,10,15
20481555702,AGROINDUSTRIAL ESTANISLAO DEL CHIMU S.A.,11063182.555,6857.14368,10,10
20603964153,COMERCIO AMAZONIA S.A.,10757893.870000001,1588.4,7,13
20606009284,BOMAREA S.R.L.,10675935.082,1915.3822799999998,10,6
20601751250,AÑAY PERUVIAN FRUITS SOCIEDAD ANONIMA CE,10659111.27,5283.0647199999985,10,8
20224133929,INTIPA FOODS S.A.C.,10546284.0,1566.584304,10,5
20559787435,AGROEXPORTACIONES NATHANAEL  S.A.C.,10129391.572,2138.96516,10,7
20601790115,ALCOAXARQUIA PERU S.A.C.,10117865.015,4235.7352,10,7
20602016812,ASESORIAS E INVERSIONES MUVA S.A.C.,9998336.9,7786.288,10,14
20538803473,AGRICOLA LAS MARIAS S.A.C.,9880667.57,5347.05532,10,12
20605347909,QORI MAYO S.A.C.,9506654.83,1873.44698,6,4
20479692476,CAFÉ MONTEVERDE S.A.C.,9431468.4,1459.855,9,5
20176770474,CORPORACION AGROLATINA S.A.C.,9342145.469,3479.90972,7,10
20601280508,WHITE LION NUTS S.A.C.,9249408.05,896.16,10,14
20604582181,INVERSIONES YARABAMBA S.A.C.,9173899.32,1306.4837359999997,9,5
20107974467,COMPAÑIA INTERNACIONAL DEL CAFE SOCIEDAD,8789821.68,1506.04139,9,11
20600483596,ASICA FARMS S.A.C.,8612439.374,5875.552,10,9
20106651087,CIA.DE EXP.Y NEGOCIOS GNRLES.S.A.(COEXA),8292446.195,6180.764,10,10
20402805294,AGRICOLA Y GANADERA CHAVIN DE HUANTAR SA,8271777.19,3180.9130760000003,10,15
20472567803,MULTIFOODS S.A.C.,8195747.29,8391.478082,10,14
20100227542,PROCESOS AGROINDUSTRIALES SOCIEDAD ANONI,8138813.42,3004.4102860000003,7,17
20520866630,INKA´S BERRIES S.A.C.,8102978.087,1400.9566800000002,8,10
20554556192,AGROVISION PERU S.A.C.,8078805.25,1319.14104,10,14
20100085063,AJINOMOTO DEL PERU S A,7989905.477,2988.726531,10,7
20600598385,AGRO DIRECT S.A.C.,7880421.89,1994.89,2,3
20562740814,GLOBAL AGRO PERU S.A.C.,7768729.41,3087.11085,6,1
20525416543,COOPERATIVA AGRARIA NORANDINO LTDA.-COOP,7688042.34,1066.936,9,8
20555837659,AGRICOLA SANTA AZUL S.R.L,7655805.71,847.8186199999998,10,3
20508634090,H.V.C.EXPORTACIONES SAC,7525485.68,1160.9999980000002,8,4
20536558072,SOBIFRUITS S.A.C.,7420284.1,2391.6517999999996,10,22
20614746379,AGRO BLUE PERU S.A.C.,7298971.456,864.5058,8,5
20606949511,AMA'Z COFFEE TRADING S.A.C.,7246337.7700000005,1570.35,10,7
20601438586,SOCIEDAD EXPORTADORA VERFRUT SOCIEDAD AN,7135539.97,1020.13812,5,5
20605493603,INKA SELECT FRUIT S.A.C.,7056205.53,3429.8118,10,12
20608170732,AGRICOLA BLUE GOLD S.A.C.,7048906.798,886.281,10,6
20610773274,BERRY HARVEST S.A.,6979769.673,2413.64884,10,8
20526005610,EL ALAMO EXPORT S.A.C.,6891779.942,375.02597,10,3
20603062397,FRUGLOBE S.A.C.,6872149.257,3348.0986000000003,10,11
20568333820,COOPERATIVA AGRARIA CAFETALERA JUAN SANT,6802294.15,1137.595,8,5
20609493071,AVALEZA S.A.,6704058.779999999,3762.144,10,6
20279143222,FLORIDABLANCA S.A.C.,6617382.14,1021.1967,10,15
20510865627,SANTA SOFIA DEL SUR S.A.C.,6496559.96,3310.8856,9,4
20611839589,,6317105.82,1404.41016,6,4
20513081236,FUXION BIOTECH S.A.C.,6312430.85,146.761303,10,10
20530184596,ECOSAC AGRICOLA S.A.C.,6185519.36,1913.75886,9,17
20614080630,SUNRISE DEL PERÚ S.A.C.,6175155.886,2749.3292,9,6
20607575160,FRG FARMS S.A.C.,6103766.154,1822.9458,10,3
20509438448,NEGRISA S.A.C.,6036173.37,942.825,9,7
20291939083,INKA CROPS S.A.,6013900.95,978.207954,10,12
20396637759,AGRICOLA ALPAMAYO S.A.,5898002.762,3392.3802800000003,6,4
20530074227,AGROCOSTA PERU S.A.C.,5731660.422,3856.358,10,8
20601017238,AGROINDUSTRIAL E&C S.A.C,5720620.04,1299.3609600000002,10,3
20515552872,AGRICOLA SAFCO PERU S.A.,5669251.26,1895.13495,3,3
