semana,ruc,razon_social,partida,partida4,familia,rubro,uso_dual,fob_usd,peso_kg,pais_origen,descripcion
2026-01-01,20100141583,FARMEX S A,3808919900,3808,Proteccion de cultivos,Proteccion de cultivos,False,173846.94,1771.2,US,"CLOSER 240 SC, CORTEVA, S/M"
2026-01-01,20100141583,FARMEX S A,3808911900,3808,Proteccion de cultivos,Proteccion de cultivos,False,890445.0,9772.8,CO,"ABSOLUTE 60 SC, CORTEVA, S/M"
2026-01-01,20100141583,FARMEX S A,3808921900,3808,Proteccion de cultivos,Proteccion de cultivos,False,91168.0,1712.0,US,"ZORVEC ENCANTIA, CORTEVA, S/M"
2026-01-01,20501549801,FERCO MEDICAL S.A.C.,3808941900,3808,Proteccion de cultivos,Proteccion de cultivos,False,54000.0,16200.0,KR,"OPIDEX OPA SOLUTION 4L, S/M, S/M"
2026-01-01,20611743671,IMPORTACION Y EXPORTACION UNILINE S.A.C.,3102101000,3102,Fertilizante nitrogenado,Fertilizantes,True,27135.0,81000.0,CN,"UREA AUTOMOTRIZ, S/M, S/M"
2026-01-01,20453665969,AGRO QUIMICA SILVA S.A.C.,3105100000,3105,Fertilizante compuesto,Fertilizantes,False,226974.469,35208.0,DE,"WUXAL POTASIO, WUXAL, SM"
2026-01-01,20453665969,AGRO QUIMICA SILVA S.A.C.,3105100000,3105,Fertilizante compuesto,Fertilizantes,False,73325.353,10800.0,DE,"WUXAL DOBLE, WUXAL, SM"
2026-01-01,20453665969,AGRO QUIMICA SILVA S.A.C.,3105100000,3105,Fertilizante compuesto,Fertilizantes,False,45396.288,6786.0,DE,"WUXAL FOSFORO, WUXAL, SM"
2026-01-01,20453665969,AGRO QUIMICA SILVA S.A.C.,3105100000,3105,Fertilizante compuesto,Fertilizantes,False,226974.47,35208.0,DE,"WUXAL POTASIO, WUXAL, SM"
2026-01-01,20601647649,EQUILIBRA PERU S.A,3102210000,3102,Fertilizante nitrogenado,Fertilizantes,True,149496.99,891000.0,CN,"SULFATO DE AMONIO ESTANDAR, S/M, S/M"
2026-01-01,20601647649,EQUILIBRA PERU S.A,3102210000,3102,Fertilizante nitrogenado,Fertilizantes,True,53523.61,319000.0,CN,"SULFATO DE AMONIO ESTANDAR, S/M, S/M"
2026-01-01,20524269440,MACROSOURCE PERÚ SOCIEDAD COMERCIAL DE R,3105909000,3105,Fertilizante compuesto,Fertilizantes,False,15029.08,21000.0,ES,"RENOVATION FUERZA, FERTINAGRO, S/M"
