ruc,razon_social,fob,tn,semanas,destinos,distrito,provincia,dep,fob_anual
20131495006,PERALES HUANCARUNA S.A.C.,157468961.69,29274.905,11,26,CALLAO,CALLAO,CALLAO,818838600.788
20555757469,AVOCADO PACKING COMPANY S.A.C.,116779786.535,68216.09493,11,11,SANTIAGO DE SURCO,LIMA,LIMA,607254889.982
20340584237,CAMPOSOL S.A.,115927337.859,40004.875647,11,29,SANTIAGO DE SURCO,LIMA,LIMA,602822156.8668001
20461642706,AGRICOLA CERRO PRIETO S.A.,83966546.706,32356.933123000003,11,24,SAN ISIDRO,LIMA,LIMA,436626042.8712
20451899881,PROCESADORA LARAN SAC,82729628.514,56513.39741400001,11,25,SAN ISIDRO,LIMA,LIMA,430194068.2728
20170040938,DANPER TRUJILLO S.A.C.,74348654.895,27412.122757,11,20,MOCHE,TRUJILLO,LA LIBERTAD,386613005.45399994
20501923428,CONSORCIO DE PRODUCTORES DE FRUTA S.A.,69168928.449,45947.59264400001,11,24,LA VICTORIA,LIMA,LIMA,359678427.93479997
20500985322,MACHU PICCHU FOODS S.A.C.,63139625.218,9222.680933,11,23,SAN ISIDRO,LIMA,LIMA,328326051.1336
20325117835,SOCIEDAD AGRICOLA DROKASA S.A.,62510663.992,25118.53246,11,15,SANTIAGO,ICA,ICA,325055452.75839996
20505688903,AGRICOLA ANDREA S.A.C.,60351150.538,13132.957219999998,11,15,SAN ISIDRO,LIMA,LIMA,313825982.7976
20614389941,VIRU AVOCADO S.A,53283470.01,27307.9634,11,10,VIRU,VIRU,LA LIBERTAD,277074044.052
20547669046,EXPORTADORA EL PARQUE PERU SAC,48087040.01,25110.377028000003,11,14,MIRAFLORES,LIMA,LIMA,250052608.05200002
20600876491,WESTFALIA FRUIT PERÚ S.A.C.,44199360.69,24686.59394,11,18,MIRAFLORES,LIMA,LIMA,229836675.588
20336183791,EL PEDREGAL S.A,42272971.523,15354.249,11,13,CASTILLA,PIURA,PIURA,219819451.9196
20411808972,AGRICOLA PAMPA BAJA S.A.C.,37454461.307,20671.65748,11,22,ATE,LIMA,LIMA,194763198.79639998
20297939131,COMPLEJO AGROINDUSTRIAL BETA S.A.,37212441.912,16677.128521,11,25,CHINCHA ALTA,CHINCHA,ICA,193504697.9424
20610068767,AQU ANQA II S.A.C.,36736882.379,4412.388,11,20,SAN ISIDRO,LIMA,LIMA,191031788.37080002
20473159644,CAFETALERA AMAZONICA S.A.C.,35663442.765,6985.519200000001,11,8,SAN ISIDRO,LIMA,LIMA,185449902.37800002
20131565659,TAL S A,33856961.57,17354.190958,11,18,TRUJILLO,TRUJILLO,LA LIBERTAD,176056200.164
20603311346,EXPORTADORA SAN RAMON S.A.C.,30502019.186,16585.84448,11,9,SAN ISIDRO,LIMA,LIMA,158610499.7672
20557530160,BLUEBERRIES PERU S.A.C.,29641424.32,3076.44706,11,8,SANTIAGO DE SURCO,LIMA,LIMA,154135406.464
20562877101,TA EXPORT S.A.C.,28447503.76,4860.4768300000005,11,7,SALAS,ICA,ICA,147927019.55200002
20522061035,EXPORTADORA ROMEX S.A.,27700505.58,4668.826,10,19,SANTIAGO DE SURCO,LIMA,LIMA,144042629.01599997
20512896252,OLAM AGRO PERÚ S.A.C.,27428341.05,3639.73,11,13,SAN ISIDRO,LIMA,LIMA,142627373.46
20136222725,SAFRESCO PERU S.A.,27285603.064,18362.90736,11,18,SANTIAGO DE SURCO,LIMA,LIMA,141885135.9328
20535747424,RVR AGRO S.R.L.,26242122.11,10765.7433,11,21,LA MOLINA,LIMA,LIMA,136459034.972
20600807685,AGROBERRIES PERU S.A.C.,26162109.77,3470.93854,11,9,VIRU,VIRU,LA LIBERTAD,136042970.804
20550858461,PLANTACIONES DEL SOL S.A.C,23644444.769,15013.2288,11,7,MIRAFLORES,LIMA,LIMA,122951112.7988
20451871286,NATUCULTURA S.A,23260523.584,26.907805,11,9,MIRAFLORES,LIMA,LIMA,120954722.63679999
20481121966,HASS PERU S.A.,21340641.882,7123.894836,11,11,TRUJILLO,TRUJILLO,LA LIBERTAD,110971337.78639999
20329725431,SUNSHINE EXPORT S.A.C,21246940.848,11844.605210000002,11,19,TAMBO GRANDE,PIURA,PIURA,110484092.40960002
20600699131,AGRO SAN GERARDO S.A.C.,20759873.83,4536.98112,9,5,IRAZOLA,PADRE ABAD,UCAYALI,107951343.916
20372081831,AGRICOLA CHAPI S.A.,19801548.129,7784.299,10,9,MIRAFLORES,LIMA,LIMA,102968050.2708
20451779711,SOCIEDAD AGRICOLA RAPEL   S.A.C.,19386650.614,8032.991199999999,4,7,CASTILLA,PIURA,PIURA,100810583.1928
20104902864,EXPORTADORA FRUTICOLA DEL SUR SA,19022422.345,4386.203012,11,24,SAN ISIDRO,LIMA,LIMA,98916596.19399999
20607481491,BAIKA PERU S.A.C.,18760049.562,10621.72766,11,11,SANTIAGO DE SURCO,LIMA,LIMA,97552257.7224
20517952533,PURA FRUIT COMPANY S.A.,16825693.713,5609.833799999999,10,9,MAGDALENA DEL MAR,LIMA,LIMA,87493607.3076
20602822533,HORTIFRUT - PERÚ S.A.C.,16372391.322,3137.275114,11,12,SALAVERRY,TRUJILLO,LA LIBERTAD,85136434.8744
20606133139,FAMILY FARMS PERÚ S.R.L.,15974786.86,1768.44098,11,3,MAGDALENA DEL MAR,LIMA,LIMA,83068891.672
