ruc,razon_social,fob,tn,semanas,lineas,rubro,pct,pct_acum,distrito,provincia,dep,fob_anual
20257364357,MOLINOS & CIA S.A.,939375382.428,2521975.002,212,1111,Fertilizantes,17.005896023133353,17.005896023133353,ATE,LIMA,LIMA,198567154.0091707
20601647649,EQUILIBRA PERU S.A,467561937.824,955166.1446,234,1394,Fertilizantes,8.46446463016517,25.47036065329852,SANTIAGO DE SURCO,LIMA,LIMA,98834230.75954472
20524269440,MACROSOURCE PERÚ SOCIEDAD COMERCIAL DE R,374372560.239,1003754.652,176,1042,Fertilizantes,6.777419285656697,32.24777993895522,SAN ISIDRO,LIMA,LIMA,79135663.13995123
20131016639,ORICA MINING SERVICES PERU S.A.,333282287.515,820347.48,63,99,Fertilizantes,6.033545304522114,38.28132524347733,SAN ISIDRO,LIMA,LIMA,70449914.43406503
20100094135,EXSA S A,327969028.604,588689.658,117,273,Fertilizantes,5.937357209459512,44.21868245293685,SAN ISIDRO,LIMA,LIMA,69326786.53417885
20483919159,CERES PERU SOCIEDAD ANONIMA,278445174.596,666017.497,123,512,Fertilizantes,5.0408066635552125,49.25948911649206,,,,58858329.589398384
20330791501,QUIMPAC S.A.,168340972.24,886339.16,22,22,Fertilizantes,3.047545341189565,52.30703445768163,CALLAO,CALLAO,CALLAO,35584270.554796755
20602237525,INKA AGRI-RESOURCES S.A.C.,163934288.319,402063.35515,124,495,Fertilizantes,2.9677693432560845,55.27480380093772,SANTIAGO DE SURCO,LIMA,LIMA,34652776.392634146
20307150981,TECNOLOGIA QUIMICA Y COMERCIO S.A.,148242240.951,10325.213127,225,1741,Proteccion de cultivos,2.683689803891803,57.95849360482952,ATE,LIMA,LIMA,31335758.249804877
20100096341,BAYER S.A.,134711995.394,10978.728182,225,2117,Proteccion de cultivos,2.4387462452102024,60.397239850039725,SAN ISIDRO,LIMA,LIMA,28475706.343447153
20100141583,FARMEX S A,90379583.893,7802.413112000001,222,1311,Proteccion de cultivos,1.6361785022785829,62.03341835231831,SAN ISIDRO,LIMA,LIMA,19104627.489577238
20506453047,CHEMTRADE S.A.C.,84940579.031,274441.4,54,76,Fertilizantes,1.5377139769325845,63.571132329250894,MAGDALENA DEL MAR,LIMA,LIMA,17954919.144764226
20516596946,ADAMA AGRICULTURE PERU S.A.,84449319.236,9461.749452,193,1343,Proteccion de cultivos,1.5288205003199415,65.09995282957084,SANTIAGO DE SURCO,LIMA,LIMA,17851075.61086179
20191503482,SILVESTRE PERU S.A.C.,83387163.458,18870.555959,235,2730,Proteccion de cultivos,1.5095918606739342,66.60954469024477,MIRAFLORES,LIMA,LIMA,17626554.877300814
20101637221,HORTUS S A,74472488.3,18176.072535,232,1655,Proteccion de cultivos,1.348205857109403,67.95775054735418,ATE,LIMA,LIMA,15742151.998373983
20100112214,FAMESA EXPLOSIVOS S.A.C.,74193881.004,179274.3105,150,864,Fertilizantes,1.3431621154958897,69.30091266285007,PUENTE PIEDRA,LIMA,LIMA,15683259.399219511
20392664310,SQM COMERCIAL PERÚ S.A.C.,71748781.929,149506.78404,139,357,Fertilizantes,1.2988974887944371,70.5998101516445,SANTIAGO DE SURCO,LIMA,LIMA,15166409.188243905
