cluster,empresas,agroindustria,productor,exportadores,importadores,dentro_2h,horas_al_hub,hub,rank,territorio,dep,sam_usd,clientes,extension_km,visitable_en_dia,empresas_por_mm
0,133.0,15.0,93.0,1.0,1.0,59.0,2.1324774669483304,Otuzco,1,"La Libertad · Sanchez Carrion, Pataz",La Libertad,33637887.472499914,9114.522777125883,231.538287725718,False,3.95387493072304
4,952.0,190.0,365.0,7.0,7.0,944.0,0.3319496942131081,Chiclayo,2,"Lambayeque · Chiclayo, Lambayeque",Lambayeque,31450481.05032067,7263.319854079438,196.3054414598064,False,30.269807271844368
17,451.0,69.0,256.0,15.0,2.0,0.0,3.9534802495327312,Chiclayo,3,"Piura · Ayabaca, Huancabamba",Piura,24788236.85153129,6340.19903520287,220.51240786659292,False,18.194113712131145
8,513.0,99.0,232.0,3.0,3.0,293.0,1.0065996404182442,Picota,4,"San Martín · Picota, Lamas",San Martín,23951737.31264537,5225.499805377807,253.66410158423653,False,21.418070568482758
5,649.0,99.0,389.0,9.0,1.0,497.0,1.6185761674423702,Satipo,5,"Junín · Satipo, Chanchamayo",Junín,23800262.49376659,8184.985777139142,183.9385112524297,False,27.26860681347428
18,283.0,35.0,163.0,2.0,0.0,263.0,0.8567348222422879,Jauja,6,"Junín · Jauja, Huancayo",Junín,13698201.745353617,4570.498663869022,204.3296669666913,False,20.659646080624608
1,168.0,19.0,102.0,3.0,0.0,168.0,0.6174099755226052,Pisco,7,"Ica · Pisco, Chincha",Ica,13502727.11900694,1835.520567788348,94.22816046472566,True,12.441931064689664
9,93.0,14.0,54.0,2.0,1.0,0.0,13.915195935527665,Pisco,8,"Cusco · Anta, Paucartambo",Cusco,12579168.581359794,5943.3481761095045,202.8512867313473,False,7.393175423200091
2,553.0,98.0,215.0,8.0,2.0,547.0,1.1317589110913104,Otuzco,9,"La Libertad · Ascope, Trujillo",La Libertad,7031975.070946208,1833.464665586528,88.56527896103984,True,78.64077935725524
23,230.0,49.0,125.0,0.0,1.0,0.0,6.100074580543151,Jauja,10,"Huánuco · Huanuco, Ambo",Huánuco,6823626.768246845,2292.79417902013,153.5419495541923,False,33.7064156366648
