ruc,razon_social,clase,estado,condicion,ubigeo,direccion,exporta,importa,comex,activo,habido,distrito,provincia,dep
20608560611,AGROSYF PERU E.I.R.L.,agro_otro,BAJA DE OFICIO,HABIDO,-00000,,False,False,False,False,True,,,
20342015108,AGROINDUSTRIAS NOBEX S.A.,agroindustria,ACTIVO,HABIDO,150108,AV. LOS FAISANES URB. LA  CAMPIÑA 148,False,False,False,True,True,CHORRILLOS,LIMA,LIMA
20512896252,OLAM AGRO PERÚ S.A.C.,agro_otro,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE ---- VIA PRINCIPAL 155 147 502,False,False,False,True,True,SAN ISIDRO,LIMA,LIMA
20159966764,LA FRONTERA S.A. EMPRESA AGROINDUSTRIAL,agroindustria,BAJA DEFINITIVA,HABIDO,150122,AV. ANGAMOS OESTE 1314,False,False,False,False,True,MIRAFLORES,LIMA,LIMA
20103655626,ANIMADORES DEL AGRO S.A.,agro_otro,BAJA DEFINITIVA,HABIDO,140101,AV. LORA Y CORDERO URB. EL PORVENIR 350,False,False,False,False,True,CHICLAYO,CHICLAYO,LAMBAYEQUE
20103431272,PROMOTORES AGRARIOS S.A.,productor,BAJA DEFINITIVA,HABIDO,140101,AV. LORA Y CORDERO URB. EL PORVENIR 350,False,False,False,False,True,CHICLAYO,CHICLAYO,LAMBAYEQUE
20101978053,RHONE POULENC AGRO PERU S.A.,agro_otro,BAJA DEFINITIVA,HABIDO,150103,CAR. CARRETERA CENTRAL K3.7,False,False,False,False,True,ATE,LIMA,LIMA
20109930751,AGRICOLA HUARMEY S.A.C.,productor,ACTIVO,HABIDO,070103,CAL. BARTOLOME BOGGIO URB. AJAX 145,False,False,False,True,True,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO
20503595142,CONSERVERA HUMBOLDT S.A.C.,agroindustria,BAJA DEFINITIVA,HABIDO,070101,AV. ARGENTINA 5982,False,False,False,False,True,CALLAO,CALLAO,CALLAO
20104420282,AGROINDUSTRIAS AIB S.A,agroindustria,ACTIVO,HABIDO,150122,AV. RICARDO PALMA 894,False,False,False,True,True,MIRAFLORES,LIMA,LIMA
20337967656,CORPORACION DE GRANJAS MOLINOS Y BIENES RAICES S.A.C.,agroindustria,BAJA DE OFICIO,NO HABIDO,150117,AV. ALFREDO MENDIOLA URB. SANTA LUISA A 25 2,False,False,False,False,False,LOS OLIVOS,LIMA,LIMA
