ruc,razon_social,clase,estado,condicion,ubigeo,direccion,exporta,importa,comex,activo,habido,distrito,provincia,dep
20342015108,AGROINDUSTRIAS NOBEX S.A.,agroindustria,ACTIVO,HABIDO,150108,AV. LOS FAISANES URB. LA  CAMPIÑA 148,False,False,False,True,True,CHORRILLOS,LIMA,LIMA
20512896252,OLAM AGRO PERÚ S.A.C.,agro_otro,ACTIVO,HABIDO,150131,AV. VICTOR ANDRES BELAUNDE ---- VIA PRINCIPAL 155 147 502,False,False,False,True,True,SAN ISIDRO,LIMA,LIMA
20109930751,AGRICOLA HUARMEY S.A.C.,productor,ACTIVO,HABIDO,070103,CAL. BARTOLOME BOGGIO URB. AJAX 145,False,False,False,True,True,CARMEN DE LA LEGUA REYNOSO,CALLAO,CALLAO
20104420282,AGROINDUSTRIAS AIB S.A,agroindustria,ACTIVO,HABIDO,150122,AV. RICARDO PALMA 894,False,False,False,True,True,MIRAFLORES,LIMA,LIMA
20100180210,FARMAGRO S A,agro_otro,ACTIVO,HABIDO,150716,AV. PRINCIPAL 2 Z.I. HUACHIPA ESTE 3B C5,False,False,False,True,True,SAN ANTONIO,HUAROCHIRI,LIMA
20137117712,COMPAÑIA MOLINERA DEL CENTRO S.A./CIA. MOLINERA DEL CENTRO S.A.,agroindustria,ACTIVO,HABIDO,150103,AV. NICOLAS AYLLON N. 11840 Z.I. ATE 1184,False,False,False,True,True,ATE,LIMA,LIMA
20116225779,AGROINDUSTRIAS SAN JACINTO S A A,agroindustria,ACTIVO,HABIDO,130208,AV. PARQUE FABRICA S/N.,False,False,False,True,True,CASA GRANDE,ASCOPE,LA LIBERTAD
20502647009,AGRONEGOCIOS GENESIS S.A.C.,productor,ACTIVO,HABIDO,150114,---- LOS ALMENDROS ---- RESD.MONTERRICO-ATE 202,False,False,False,True,True,LA MOLINA,LIMA,LIMA
20162348931,AGROINPER S.A.,agro_otro,ACTIVO,HABIDO,150131,CAL. DEAN VALDIVIA URB. JARDIN 148 701,False,False,False,True,True,SAN ISIDRO,LIMA,LIMA
20100002621,MOLINO EL TRIUNFO S A,agroindustria,ACTIVO,HABIDO,070101,AV. BOCANEGRA URB. BOCANEGRA 476,False,False,False,True,True,CALLAO,CALLAO,CALLAO
20504565794,BANCO AGROPECUARIO,productor,ACTIVO,HABIDO,150131,AV. REPUBLICA DE PANAMA URB. LIMATAMBO 3531 901,False,False,False,True,True,SAN ISIDRO,LIMA,LIMA
20371843575,PRODUCTOS Y MERCADOS AGRICOLAS DE HUARAL CAJA RURAL DE AHORRO Y CREDITO - CAJA RURAL PRYMERA,productor,ACTIVO,HABIDO,150122,AV. REPUBLICA DE PANAMA 6251,False,False,False,True,True,MIRAFLORES,LIMA,LIMA
20419208583,AGROPECUARIA WONG S.A.C.,productor,ACTIVO,HABIDO,150140,CAL. TALAMBO URB. CENTRO COMERCIAL MONTERRI 110 303,False,False,False,True,True,SANTIAGO DE SURCO,LIMA,LIMA
20131373075,SERVICIO NACIONAL DE SANIDAD AGRARIA,productor,ACTIVO,HABIDO,150114,AV. LA MOLINA 1915,False,False,False,True,True,LA MOLINA,LIMA,LIMA
