dep,capa,osm_id,nombre,lat,lon,ha,tipo,cultivo,operador,web,tel
AMAZONAS,agroind,w1021989811,Estación 06 PETROPERU,-5.04812,-78.264146,0.0,industrial,,,,
AMAZONAS,farmbld,w1533086672,construccion,-6.379955,-77.504687,0.0,farm_auxiliary,,,,
AMAZONAS,landuse,w291797276,,-5.744475,-78.58409,42.4,farmland,,,,
AMAZONAS,landuse,w291800042,,-5.731289,-78.475225,119.89,farmland,,,,
AMAZONAS,landuse,w372623331,,-5.81222,-78.264913,29.54,farmland,,,,
AMAZONAS,landuse,w372623332,,-5.821933,-78.26951,25.68,farmland,,,,
AMAZONAS,landuse,w741620933,,-5.661197,-78.628607,7.87,farmland,rice,,,
AMAZONAS,landuse,w741620934,,-5.657909,-78.632585,10.38,farmland,rice,,,
AMAZONAS,landuse,w741620935,,-5.662617,-78.63285,14.74,farmland,rice,,,
AMAZONAS,landuse,w990150839,,-6.595385,-77.807841,0.69,farmland,,,,
AMAZONAS,landuse,w990151535,,-6.596158,-77.807414,1.63,farmland,,,,
AMAZONAS,landuse,w990152033,,-6.596866,-77.807636,0.35,farmland,,,,
AMAZONAS,landuse,w990152736,,-6.594899,-77.807002,0.98,farmland,,,,
AMAZONAS,landuse,w990153259,,-6.59351,-77.807176,0.84,farmland,,,,
AMAZONAS,landuse,w990154362,,-6.595828,-77.806729,0.35,farmland,,,,
AMAZONAS,landuse,w990232130,,-6.593678,-77.806688,1.19,farmland,,,,
AMAZONAS,landuse,w990233885,,-6.595193,-77.806258,1.23,farmland,,,,
AMAZONAS,landuse,w990234183,,-6.597155,-77.809073,1.16,farmland,,,,
AMAZONAS,landuse,w990234843,,-6.598325,-77.809222,1.34,farmland,,,,
AMAZONAS,landuse,w990235382,,-6.592197,-77.80718,1.34,farmland,,,,
AMAZONAS,landuse,w990236427,,-6.589628,-77.808746,2.46,farmland,,,,
AMAZONAS,landuse,w990237057,,-6.591096,-77.808184,0.32,farmland,,,,
AMAZONAS,landuse,w990237110,,-6.591066,-77.807717,0.14,farmland,,,,
AMAZONAS,landuse,w990237208,,-6.591587,-77.807931,0.16,farmland,,,,
AMAZONAS,landuse,w990237639,,-6.595949,-77.808853,0.76,farmland,,,,
AMAZONAS,landuse,w990238044,,-6.595233,-77.810438,0.41,farmland,,,,
AMAZONAS,landuse,w990238349,,-6.595265,-77.809396,0.29,farmland,,,,
AMAZONAS,landuse,w990240188,,-6.594407,-77.81015,0.23,farmland,,,,
AMAZONAS,landuse,w990241555,,-6.594479,-77.810753,0.39,farmland,,,,
AMAZONAS,landuse,w990241843,,-6.588297,-77.809095,0.57,farmland,,,,
AMAZONAS,landuse,w990242218,,-6.590435,-77.809334,0.51,farmland,,,,
AMAZONAS,landuse,w990242344,,-6.594468,-77.811203,0.13,farmland,,,,
AMAZONAS,landuse,w990242649,,-6.594501,-77.81192,0.4,farmland,,,,
AMAZONAS,landuse,w990242784,,-6.594015,-77.811804,0.34,farmland,,,,
AMAZONAS,landuse,w990242974,,-6.593963,-77.811243,0.13,farmland,,,,
AMAZONAS,landuse,w990243209,,-6.594045,-77.810751,0.13,farmland,,,,
AMAZONAS,landuse,w990243857,,-6.592167,-77.812567,0.75,farmland,,,,
AMAZONAS,landuse,w990245276,,-6.591419,-77.812635,0.26,farmland,,,,
AMAZONAS,landuse,w990245304,,-6.59086,-77.812548,0.23,farmland,,,,
AMAZONAS,landuse,w990245589,,-6.590856,-77.812137,0.31,farmland,,,,
AMAZONAS,landuse,w990246013,,-6.590414,-77.811334,0.51,farmland,,,,
AMAZONAS,landuse,w990246426,,-6.590875,-77.80988,1.0,farmland,,,,
AMAZONAS,landuse,w990980602,,-6.589962,-77.814738,1.6,farmland,,,,
