cultivo,tipo,dep,mes,ha,usd_ha,demanda_usd,k
acelga,transitorio,Amazonas,Set,1.0,417.25333333333333,417.25333333333333,amazonas
acelga,transitorio,Amazonas,Oct,0.5,417.25333333333333,208.62666666666667,amazonas
acelga,transitorio,Amazonas,Dic,0.5,417.25333333333333,208.62666666666667,amazonas
acelga,transitorio,Áncash,Ago,5.0,417.25333333333333,2086.2666666666664,ancash
acelga,transitorio,Áncash,Set,5.0,417.25333333333333,2086.2666666666664,ancash
acelga,transitorio,Áncash,Oct,7.0,417.25333333333333,2920.7733333333335,ancash
acelga,transitorio,Áncash,Nov,7.0,417.25333333333333,2920.7733333333335,ancash
acelga,transitorio,Áncash,Dic,8.0,417.25333333333333,3338.0266666666666,ancash
acelga,transitorio,Áncash,Ene,6.0,417.25333333333333,2503.52,ancash
acelga,transitorio,Áncash,Feb,5.0,417.25333333333333,2086.2666666666664,ancash
acelga,transitorio,Áncash,Mar,8.0,417.25333333333333,3338.0266666666666,ancash
acelga,transitorio,Áncash,Abr,6.0,417.25333333333333,2503.52,ancash
acelga,transitorio,Áncash,May,7.0,417.25333333333333,2920.7733333333335,ancash
acelga,transitorio,Áncash,Jun,6.0,417.25333333333333,2503.52,ancash
acelga,transitorio,Áncash,Jul,6.0,417.25333333333333,2503.52,ancash
acelga,transitorio,Arequipa,Ago,9.0,417.25333333333333,3755.2799999999997,arequipa
acelga,transitorio,Arequipa,Set,5.0,417.25333333333333,2086.2666666666664,arequipa
acelga,transitorio,Arequipa,Oct,9.0,417.25333333333333,3755.2799999999997,arequipa
acelga,transitorio,Arequipa,Nov,11.0,417.25333333333333,4589.786666666667,arequipa
acelga,transitorio,Arequipa,Dic,12.0,417.25333333333333,5007.04,arequipa
acelga,transitorio,Arequipa,Ene,13.0,417.25333333333333,5424.293333333333,arequipa
acelga,transitorio,Arequipa,Feb,9.0,417.25333333333333,3755.2799999999997,arequipa
acelga,transitorio,Arequipa,Mar,3.0,417.25333333333333,1251.76,arequipa
acelga,transitorio,Arequipa,Abr,10.0,417.25333333333333,4172.533333333333,arequipa
acelga,transitorio,Arequipa,May,7.0,417.25333333333333,2920.7733333333335,arequipa
acelga,transitorio,Arequipa,Jun,9.0,417.25333333333333,3755.2799999999997,arequipa
acelga,transitorio,Arequipa,Jul,13.0,417.25333333333333,5424.293333333333,arequipa
acelga,transitorio,Ica,Oct,3.0,417.25333333333333,1251.76,ica
acelga,transitorio,Ica,Nov,5.0,417.25333333333333,2086.2666666666664,ica
acelga,transitorio,Ica,Dic,2.0,417.25333333333333,834.5066666666667,ica
acelga,transitorio,Ica,Ene,6.0,417.25333333333333,2503.52,ica
acelga,transitorio,Ica,Mar,4.0,417.25333333333333,1669.0133333333333,ica
acelga,transitorio,Ica,Abr,4.0,417.25333333333333,1669.0133333333333,ica
acelga,transitorio,Ica,May,4.0,417.25333333333333,1669.0133333333333,ica
acelga,transitorio,Ica,Jun,2.0,417.25333333333333,834.5066666666667,ica
acelga,transitorio,Ica,Jul,3.0,417.25333333333333,1251.76,ica
acelga,transitorio,Junín,Ago,6.0,417.25333333333333,2503.52,junin
acelga,transitorio,Junín,Set,10.0,417.25333333333333,4172.533333333333,junin
acelga,transitorio,Junín,Oct,5.0,417.25333333333333,2086.2666666666664,junin
acelga,transitorio,Junín,Nov,6.0,417.25333333333333,2503.52,junin
acelga,transitorio,Junín,Ene,3.0,417.25333333333333,1251.76,junin
acelga,transitorio,Junín,Feb,6.0,417.25333333333333,2503.52,junin
acelga,transitorio,Junín,Mar,4.0,417.25333333333333,1669.0133333333333,junin
acelga,transitorio,Junín,Abr,5.0,417.25333333333333,2086.2666666666664,junin
acelga,transitorio,Junín,May,2.0,417.25333333333333,834.5066666666667,junin
acelga,transitorio,Junín,Jun,2.0,417.25333333333333,834.5066666666667,junin
acelga,transitorio,Junín,Jul,3.0,417.25333333333333,1251.76,junin
acelga,transitorio,La Libertad,Set,2.0,417.25333333333333,834.5066666666667,lalibertad
acelga,transitorio,La Libertad,Oct,0.5,417.25333333333333,208.62666666666667,lalibertad
acelga,transitorio,La Libertad,Nov,0.5,417.25333333333333,208.62666666666667,lalibertad
acelga,transitorio,La Libertad,Ene,1.0,417.25333333333333,417.25333333333333,lalibertad
acelga,transitorio,La Libertad,Feb,3.0,417.25333333333333,1251.76,lalibertad
acelga,transitorio,La Libertad,Mar,4.5,417.25333333333333,1877.6399999999999,lalibertad
acelga,transitorio,La Libertad,Abr,4.0,417.25333333333333,1669.0133333333333,lalibertad
acelga,transitorio,La Libertad,May,2.5,417.25333333333333,1043.1333333333332,lalibertad
acelga,transitorio,La Libertad,Jun,1.0,417.25333333333333,417.25333333333333,lalibertad
acelga,transitorio,La Libertad,Jul,1.0,417.25333333333333,417.25333333333333,lalibertad
acelga,transitorio,Lima Metropolitana,Ago,13.0,417.25333333333333,5424.293333333333,lima
acelga,transitorio,Lima Metropolitana,Set,11.0,417.25333333333333,4589.786666666667,lima
acelga,transitorio,Lima Metropolitana,Oct,11.0,417.25333333333333,4589.786666666667,lima
acelga,transitorio,Lima Metropolitana,Nov,9.0,417.25333333333333,3755.2799999999997,lima
acelga,transitorio,Lima Metropolitana,Dic,12.0,417.25333333333333,5007.04,lima
acelga,transitorio,Lima Metropolitana,Ene,13.0,417.25333333333333,5424.293333333333,lima
acelga,transitorio,Lima Metropolitana,Feb,11.0,417.25333333333333,4589.786666666667,lima
acelga,transitorio,Lima Metropolitana,Mar,12.0,417.25333333333333,5007.04,lima
acelga,transitorio,Lima Metropolitana,Abr,13.0,417.25333333333333,5424.293333333333,lima
acelga,transitorio,Lima Metropolitana,May,9.0,417.25333333333333,3755.2799999999997,lima
acelga,transitorio,Lima Metropolitana,Jun,14.0,417.25333333333333,5841.546666666667,lima
acelga,transitorio,Lima Metropolitana,Jul,14.0,417.25333333333333,5841.546666666667,lima
acelga,transitorio,Tacna,Feb,2.0,417.25333333333333,834.5066666666667,tacna
acelga,transitorio,Tacna,Mar,2.0,417.25333333333333,834.5066666666667,tacna
aji,transitorio,Amazonas,Ago,1.0,799.9466666666667,799.9466666666667,amazonas
aji,transitorio,Amazonas,Set,3.5,799.9466666666667,2799.8133333333335,amazonas
aji,transitorio,Amazonas,Oct,2.5,799.9466666666667,1999.8666666666668,amazonas
aji,transitorio,Amazonas,Nov,8.5,799.9466666666667,6799.546666666667,amazonas
aji,transitorio,Amazonas,Dic,6.0,799.9466666666667,4799.68,amazonas
aji,transitorio,Amazonas,Ene,1.0,799.9466666666667,799.9466666666667,amazonas
aji,transitorio,Amazonas,Feb,2.0,799.9466666666667,1599.8933333333334,amazonas
aji,transitorio,Amazonas,Mar,0.5,799.9466666666667,399.97333333333336,amazonas
aji,transitorio,Amazonas,Abr,2.0,799.9466666666667,1599.8933333333334,amazonas
