mes,ha,demanda,pct
Ene,412077.9724166667,145344803.84339112,8.549856881130351
Feb,382724.42241666664,137386456.72952443,8.081709915881888
Mar,307208.2224166667,109074389.52579111,6.416262536960187
Abr,271884.37241666665,94944535.94152445,5.585078877811441
May,268429.62241666665,96097185.80872445,5.652883100171069
Jun,289852.37241666665,107088683.2913911,6.299454067285677
Jul,292174.12241666665,108351830.19672444,6.373758238985407
Ago,348074.32241666666,133827138.58872445,7.872334280196686
Set,425565.2224166667,167876711.71139112,9.875288423476986
Oct,539406.8224166667,219377677.53032443,12.904814593991597
Nov,497272.5224166667,197054003.8793911,11.59163235610302
Dic,500893.7224166667,183544265.03405777,10.796926728005676
