k,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Set,Oct,Nov,Dic,total,mes_pico,pct_pico,pct_top4
sanmartin,15476490.416133335,20495031.7788,18664069.0668,14221817.793466667,13465632.1388,15797638.8748,15445295.189466666,15942090.784133334,19368617.061466668,16794035.088133335,13691202.840133334,13921756.229466667,193283677.26160002,Feb,10.603601953961675,38.969536415253366
puno,8976282.617777778,1905992.7137777775,1906409.967111111,1905992.7137777775,1905992.7137777775,1990168.5004444444,2593912.0737777776,6446040.804444444,14936953.844444444,28201612.281777777,26636762.697777774,31859250.740444444,129265371.66933334,Dic,24.646392401162043,78.62475329002287
cajamarca,12234873.394808888,11164595.808142222,9765552.981475556,8460679.769475555,7755492.236142223,6927168.938808889,5376464.038808889,5834520.428142223,9379639.574808888,19631801.332142223,13630022.764142223,14563914.44680889,124724725.71370669,Oct,15.740103832503177,48.1545351927776
piura,9290864.672,22763441.226666667,17133911.024,9885865.509333333,5457786.143999999,6472763.056,7716542.549333334,12430085.301333334,12396146.714666666,5363108.021333333,4905260.112,4964606.575999999,118780380.90666668,Feb,19.164310682378897,54.49013024930785
huanuco,7286430.399155555,6305273.612488888,6663470.652488888,7065630.575155555,8544087.849822221,9776391.296488889,9139321.971155556,9667452.455155555,12656773.216488888,14839246.021822222,10188426.927155554,8569224.620488888,110701729.59786665,Oct,13.404710184499402,42.87271538968817
lalibertad,11352424.72128889,11570938.830622222,5613506.721288889,4491205.227955556,5177616.6786222225,5690243.355955555,4236740.622622223,5235752.2652888885,6519690.401288889,13404266.10528889,15044928.329288889,19441443.499955557,107778756.75946668,Dic,18.038288884092115,55.1700340150127
junin,5181786.312777778,4785144.6914444445,4996954.894111112,5200675.816777778,5315535.640777778,5561592.275444445,6471097.811444445,8532012.691444445,11636210.254111111,15395670.040777778,10340551.779444445,7873896.2807777785,91291128.48933333,Oct,16.864366007455637,50.28357686600551
amazonas,7458892.198266667,7366211.7044,6893596.1716,6454045.3396000005,5271567.480933334,4909150.2756,4755121.622266667,6189929.312933333,6907530.712933334,8606342.267866667,9571468.944933333,10356846.576933334,84740702.60826667,Dic,12.221808715476708,42.474925130593306
cusco,2873331.3768888894,2229831.0942222225,2234160.507555556,2228259.2275555558,2198348.854222222,2172890.1875555557,2526221.312888889,7581756.467555556,13761506.888888888,16687470.763555555,19225716.99822222,7417204.598222222,81136698.27733333,Nov,23.695463836236964,70.56788399561682
loreto,3025807.345711111,3245849.223044445,2694644.3110444443,3384220.3910444444,5910641.052377778,11232720.56171111,15186622.556377778,11454944.103044445,9267500.572377779,6739830.775044445,4036396.385711111,3574093.265711111,79753270.5432,Jul,19.042005992909885,59.10953553682265
