h3,dep,prov,centro_lat,centro_lon,sam_usd,clientes,cluster,horas_al_territorio
868e4581fffffff,ICA,ICA,-13.875541173526411,-75.7908120549539,1846853.1000618795,251.0557179279325,1,0.0
86b330107ffffff,AREQUIPA,AREQUIPA,-16.63610085236615,-72.04644407198954,1260531.1850285537,243.1577055441658,32,0.0
868f51667ffffff,LA LIBERTAD,OTUZCO,-7.962250804472213,-78.42354775059133,1047646.0702162446,273.1554125836235,0,0.0
868e45897ffffff,ICA,ICA,-13.895926600895352,-75.98292621226766,998318.5337644944,135.7084525058374,1,0.0
868f53857ffffff,LA LIBERTAD,ASCOPE,-7.699709325926152,-79.21685376078293,889468.1462567515,231.91328195466207,2,0.0
86b330d0fffffff,AREQUIPA,CAYLLOMA,-16.342526708694475,-72.27212609832195,856593.8085109731,165.23778827109982,15,0.0
868e636c7ffffff,ICA,PISCO,-13.628267410837893,-76.04237189239949,801519.8116511044,108.95621949617278,1,0.0
868f4aa1fffffff,HUANUCO,PUERTO INCA,-9.57870101694129,-75.10592702659503,800589.6930784951,269.0046584340797,3,0.0
868f56a47ffffff,LAMBAYEQUE,LAMBAYEQUE,-6.198577318066968,-79.73440657869644,766004.6911852624,172.05356897490924,4,0.0
868e63617ffffff,ICA,CHINCHA,-13.468891279495091,-76.09080286123388,736431.4329302165,100.10829886404989,1,0.0
868f50517ffffff,LAMBAYEQUE,CHICLAYO,-6.704284423088323,-79.85002500915118,734690.717339929,165.0200859938324,4,0.0
868e6598fffffff,JUNIN,SATIPO,-10.951788584112148,-74.58280913110674,725845.9347082854,248.25196394282136,5,0.0
868e45127ffffff,ICA,ICA,-13.997479431260103,-75.90786389141236,705986.7755772854,95.96974268513452,1,0.0
868f50577ffffff,LAMBAYEQUE,CHICLAYO,-6.745856360360348,-79.6862405012802,700179.9933812455,157.26857573113173,4,0.0
868e653a7ffffff,JUNIN,SATIPO,-11.602388222470651,-74.51505221779517,695642.9020118603,237.92200020619148,5,0.0
868e65327ffffff,JUNIN,SATIPO,-11.531299559305811,-74.36302749213323,688953.9929734467,235.63427670176983,5,0.0
868e65c07ffffff,JUNIN,CHANCHAMAYO,-11.042391456673196,-74.92413801646296,685297.1476825689,234.3835718594808,5,0.0
868f513b7ffffff,LA LIBERTAD,OTUZCO,-7.73220498407443,-78.31665337870147,677558.860775936,176.66163738555198,0,0.0
86b33080fffffff,AREQUIPA,AREQUIPA,-16.44836737171471,-71.84414435051355,665910.0307458446,128.45469996947088,55,0.0
868e65d2fffffff,JUNIN,CHANCHAMAYO,-10.86966050277431,-74.84624199535659,663620.0155203446,226.96961474462407,5,0.0
868f5478fffffff,LAMBAYEQUE,LAMBAYEQUE,-6.016213886751315,-79.52681491404108,659933.739521896,148.22879869836083,4,0.0
868e6434fffffff,JUNIN,CHANCHAMAYO,-11.06863175444613,-75.17692851707997,657091.7999711524,224.7368512150188,5,0.0
868e45b9fffffff,ICA,ICA,-14.135915013482444,-75.66715200123777,624745.3689458471,84.92602747754847,6,0.0
868e63787ffffff,ICA,CHINCHA,-13.367028468385268,-76.16574628141886,624053.936305931,84.83203618078147,1,0.0
868f0dc9fffffff,TUMBES,TUMBES,-3.5696847169700576,-80.50417828840153,623514.0272270537,92.0425539190211,7,0.0
868f4b6dfffffff,JUNIN,CHANCHAMAYO,-10.863086910557644,-74.78316483714379,617677.838815104,211.25658936346272,5,0.0
868f5056fffffff,LAMBAYEQUE,CHICLAYO,-6.792667189620269,-79.58604581523521,614835.706121576,138.09925551205404,4,0.0
868f4611fffffff,SAN MARTIN,MOYOBAMBA,-5.766549854293461,-77.22700849794845,612672.4275323768,133.43331989481962,8,0.0
868e658e7ffffff,JUNIN,SATIPO,-11.104486562818687,-74.47136810704643,612378.1355769688,209.4439984619101,5,0.0
868e458efffffff,ICA,ICA,-13.976997945161548,-75.71576131090183,602099.7632635058,81.84765118855039,6,0.0
868e45d5fffffff,ICA,PISCO,-13.851868815978309,-76.08453254800966,595690.4509978577,80.97638834029102,1,0.0
