umbral_h,k,hub,provincia,region,lat,lon,sam_cubierto,pct_sam,marginal
2.0,1,Chiclayo,Chiclayo,Lambayeque,-6.77369,-79.83987,33896923.65634051,6.743663897679869,6.743663897679869
2.0,2,Pisco,Pisco,Ica,-13.71173,-76.20448,56977058.9598062,11.335368937863786,4.591705040183917
2.0,3,Bellavista,Bellavista,San Martin,-7.05936,-76.59079,72750296.91947573,14.473394572772412,3.138025634908626
2.0,4,Juliaca,San Roman,Puno,-15.49396,-70.13582,88278272.32339211,17.562626156059896,3.089231583287484
2.0,5,Satipo,Satipo,Junin,-11.24928,-74.6386,102844582.80569892,20.46053816476674,2.897912008706843
2.0,6,Tarma,Tarma,Junin,-11.42073,-75.69104,116228092.95337366,23.12313655045311,2.6625983856863726
2.0,7,Chulucanas,Morropon,Piura,-5.09714,-80.16423,129581617.89883119,25.779769494328097,2.6566329438749854
2.0,8,Viru,Viru,La Libertad,-8.41636,-78.75449,142881116.01286507,28.425654005800435,2.645884511472339
2.0,9,Moyobamba,Moyobamba,San Martin,-6.03309,-76.97251,155085118.23796105,30.85359378130836,2.427939775507923
2.0,10,Puerto Inca,Puerto Inca,Huanuco,-9.37714,-74.96786,166397067.32303515,33.10406298113316,2.2504691998248028
2.0,11,Urcos,Quispicanchi,Cusco,-13.68439,-71.6243,177574295.64698943,35.32772999848729,2.2236670173541313
2.0,12,Huacho,Huaura,Lima,-11.10751,-77.60803,187860618.7261496,37.374154809543214,2.046424811055921
4.0,1,Chiclayo,Chiclayo,Lambayeque,-6.77369,-79.83987,61666182.60721702,12.268252233510186,12.268252233510186
4.0,2,Tarma,Tarma,Junin,-11.42073,-75.69104,99230969.29133974,19.74162351504767,7.473371281537485
4.0,3,Tarapoto,San Martin,San Martin,-6.48895,-76.36512,134107369.50351807,26.68015054411946,6.938527029071789
4.0,4,Chincha Alta,Chincha,Ica,-13.42019,-76.13568,167832016.8992344,33.38954073569617,6.709390191576713
4.0,5,Sicuani,Canchis,Cusco,-14.27128,-71.22905,199828686.98375317,39.75515642054554,6.365615684849367
4.0,6,Huamachuco,Sanchez Carrion,La Libertad,-7.81549,-78.05275,228077440.05578417,45.37513828608852,5.619981865542982
4.0,7,Puerto Inca,Puerto Inca,Huanuco,-9.37714,-74.96786,252072259.18597233,50.148816190907496,4.773677904818975
4.0,8,Mollendo,Islay,Arequipa,-17.02514,-72.01812,272739070.7996465,54.26039967182365,4.111583480916153
4.0,9,Bagua Grande,Utcubamba,Amazonas,-5.7561,-78.44291,291472956.3622712,57.98743487456857,3.727035202744922
4.0,10,Tingo Maria,Leoncio Prado,Huanuco,-9.29569,-75.99961,307211568.40419286,61.118571814980676,3.131136940412105
4.0,11,Barranca,Barranca,Lima,-10.75406,-77.76298,321065753.4444205,63.87480917842896,2.7562373634482853
4.0,12,Ilave,El Collao,Puno,-16.08685,-69.63887,332919918.04127574,66.23315008981767,2.3583409113887086
6.0,1,Lambayeque,Lambayeque,Lambayeque,-6.7025,-79.90942,99826930.12401108,19.86018765356545,19.86018765356545
6.0,2,Junin,Junin,Junin,-11.16582,-75.99829,172248835.04059112,34.268249887726064,14.408062234160614
6.0,3,Lampa,Lampa,Puno,-15.36387,-70.36544,225604137.34198555,44.883084128366825,10.61483424064076
6.0,4,Picota,Picota,San Martin,-6.9195,-76.3317,270411178.1337885,53.797274289485784,8.91419016111896
6.0,5,Chincha Alta,Chincha,Ica,-13.42019,-76.13568,311115351.6472032,61.89521462738328,8.097940337897498
6.0,6,Huamachuco,Sanchez Carrion,La Libertad,-7.81549,-78.05275,338603150.20757973,67.36380749019412,5.468592862810837
6.0,7,Aguaytia,Padre Abad,Ucayali,-9.03776,-75.51285,365353754.3594904,72.68573833233475,5.321930842140631
6.0,8,Camana,Camana,Arequipa,-16.62378,-72.71141,386225494.9808458,76.83809165905457,4.152353326719819
6.0,9,Bagua Grande,Utcubamba,Amazonas,-5.7561,-78.44291,401127512.8215643,79.80279136849965,2.9646997094450853
6.0,10,Ayacucho,Huamanga,Ayacucho,-13.16055,-74.22667,415001849.7872741,82.56303788079343,2.760246512293776
6.0,11,Piura,Piura,Piura,-5.19598,-80.62973,426977695.2518146,84.94558673750386,2.3825488567104287
6.0,12,La Union,Dos De Mayo,Huanuco,-9.82626,-76.80129,436437318.79981387,86.82754282452335,1.8819560870194891
