categoria,glosa,fob_usd,fob_anual,toneladas,empresas,partidas,lineas
ganaderia,Maíz amarillo duro en grano,242087145.571,1144411960.881091,1196316.9632,37.0,1.0,214.0
ganaderia,Torta de soya,204108436.777,964876246.5821819,585048.37,95.0,1.0,2370.0
ganaderia,Preparaciones para alimentación animal,54756917.486,258850882.66109094,31208.338524,104.0,1.0,1538.0
ganaderia,Vacuna veterinaria,12155252.639999999,57461194.29818181,53.107043,17.0,1.0,275.0
ganaderia,"Avicultura, apicultura y ganadería",10666122.201,50421668.58654545,2206.779494,77.0,3.0,291.0
ganaderia,"Harina de carne, hueso y pescado",6567258.562000001,31045222.293090917,7438.0114539999995,11.0,2.0,110.0
ganaderia,Aves vivas: pollito BB y pavo,6284056.319000001,29706448.05345455,35.018860000000004,8.0,2.0,83.0
ganaderia,Ordeño y lechería,973681.8419999998,4602859.616727272,50.468025999999995,12.0,2.0,23.0
ganaderia,Bovinos vivos,464030.15,2193597.0727272728,38.77675,6.0,2.0,12.0
ganaderia,Otros residuos vegetales forrajeros,379697.294,1794932.6625454545,235.6,3.0,1.0,6.0
ganaderia,Otras tortas oleaginosas,236872.107,1119759.0512727273,843.24,3.0,2.0,20.0
ganaderia,Residuos de almidón y remolacha,197977.239,935892.4025454547,317.86919700000004,4.0,3.0,12.0
ganaderia,Salvados y residuos de molienda,96076.782,454181.15127272735,450.0,5.0,2.0,39.0
ganaderia,Forraje: alfalfa y similares,55322.0,261522.1818181818,222.0,2.0,1.0,4.0
ganaderia,Torta de maní,20454.35,96693.2909090909,3.316941,1.0,1.0,2.0
ganaderia,Otros animales vivos,5847.294,27641.75345454545,0.15375,2.0,2.0,25.0
maquinaria,Tractor agrícola,22087451.019999996,104413404.82181816,2516.505071,61.0,5.0,688.0
maquinaria,Cosecha y corte,4102347.1659999997,19392913.87563636,677.630294,113.0,9.0,1240.0
maquinaria,Preparación de suelo y siembra,2171422.1100000003,10264904.520000001,554.3521270000001,75.0,8.0,294.0
maquinaria,Otra maquinaria hortícola,1789986.4729999998,8461754.236,120.56394099999999,44.0,1.0,128.0
poscosecha,Pesado y envasado de producto,16236999.405000001,76756724.46000001,153.47311000000002,21.0,1.0,54.0
poscosecha,Maquinaria para industria alimentaria,15288329.145,72272101.41272727,677.867121,201.0,7.0,802.0
poscosecha,Molienda y selección de grano,3965912.494,18747949.971636362,531.646122,70.0,2.0,199.0
repuestos,Herramienta de mano agrícola,6174532.225,29188697.79090909,1807.793612,132.0,6.0,1970.0
repuestos,Partes de maquinaria de cosecha,3187785.3430000003,15069530.712363638,208.173636,116.0,1.0,2179.0
repuestos,Partes de maquinaria alimentaria,2649753.463,12526107.279636363,117.58421700000001,151.0,1.0,1338.0
repuestos,Partes de maquinaria de suelo,1223976.207,5786069.342181818,385.89374,71.0,1.0,819.0
repuestos,Partes de equipo avícola,1154325.581,5456811.837454545,64.699648,40.0,1.0,379.0
repuestos,Partes de molinería,574782.921,2717155.6265454544,55.430448999999996,42.0,1.0,235.0
repuestos,Partes de equipo de ordeño,555375.561,2625411.7429090906,9.181194999999999,18.0,1.0,188.0
repuestos,Partes de equipo ganadero,489884.833,2315819.2105454546,35.10662,62.0,1.0,245.0
riego,Sistema de riego y aparatos agrícolas,5149868.891000001,24344834.757454548,428.589975,52.0,1.0,2020.0
riego,Pulverizador agrícola portátil,3255341.142,15388885.398545455,478.63124,85.0,1.0,1666.0
riego,Pulverizador agrícola autopropulsado,1523868.0500000003,7203739.872727273,127.86380100000001,31.0,1.0,77.0
semillas,Plantines y plantas vivas,13482666.938000001,63736243.7069091,93.243664,29.0,2.0,731.0
semillas,Semilla para siembra,9972500.739999998,47142730.770909086,820.9326510000001,49.0,7.0,814.0
semillas,Semilla de maíz,8267749.859999999,39083908.4290909,1348.82844,10.0,1.0,158.0
semillas,Bulbos y tubérculos para plantar,391193.29500000004,1849277.394545455,97.46010000000001,3.0,1.0,141.0
