categoria,glosa,partida,partida6,partida4,ruc,razon_social,fob_usd,peso_kg,pais_origen,descripcion
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,1107.144,77.727,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,210.284,14.763,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,1093.476,76.767,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,404.796,28.418,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,344.866,24.211,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,799.079,56.099,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,5509.437,386.787,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,201.873,14.172,PL,"ALIMENTO DE TORTUGA ACUATICA, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,135.002,9.478,PL,"MINERALES PARA TORTUGA ACUATIC, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,304.211,21.357,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,638.001,44.791,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,479.447,33.659,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,968.532,67.995,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,319.631,22.44,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,1062.634,74.601,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,798.378,56.05,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,713.283,50.075,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,1486.006,104.325,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,294.187,20.653,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,992.54,69.68,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,1666.383,116.988,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,595.524,41.808,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
ganaderia,Preparaciones para alimentación animal,2309909000,230990,2309,20517342549,ACUARIO WALDEMAR S.A.C.,325.94,22.882,PL,"ALIMENTO DE PECES ORNALMENTALE, TROPICAL, S/M"
