insumo,dep,cultivo,tipo,mes,ha,usd,estructura
Fertilizante,Amazonas,acelga,transitorio,Set,1.0,136.18,media de su familia
Fitosanitario,Amazonas,acelga,transitorio,Set,1.0,86.72,media de su familia
Semilla,Amazonas,acelga,transitorio,Set,1.0,107.15,media de su familia
Riego,Amazonas,acelga,transitorio,Set,1.0,38.96,media de su familia
Abono orgánico,Amazonas,acelga,transitorio,Set,1.0,47.67,media de su familia
Asistencia técnica,Amazonas,acelga,transitorio,Set,1.0,0.56,media de su familia
Fertilizante,Amazonas,acelga,transitorio,Oct,0.5,68.09,media de su familia
Fitosanitario,Amazonas,acelga,transitorio,Oct,0.5,43.36,media de su familia
Semilla,Amazonas,acelga,transitorio,Oct,0.5,53.58,media de su familia
Riego,Amazonas,acelga,transitorio,Oct,0.5,19.48,media de su familia
Abono orgánico,Amazonas,acelga,transitorio,Oct,0.5,23.84,media de su familia
Asistencia técnica,Amazonas,acelga,transitorio,Oct,0.5,0.28,media de su familia
Fertilizante,Amazonas,acelga,transitorio,Dic,0.5,68.09,media de su familia
Fitosanitario,Amazonas,acelga,transitorio,Dic,0.5,43.36,media de su familia
Semilla,Amazonas,acelga,transitorio,Dic,0.5,53.58,media de su familia
Riego,Amazonas,acelga,transitorio,Dic,0.5,19.48,media de su familia
Abono orgánico,Amazonas,acelga,transitorio,Dic,0.5,23.84,media de su familia
Asistencia técnica,Amazonas,acelga,transitorio,Dic,0.5,0.28,media de su familia
Fertilizante,Áncash,acelga,transitorio,Ago,5.0,680.9,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Ago,5.0,433.6,media de su familia
Semilla,Áncash,acelga,transitorio,Ago,5.0,535.77,media de su familia
Riego,Áncash,acelga,transitorio,Ago,5.0,194.81,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Ago,5.0,238.36,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Ago,5.0,2.82,media de su familia
Fertilizante,Áncash,acelga,transitorio,Set,5.0,680.9,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Set,5.0,433.6,media de su familia
Semilla,Áncash,acelga,transitorio,Set,5.0,535.77,media de su familia
Riego,Áncash,acelga,transitorio,Set,5.0,194.81,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Set,5.0,238.36,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Set,5.0,2.82,media de su familia
Fertilizante,Áncash,acelga,transitorio,Oct,7.0,953.26,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Oct,7.0,607.05,media de su familia
Semilla,Áncash,acelga,transitorio,Oct,7.0,750.08,media de su familia
Riego,Áncash,acelga,transitorio,Oct,7.0,272.74,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Oct,7.0,333.7,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Oct,7.0,3.95,media de su familia
Fertilizante,Áncash,acelga,transitorio,Nov,7.0,953.26,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Nov,7.0,607.05,media de su familia
Semilla,Áncash,acelga,transitorio,Nov,7.0,750.08,media de su familia
Riego,Áncash,acelga,transitorio,Nov,7.0,272.74,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Nov,7.0,333.7,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Nov,7.0,3.95,media de su familia
Fertilizante,Áncash,acelga,transitorio,Dic,8.0,1089.44,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Dic,8.0,693.77,media de su familia
Semilla,Áncash,acelga,transitorio,Dic,8.0,857.23,media de su familia
Riego,Áncash,acelga,transitorio,Dic,8.0,311.7,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Dic,8.0,381.37,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Dic,8.0,4.52,media de su familia
Fertilizante,Áncash,acelga,transitorio,Ene,6.0,817.08,media de su familia
Fitosanitario,Áncash,acelga,transitorio,Ene,6.0,520.32,media de su familia
Semilla,Áncash,acelga,transitorio,Ene,6.0,642.92,media de su familia
Riego,Áncash,acelga,transitorio,Ene,6.0,233.78,media de su familia
Abono orgánico,Áncash,acelga,transitorio,Ene,6.0,286.03,media de su familia
Asistencia técnica,Áncash,acelga,transitorio,Ene,6.0,3.39,media de su familia
Fertilizante,Áncash,acelga,transitorio,Feb,5.0,680.9,media de su familia
