cultivo,plaga,producto,ingrediente_activo,clase,toxicidad,dosis_min,dosis_max,unidad_dosis,dosis_estimada,cilindros_por_ha,precio_usd_kg,costo_ha_min_usd,costo_ha_max_usd,costo_ha_min_fob_usd,carencia_dias,lmr_ppm,titular,registro
,,APPLAUD,BUPROFEZIN,Insecticida,Ligeramente Peligroso,0.2,0.2,kg,True,2.0,53.6318,10.73,10.73,2.76,14,0.5,TECNOLOGIA QUIMICA Y COMERCIO S.A,166-96-AG-SENASA
,,VERTIMEC 1.8% EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.4,1.0,lt,False,,40.2239,16.09,40.22,6.3,7,0.01,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,231-96-AG-SENASA
,,APPLAUD,BUPROFEZIN,Insecticida,Ligeramente Peligroso,0.4,0.4,kg,True,2.0,53.6318,21.45,21.45,5.53,14,0.5,TECNOLOGIA QUIMICA Y COMERCIO S.A,166-96-AG-SENASA
,,APPLAUD,BUPROFEZIN,Insecticida,Ligeramente Peligroso,0.4,0.4,kg,True,2.0,53.6318,21.45,21.45,5.53,14,0.5,TECNOLOGIA QUIMICA Y COMERCIO S.A,166-96-AG-SENASA
,,VERTIMEC 1.8% EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.56,1.5,lt,False,,40.2239,22.53,60.34,8.81,7,0.01,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,231-96-AG-SENASA
,,FUEGO,GLYPHOSATE,Herbicida,Ligeramente Peligroso,4.0,4.0,lt,True,2.0,8.6407,34.56,34.56,8.8,,,NEOAGRUM S.A.,PQUA N° 2551-SENASA
,,HOJANCHA,"2,4-D",Herbicida,Moderadamente Peligroso,3.0,5.0,lt,False,,13.408,40.22,67.04,5.94,,,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2562-SENASA
,"CANALES, DRENES Y BORDES",RANGO 480,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,4.0,4.0,lt,False,,14.0039,56.02,56.02,8.22,,,HORTUS S A,PQUA N° 2298-SENASA
,"CONTROL POST-EMERGENTE MALEZAS GRAMINEAS, CIPERACEAS Y HOJA ANCHA - ANUALES Y PERENNES.",HERBOSATO,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,4.0,6.0,lt,False,,8.0448,32.18,48.27,7.69,,,DROKASA  PERU S.A,PQUA N°2228-SENASA
,LEPTOCHLOA FILIFORMIS,FUEGO,GLYPHOSATE,Herbicida,Ligeramente Peligroso,4.0,4.0,lt,True,2.0,8.6407,34.56,34.56,8.8,,,NEOAGRUM S.A.,PQUA N° 2551-SENASA
,MALEZAS ANUALES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,2.0,3.0,lt,False,,13.408,26.82,40.22,6.26,,,BAYER S.A.,PQUA N° 264-SENASA
,MALEZAS ANUALES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,2.0,3.0,lt,False,,13.408,26.82,40.22,6.26,,0.1,BAYER S.A.,PQUA N° 264-SENASA
,MALEZAS ANUALES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,4.0,6.0,lt,False,,13.408,53.63,80.45,12.53,,,BAYER S.A.,PQUA N° 264-SENASA
,MALEZAS PERENNES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,4.0,6.0,lt,False,,13.408,53.63,80.45,12.53,,,BAYER S.A.,PQUA N° 264-SENASA
,MALEZAS PERENNES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,4.0,6.0,kg,False,,13.408,53.63,80.45,12.53,,,BAYER S.A.,PQUA N° 264-SENASA
,MALEZAS PERENNES,ROUNDUP,GLYPHOSATE ISOPROPILAMINE,Herbicida,Moderadamente Peligroso,4.0,6.0,lt,False,,13.408,53.63,80.45,12.53,,0.1,BAYER S.A.,PQUA N° 264-SENASA
,MELILOTUS INDICUS,HOJANCHA,"2,4-D",Herbicida,Moderadamente Peligroso,3.0,5.0,lt,False,,13.408,40.22,67.04,5.94,15,400,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2562-SENASA
,MUS MUSCULUS,KLERAT PELLETS,BRODIFACOUM,Rodenticida,Ligeramente Peligroso,1.0,3.0,kg,False,,35.7546,35.75,107.26,9.94,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 4324-SENASA
,MUS MUSCULUS,KLERAT BLOQUES,BRODIFACOUM,Rodenticida,Ligeramente Peligroso,1.0,2.0,kg,False,,38.7341,38.73,77.47,9.37,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 4323-SENASA
,NICANDRA PHYSALOIDES,HOJANCHA,"2,4-D",Herbicida,Moderadamente Peligroso,3.0,5.0,lt,False,,13.408,40.22,67.04,5.94,15,400,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 2562-SENASA
,PENNISETUM CLANDESTINUM,FUEGO,GLYPHOSATE,Herbicida,Ligeramente Peligroso,4.0,4.0,lt,True,2.0,8.6407,34.56,34.56,8.8,,,NEOAGRUM S.A.,PQUA N° 2551-SENASA
,PHYLLOCOPTRUTA OLEIVORA,ACARSTIN L 600,CYHEXATIN,Acaricida,Moderadamente Peligroso,0.12,0.24,lt,True,2.0,86.4069,10.37,20.74,2.58,21,0.5,NEOAGRUM S.A.,159-96-AG-SENASA
,PHYLLOCOPTRUTA OLEIVORA,VERTIMEC 1.8% EC,ABAMECTIN,"Acaricida, Insecticida",Moderadamente Peligroso,0.56,1.5,lt,False,,40.2239,22.53,60.34,8.81,7,0.01,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,231-96-AG-SENASA
,RATTUS NOVERGICUS,KLERAT PELLETS,BRODIFACOUM,Rodenticida,Ligeramente Peligroso,1.0,3.0,kg,False,,35.7546,35.75,107.26,9.94,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 4324-SENASA
,RATTUS NOVERGICUS,KLERAT BLOQUES,BRODIFACOUM,Rodenticida,Ligeramente Peligroso,1.0,2.0,kg,False,,38.7341,38.73,77.47,9.37,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 4323-SENASA
,RATTUS RATTUS,KLERAT PELLETS,BRODIFACOUM,Rodenticida,Ligeramente Peligroso,1.0,3.0,kg,False,,35.7546,35.75,107.26,9.94,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 4324-SENASA
,RATTUS RATTUS,KLERAT BLOQUES,BRODIFACOUM,Rodenticida,Ligeramente Peligroso,1.0,2.0,kg,False,,38.7341,38.73,77.47,9.37,,,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 4323-SENASA
,USO COMO MADURANTE,FUEGO,GLYPHOSATE,Herbicida,Ligeramente Peligroso,1.3,1.6,lt,False,,8.6407,11.23,13.83,2.86,,,NEOAGRUM S.A.,PQUA N° 2551-SENASA
Ajo,,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,6.6742,13.35,20.02,4.42,,,FARMAGRO S A,067-96-AG-SENASA
Ajo,,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,6.6742,13.35,20.02,4.42,,,FARMAGRO S A,067-96-AG-SENASA
Ajo,,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,6.6742,13.35,20.02,4.42,,,FARMAGRO S A,067-96-AG-SENASA
Ajo,,DESTRUCTOR,GLYPHOSATE ISOPROPILAMINE,Herbicida,Ligeramente Peligroso,2.0,3.0,lt,False,,6.6742,13.35,20.02,4.42,,,FARMAGRO S A,067-96-AG-SENASA
Ajo,,MATCH 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,74.4887,29.8,44.69,9.14,,0.5,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,565-98-AG-SENASA
Ajo,,SORBA 50 EC,LUFENURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,True,2.0,78.958,31.58,47.37,11.34,,0.05,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,645-98-AG-SENASA
Ajo,,TRIGGRR FOLIAR,CITOQUININAS,,Ligeramente Peligroso,1.0,1.0,lt,False,,32.775,32.77,32.77,12.67,,,FARMEX S A,PBUA Nº 212-SENASA
Ajo,,TRIGGRR SUELO,CITOQUININAS,Regulador de Crecimiento de Plantas,Ligeramente Peligroso,1.0,1.0,,False,,35.1587,35.16,35.16,17.0,,,FARMEX S A,PBUA Nº 210-SENASA
Ajo,,AGRISPON,EXTRACTO VEGETAL (VARIOS),Bioestimulante,Ligeramente Peligroso,0.8,1.0,lt,False,,47.6728,38.14,47.67,5.43,,,SILVESTRE PERU S.A.C.,PBUA N° 135-SENASA
Ajo,Alternariosis,SCORE 250 EC,DIFENOCONAZOLE,Fungicida,Moderadamente Peligroso,0.3,0.4,lt,True,2.0,119.1819,35.75,47.67,7.2,7,0.05,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,PQUA N° 326-SENASA
Ajo,Mildiú,TRICOX,"TRICHODERMA HARZIANUM, TRICHODERMA KONINGII","Nematicida, Fungicida",Ligeramente Peligroso,1.0,1.0,lt,False,,56.6114,56.61,56.61,23.04,,,NEOAGRUM S.A.,PBUA N° 162-SENASA
Ajo,Podredumbre blanca,ROVRAL 50 PM,IPRODIONE,Fungicida,Ligeramente Peligroso,0.6,0.8,kl,False,,70.0194,42.01,56.02,21.39,14,0.1,FMC LATINOAMERICA S.A. SUCURSAL,PQUA N° 3438-SENASA
Ajo,Podredumbre blanca,YARDA 500  WP,IPRODIONE,Fungicida,Ligeramente Peligroso,0.8,0.8,kg,True,2.0,56.6114,45.29,45.29,11.05,21,0.2,SILVESTRE PERU S.A.C.,PQUA N° 311-SENASA
Ajo,Roya de la cebolla y ajo,IMPERIO,"TEBUCONAZOLE, AZOXYSTROBIN",Fungicida,Ligeramente Peligroso,0.4,0.6,lt,True,2.0,52.1421,20.86,31.29,3.12,11,,HORTUS S A,PQUA Nº 1141-SENASA
Ajo,Roya de la cebolla y ajo,DIFECONASIL 250 EC,DIFENOCONAZOLE,Fungicida,Ligeramente Peligroso,0.4,0.4,lt,True,2.0,64.0603,25.62,25.62,2.04,7,0.05,SILVESTRE PERU S.A.C.,PQUA N° 514-SENASA
Ajo,Roya de la cebolla y ajo,EPICO 750 WG,"TEBUCONAZOLE, AZOXYSTROBIN",Fungicida,Ligeramente Peligroso,0.2,0.4,kg,True,2.0,148.9773,29.8,59.59,2.47,14,,SILVESTRE PERU S.A.C.,PQUA N° 686-SENASA
Ajo,Thrips,NALA-T,METHOMYL,Insecticida,Altamente Peligroso,0.2,0.4,kl,False,,53.6318,10.73,21.45,1.87,7,0.2,TECNOLOGIA QUIMICA Y COMERCIO S.A,PQUA N° 3107-SENASA
Ajo,Thrips,KUROMIL 90 PS,METHOMYL,Insecticida,Altamente Peligroso,0.4,0.6,kl,False,,47.6728,19.07,28.6,3.94,2,0.2,ARIS INDUSTRIAL S.A.,PQUA N° 2142-SENASA
Ajo,Thrips,DECIS 2.5 EC,DELTAMETHRIN,Insecticida,Moderadamente Peligroso,0.5,0.5,lt,False,,43.2034,21.6,21.6,8.45,7,0.05,BAYER S.A.,219-96-AG-SENASA
Ajo,Thrips,OMEX SW7,TETRAETHYL SILICATE,"Acaricida, Insecticida, Fungicida",Ligeramente Peligroso,0.6,0.6,lt,True,2.0,68.5296,41.12,41.12,17.37,,,SILVESTRE PERU S.A.C.,PBUA 283-SENASA
Ají amarrillo/escabeche/mirasol/pacae,,AGRISPON,EXTRACTO VEGETAL (VARIOS),Bioestimulante,Ligeramente Peligroso,0.25,0.5,lt,False,,47.6728,11.92,23.84,1.7,,,SILVESTRE PERU S.A.C.,PBUA N° 135-SENASA
Ají amarrillo/escabeche/mirasol/pacae,,PROMALINA,"CITOQUININAS, GIBBERELLIC ACID",Regulador de Crecimiento de Plantas,Ligeramente Peligroso,0.125,0.125,lt,False,,560.1548,70.02,70.02,11.62,,,SMTM PERU SAC,PBUA N° 048-SENASA
Ají amarrillo/escabeche/mirasol/pacae,Acaro hialino,SELECRON 500 EC,PROFENOFOS,Insecticida,Moderadamente Peligroso,0.8,1.0,lt,False,,43.2034,34.56,43.2,12.26,7,5.5,SYNGENTA CROP PROTECTION S.A. SUCURSAL PERU,835-99-AG-SENASA
Ají amarrillo/escabeche/mirasol/pacae,Caballada (gusano ejército),ATABRON,CHLORFLUAZURON,Insecticida,Ligeramente Peligroso,0.4,0.6,lt,False,,53.6318,21.45,32.18,5.89,10,2,ADAMA AGRICULTURE PERU S.A.,PQUA N° 2247-SENASA
Ají amarrillo/escabeche/mirasol/pacae,Caracha (mosquilla de los brotes),CONFIDOR 350 SC,IMIDACLOPRID,Insecticida,Moderadamente Peligroso,0.3,0.5,kl,False,,72.9989,21.9,36.5,4.53,3,0.05,BAYER S.A.,PQUA N° 028-SENASA
