tienda,id,nombre,sku,categorias,precio,moneda,presentacion_valor,presentacion_unidad,presentacion_base,precio_por_base,supuesto,en_stock,url,consultado
agroplaza.pe,28118,ÁCIDO FOSFÓRICO CHINO Grado Alimenticio x 35 KG,,Ablandador de aguas | Agroquímicos | Reguladores de Agua,285.0,PEN,35.0,KG,35.0,8.1429,,True,https://www.agroplaza.pe/producto/acido-fosforico-chino-grado-alimenticio-x-35-kg/,2026-09-10
agroplaza.pe,28115,FOSFATÓ MONOPOTASICO MKP CHINO x 25 KG,,Fertilizante Hidrosolubles | Fertilizantes | Solubles,200.0,PEN,25.0,KG,25.0,8.0,,True,https://www.agroplaza.pe/producto/fosfato-monopotasico-mkp-chino-x-25-kg/,2026-09-10
agroplaza.pe,28110,EPINGLE 10EC x 1 Lt,,Agroquímicos | Insecticidas Quimicos | Liquidos,340.0,PEN,1.0,LT,1.0,340.0,,True,https://www.agroplaza.pe/producto/epingle-10ec-x-1-lt/,2026-09-10
agroplaza.pe,28108,SILO TEC -SILOTEC PROTECTOR SOLAR x 1 Lt,,Abonos Foliares | Liquidos | Microelementos | Nutrición vegetal,65.0,PEN,1.0,LT,1.0,65.0,,True,https://www.agroplaza.pe/producto/silo-tec-silotec-protector-solar-x-1-lt/,2026-09-10
agroplaza.pe,28104,ROCA FOSFÓRICA x 50 Kg,,Enmiendas | Fertilizante Orgánico | Fertilizantes | Minerales,60.0,PEN,50.0,KG,50.0,1.2,,True,https://www.agroplaza.pe/producto/roca-fosforica-x-50-kg/,2026-09-10
agroplaza.pe,28102,TIFÓN MAX x 1 Lt,,Agroquímicos | Insecticidas Quimicos | Liquidos,90.0,PEN,1.0,LT,1.0,90.0,,True,https://www.agroplaza.pe/producto/tifon-max-x-1-lt/,2026-09-10
agroplaza.pe,28100,TIFÓN EXTRA x 1 Kg,,Agroquímicos | Insecticidas Quimicos | Polvo,25.0,PEN,1.0,KG,1.0,25.0,,True,https://www.agroplaza.pe/producto/tifon-extra-x-1-kg/,2026-09-10
agroplaza.pe,28098,FERTIYESO-SULFATO DE CALCIO GR PELLETS- YESO AGRICOLA x 25 KG,,Enmiendas | Enmiendas | Fertilizantes | Fertilizantes Calcicos | Fertilizantes genéricos (Suelo) | Jardineria | Yeso agrícola | Yeso Agricola-,65.0,PEN,25.0,KG,25.0,2.6,,True,https://www.agroplaza.pe/producto/fertiyeso-sulfato-de-calcio-gr-pellets-yeso-agricola-x-25-kg/,2026-09-10
agroplaza.pe,28087,SOLT FULVICO (Acido Fùlvico) x 500 Gr,,Ácidos Húmicos | Bioestimulante | Jardineria | Nutrición vegetal | Solido | Solido,60.0,PEN,500.0,GR,0.5,120.0,,True,https://www.agroplaza.pe/producto/solt-fulvico-acido-fulvico-x-500-gr/,2026-09-10
agroplaza.pe,28085,HIDROXIDO DE POTASIO x 25KG (Korea),,Insumo quimicos,340.0,PEN,25.0,KG,25.0,13.6,,True,https://www.agroplaza.pe/producto/hidroxido-de-potasio-x-25kg-korea/,2026-09-10
