dep,sectores,horas_capital,horas_puerto,km_puerto,pct_bajo_2h,pct_sobre_4h,costo_viaje,puerto,sam
TUMBES,57,0.4686924366073692,2.3052294846277777,101.43009732362219,100.0,0.0,16.872927717865295,Talara,5385204.531987383
LAMBAYEQUE,212,0.8097856172122231,1.769412699009497,61.933514905888536,97.16981132075472,0.0,29.15228221964003,Eten,33133566.657576416
TACNA,51,0.8415638191029786,3.5209608214414367,110.42929196428776,92.15686274509804,1.9607843137254901,30.296297487707246,Ilo,8447509.197602417
ICA,213,0.9094159478058867,1.744481846586387,72.78060778780662,92.95774647887323,0.0,32.738974121011914,Pisco (Gral. San Martín),28422608.45867178
ANCASH,338,0.9400813107624534,6.381391798468155,107.31844319102863,92.3076923076923,0.0,33.84292718744832,Chimbote,10617170.62719306
LA LIBERTAD,364,0.9441367828099801,4.657461756720815,85.74583128090055,89.01098901098901,0.0,33.988924181159284,Salaverry,54106627.791734435
LIMA,440,0.9614946422951566,2.737971653363827,60.125812734366534,82.95454545454545,0.0,34.61380712262563,Callao,26607075.1678093
PIURA,330,1.0185788931662385,5.312121599905744,123.76686013488694,94.84848484848484,0.0,36.66884015398458,Paita,31190908.195705004
HUANCAVELICA,444,1.3558738559382773,13.025129060177456,208.56806557999036,81.98198198198197,0.0,48.81145881377798,Pisco (Gral. San Martín),9845542.734336738
CAJAMARCA,465,1.4031793718704846,8.300500672240194,148.43571784244097,81.72043010752688,5.161290322580645,50.514457387337444,Eten,23935990.165586725
AREQUIPA,217,1.5563079188631816,5.485911347452996,121.08066357934877,76.49769585253456,1.3824884792626728,56.027085079074546,Matarani,29768023.669892352
AYACUCHO,423,1.647775789067371,15.31467877138216,251.79892199442818,73.99527186761229,4.25531914893617,59.31992840642536,Pisco (Gral. San Martín),11320439.355613248
APURIMAC,464,1.7035787869290138,20.27679040112318,324.42864641797087,67.02586206896551,0.8620689655172413,61.3288363294445,Pisco (Gral. San Martín),6815398.881280908
MOQUEGUA,109,1.9023171064629605,6.173148375264117,107.95894975634603,44.03669724770643,3.669724770642202,68.48341583266657,Ilo,2088459.3419499137
JUNIN,446,1.9141678911931803,13.43807968978684,248.35132648764392,74.88789237668162,2.0179372197309418,68.91004408295449,Callao,48456829.34429383
PUNO,525,1.970594377312623,17.65122198147746,283.67413296653336,45.714285714285715,4.0,70.94139758325443,Matarani,25851803.86734139
CUSCO,470,2.0995768685236724,21.577513682598674,357.19227186373644,65.74468085106383,10.212765957446807,75.58476726685221,Matarani,26280779.763807863
AMAZONAS,337,2.182927930048666,16.29469845225809,244.66312994236156,72.40356083086054,2.3738872403560833,78.58540548175196,Eten,18598170.819262616
SAN MARTIN,263,2.3799730819432345,22.28061019022412,307.91328318193536,50.19011406844106,23.193916349809886,85.67903094995643,Salaverry,47061937.55141012
HUANUCO,420,2.419114565594012,18.376119719560496,256.47043062533237,77.61904761904762,4.0476190476190474,87.08812436138442,Supe,35123740.21593168
PASCO,121,3.21698918482489,18.901195116171504,259.64626235198347,52.892561983471076,4.132231404958678,115.81161065369606,Chancay,14897972.5486993
UCAYALI,110,5.7747178540115005,33.69168527925354,400.6578789965286,13.636363636363635,61.81818181818181,207.88984274441412,Supe,9781972.620188173
MADRE DE DIOS,65,8.988227058269262,50.63949645309153,602.1994172800073,0.0,87.6923076923077,323.57617409769335,Matarani,1033990.7195292421
LORETO,152,9.299244848503497,52.87363913535172,628.767600528507,5.263157894736842,84.86842105263158,334.77281454612586,Salaverry,3503064.703986476
