cod_se,dep,prov,dist,sector,region_nat,lat,lon,ha_agricola,s_ha_cosechada,s_clientes_sam,s_sam_usd,km_capital,km_via_capital,horas_capital,accesible,km_puerto_maritimo,puerto_maritimo,horas_puerto,costo_viaje_usd,costo_pct_venta
1010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AEROPUERTO,SIERRA,-6.211162749999971,-77.87639983399998,944.5104422956867,489.4344528356023,9.638663389122357,33716.55547272396,31.223406960584768,54.64096218102334,1.9514629350365478,1-2 h,233.851928897671,Eten,14.615745556104438,70.25266566131572,2.008336222381233
1010102,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TAQUIA,SIERRA,-6.256540977999975,-77.81428665399994,1499.8461990896242,777.2030577076239,15.305826173125306,53540.59130277805,24.935179193373795,43.636563588404144,1.5584486995858622,1-2 h,238.70942698876806,Eten,14.919339186798004,56.104153185091036,1.6038680099463931
1010103,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOLINO,SIERRA,-6.266829395999935,-77.87408786399999,915.023537998494,474.1546780186773,9.337751581078066,32663.950017098978,25.311625765049037,44.295345088835816,1.5819766103155648,1-2 h,232.0700431213602,Eten,14.504377695085012,56.95115797136033,1.6280816163168
1010104,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PENCAPAMPA,SIERRA,-6.2581085599999255,-77.91189073599998,612.4306315532327,317.3545125932883,6.249812010952063,21862.17371167569,27.916430286558544,48.85375300147745,1.744776892909909,1-2 h,228.41846484896794,Eten,14.276154053060496,62.811968144756726,1.7956265379640048
1010201,AMAZONAS,CHACHAPOYAS,ASUNCION,VISTA HERMOSA,SIERRA,-5.965723329999946,-77.75835636099998,304.6615802644105,157.87212841640664,3.109050242609632,10875.622556830303,57.12307683522211,99.96538446163869,3.5701923022013817,2-4 h,256.2516543712577,Eten,16.015728398203606,128.52692287924975,3.674241715097395
1010202,AMAZONAS,CHACHAPOYAS,ASUNCION,BATAN - POLLAN,SIERRA,-5.984437884999977,-77.75157796799994,335.8198180687566,174.01796904261073,3.427017892881836,11987.890252684616,55.11665000625071,96.45413751093874,3.4447906253906693,2-4 h,256.08037152692464,Eten,16.00502322043279,124.0124625140641,3.545185341356132
1010203,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,SIERRA,-6.009581135999952,-77.73935117799994,280.08607149682337,145.13738230011643,2.858258884441628,9998.341091716164,52.48394121907386,91.84689713337926,3.2802463261921164,2-4 h,256.1966161587789,Eten,16.012288509923682,118.0888677429162,3.3758455756174603
1010204,AMAZONAS,CHACHAPOYAS,ASUNCION,CUELCACHA,SIERRA,-6.0275512819999335,-77.71729303699993,346.1925103052992,179.39297891215224,3.5328704959128747,12358.168269246124,50.85787620037914,89.0012833506635,3.1786172625236966,2-4 h,257.6607590951484,Eten,16.103797443446776,114.43022145085308,3.2712546422476945
1010301,AMAZONAS,CHACHAPOYAS,BALSAS,ACHUPAS,SELVA ALTA,-6.765361233999954,-77.93609947999994,1488.3681916057023,771.2552861839106,15.188693904850483,53130.85641926806,35.1702368526648,56.27237896426368,1.75851184263324,1-2 h,198.0788588130364,Salaverry,9.90394294065182,63.30642633479664,1.8097617780173518
1010302,AMAZONAS,CHACHAPOYAS,BALSAS,SAN BASILIO,SELVA ALTA,-6.87231971999995,-77.93897979099995,542.6781368692665,281.20957174267386,5.5379926527921,19372.191863876724,46.15982066393211,73.85571306229137,2.3079910331966054,2-4 h,188.37138716990077,Salaverry,9.41856935849504,83.08767719507779,2.3752549483154897
1010303,AMAZONAS,CHACHAPOYAS,BALSAS,HORNOPAMPA,SELVA ALTA,-6.804144657999927,-77.99634447699998,225.9695361789526,117.09481583755442,2.3060034043998168,8066.522147923691,42.18294206351985,67.49270730163177,2.1091471031759927,2-4 h,190.74589524608663,Salaverry,9.537294762304333,75.92929571433574,2.170615925923012
1010401,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,SIERRA,-6.275737246999938,-77.70892396799997,618.7465767533984,320.6273627861028,6.314265792554068,22087.636456361157,24.56140655103945,42.98246146431904,1.5350879094399656,1-2 h,249.18356974689397,Eten,15.573973109180873,55.263164739838764,1.5798263947093751
