puerto,region,tipo,relevancia_agro,lat,lon,osm
Callao,CALLAO,maritimo,alta,-12.05103,-77.14247,"Terminal Portuario del Callao, Callao, Lima Metropolitana, Callao, Per"
Paita,PIURA,maritimo,alta,-5.08233,-81.10527,"Terminales Portuarios Euroandinos, Paita, Piura, Perú"
Salaverry,LA LIBERTAD,maritimo,alta,-8.22361,-78.97809,"Capitanía de Puerto de Salaverry, Calle La Marina, Alto Salaverry, Sal"
Matarani,AREQUIPA,maritimo,alta,-17.00099,-72.09665,"Hostal Bahia del Puerto, Avenida Arequipa, Asociación de vivienda Nuev"
Pisco (Gral. San Martín),ICA,maritimo,alta,-13.80446,-76.29303,"Puerto General San Martin, Paracas, Pisco, Ica, 11550, Perú"
Chancay,LIMA,maritimo,alta,-11.59224,-77.27604,"Puerto de Chancay, Chancay, Huaral, Lima, Perú"
Chimbote,ANCASH,maritimo,media,-9.07411,-78.6063,"Capitanía de Puerto de Chimbote, Jirón Las Casuarinas, Centro, Chimbot"
Ilo,MOQUEGUA,maritimo,media,-17.66423,-71.35798,"Puerto Inglés, Ilo, Moquegua, 18600, Perú"
Supe,LIMA,maritimo,media,-10.79686,-77.74132,"Plaza de la Bandera de Puerto Supe, Supe Puerto, Barranca, Lima, Perú"
Huacho,LIMA,maritimo,baja,-11.21783,-77.64248,"Playa Puerto Viejo, Huacho, Huaura, Lima, Perú"
Talara,PIURA,maritimo,baja,-4.17149,-81.12336,"Puerto Antiguo Playa, Los Órganos, Talara, Piura, 20840, Perú"
Eten,LAMBAYEQUE,maritimo,baja,-6.92753,-79.8659,"Puerto Etén, Etén Puerto, Chiclayo, Lambayeque, Perú"
Iquitos,LORETO,fluvial,media,-3.74,-73.24035,"Puerto Lao, Avenida La Marina, Iquitos, Maynas, Loreto, 16001, Perú"
Yurimaguas,LORETO,fluvial,media,-6.0463,-76.17691,"Puerto Peru, LO-545, Nuevo Jaen, Puerto Peru, Yurimaguas, Alto Amazona"
Pucallpa,UCAYALI,fluvial,media,-8.36476,-74.56677,"Jirón Perú, Área Metropolitana de Pucallpa, Las Alamedas, Yarinacocha,"
Puerto Maldonado,MADRE DE DIOS,fluvial,baja,-12.59386,-69.18668,"Puerto Maldonado, Tambopata, Madre de Dios, Perú"
