nombre,clase,lat,lon
Nuevo Horizonte,embarcadero,-10.85858,-73.22114
Nueva Luz,embarcadero,-11.44916,-73.03036
Lagunas,embarcadero,-5.2172,-75.6686
Yurimaguas,embarcadero,-5.88403,-76.10691
Aeródromo de Mollendo,aeropuerto,-17.04331,-71.98704
Puerto Puno,portuario,-15.83518,-70.01456
San Juan de Marcona Airport,aeropuerto,-15.35024,-75.13775
Picota Airport,aeropuerto,-6.9,-76.383
Alerta Airport,aeropuerto,-11.65092,-69.23019
Aerodromo de Huallaga,aeropuerto,-7.06056,-76.5822
Bellavista Airport,aeropuerto,-5.28839,-76.2921
Oventeni Airport,aeropuerto,-10.75029,-74.22099
Areopuerto de Ciudad Constitución,aeropuerto,-9.86393,-75.00573
Tocache Airport,aeropuerto,-8.19489,-76.52276
Aeropuerto de Contamana,aeropuerto,-7.33642,-74.99381
Aeródromo de Galilea,aeropuerto,-4.03188,-77.7588
Güeppi Airport,aeropuerto,-0.11906,-75.2479
Aeropuerto Quincemil,aeropuerto,-13.23147,-70.75115
Iñapari Airport,aeropuerto,-10.979,-69.5594
Pias Airport,aeropuerto,-7.92058,-77.52452
Paita Airport,aeropuerto,-5.08595,-81.1528
Pampa Grande Airport,aeropuerto,-7.61606,-78.0643
Aeródromo de Luisiana,aeropuerto,-12.67529,-73.70927
Mariano Melgar,aeropuerto,-16.7915,-71.8866
Lagarto Nuevo Airport,aeropuerto,-12.6416,-69.8375
Aeropuerto Las Palmas,aeropuerto,-12.162,-77.0002
Aeródromo de Nuevo Mundo,aeropuerto,-11.55089,-73.14395
Intuto Airport,aeropuerto,-3.49264,-74.7725
Saposoa Airport,aeropuerto,-6.96003,-76.7684
Orellana Airport,aeropuerto,-6.89675,-75.1522
Orcopampa Airport,aeropuerto,-15.31528,-72.35329
Aeródromo de Atico,aeropuerto,-16.23023,-73.61064
Puerto Ocopa Airport,aeropuerto,-11.133,-74.35
Pampa Hermosa Airport,aeropuerto,-7.2,-75.3
Aeródromo de Uchiza,aeropuerto,-8.47386,-76.45996
Aeródromo de Palmas del Espino,aeropuerto,-8.33753,-76.48881
Quiruvilca Airport - CLOSED,aeropuerto,-7.97009,-78.20661
San Rafael Airport,aeropuerto,-14.28208,-70.3842
Capitán FAP Leonardo Alvariño Herr Airport,aeropuerto,-11.12823,-75.35086
Areodromo de Sepahua,aeropuerto,-11.1418,-73.0335
Aeródromo de Masisea,aeropuerto,-8.61022,-74.30798
El Pato Air Base,aeropuerto,-4.54981,-81.2241
Aeródromo de Toquepala,aeropuerto,-17.2995,-70.65447
Hacienda El Valor Airport,aeropuerto,-5.67232,-78.6448
Vicco Airport,aeropuerto,-10.84784,-76.24696
Aeropuerto Vitor,aeropuerto,-16.42072,-71.83544
Pachiza Airport,aeropuerto,-7.29401,-76.77057
Puerto de San Francisco,embarcadero,-8.27176,-74.63455
Barca de Puerto Maldonado,embarcadero,-12.58967,-69.17139
Barca de Puerto Maldonado,embarcadero,-12.59359,-69.17279
Local Transportation (Small boat rent),embarcadero,-12.59312,-69.1735
Aeródromo Kirigueti,aeropuerto,-11.57436,-73.12888
Los Uros (Hanan Pacha),embarcadero,-15.81671,-69.97168
PUEBLO,portuario,-15.6533,-69.71889
INCATIANA,portuario,-15.66477,-69.72718
INCASAMANA,portuario,-15.66531,-69.72659
Aerodromo Timpia,aeropuerto,-12.08387,-72.8253
Saniriato,embarcadero,-12.29739,-72.86612
Inti Marka,embarcadero,-15.81124,-69.97525
Aeródromo de Patria,aeropuerto,-12.97086,-71.42671
boat to taquile,muelle,-15.72683,-69.78293
Kitaparay,embarcadero,-12.17795,-72.82835
Pangoa,embarcadero,-12.36309,-72.88744
Carquín,portuario,-11.09113,-77.62948
Santa Rosa de Yavari,embarcadero,-4.22207,-69.95866
Caballococha,embarcadero,-3.90566,-70.51768
Pebas,embarcadero,-3.32282,-71.8622
San Pablo,embarcadero,-4.01722,-71.10038
Iquitos,embarcadero,-3.73087,-73.23866
Puerto Gran Punta,muelle,-4.5819,-73.8529
San Pedro de Tipishca Zona 2,muelle,-4.61893,-73.79799
San Pedro de Tipishca Zona 1,muelle,-4.61249,-73.81823
Puerto Salacancha,portuario,-15.76285,-69.68022
Puerto Chillkano,portuario,-15.76894,-69.69149
Puerta principal,embarcadero,-4.65165,-76.58924
Tulpo Airport,aeropuerto,-8.12695,-77.98897
Aeródromo de Palmapampa,aeropuerto,-12.76454,-73.65398
Puerto Kalapajra,embarcadero,-15.81928,-69.98879
Puerto Bellavista Nanay,embarcadero,-3.70254,-73.24934
Puerto principal de Nauta,embarcadero,-4.5078,-73.57376
Aeródromo de Bolognesi,aeropuerto,-10.02847,-73.94289
Puerto Atalaya,embarcadero,-12.88934,-71.35989
Timpia,embarcadero,-12.07934,-72.82777
Ticumpinia,embarcadero,-11.93627,-72.93074
Camisea,embarcadero,-11.72084,-72.94825
Nuevo Mundo,embarcadero,-11.54095,-73.13077
Sepahua,embarcadero,-11.14879,-73.05002
Ivochote,embarcadero,-12.46128,-72.9661
Sepahua,embarcadero,-11.14825,-73.04542
Atalaya,embarcadero,-10.72564,-73.75285
Santa María,embarcadero,-5.79526,-76.09436
Punta Hermosa,embarcadero,-16.22715,-68.95955
Santa Rosa (Dry season),embarcadero,-4.22468,-69.95358
Puerto Tauchuno,portuario,-15.77451,-69.68831
Puerto Collata,portuario,-15.79308,-69.67903
Puerto Huavillano,portuario,-15.77802,-69.6781
Puerto Qhapunoqa,portuario,-15.78199,-69.68472
Puerto Chujuno,portuario,-15.78745,-69.6779
Puerto Kollino,portuario,-15.77024,-69.67857
Puerto de Barco,portuario,-15.8827,-69.89297
Punta Pejerrey,embarcadero,-13.8025,-76.29043
Matarani,portuario,-16.99554,-72.10709
Embarcadero,muelle,-13.59888,-74.01373
Aeródromo de Ventilla,aeropuerto,-15.85114,-70.06004
Aeródromo de Pichari,aeropuerto,-12.50301,-73.85281
Aeródromo de Pucallpa Oeste,aeropuerto,-8.36364,-74.65743
Aeródromo de Zorrillos,aeropuerto,-8.43817,-75.19397
Aeródromo de Tournavista,aeropuerto,-8.91546,-74.71422
Aeródromo de Iscozacín,aeropuerto,-10.19081,-75.15755
Aeródromo de Urpay,aeropuerto,-8.34887,-77.39977
Aeródromo de Bagua,aeropuerto,-5.68105,-78.61997
Aeródromo de Pucacaca,aeropuerto,-6.84033,-76.33817
Aeródromo de AgrOlmos,aeropuerto,-6.11086,-80.08286
Aeródromo de Cuajone,aeropuerto,-17.06973,-70.76832
Aeródromo de Abancay,aeropuerto,-13.56855,-72.82444
Puerto Cangrejo,embarcadero,-7.20883,-76.73692
Puerto Tarata,embarcadero,-7.21121,-76.73496
San Miguel de Shitari,embarcadero,-5.81211,-76.09833
Aeródromo Grocio Prado,aeropuerto,-13.32475,-76.19506
Muelle,muelle,-0.37221,-74.67488
Aeródromo Revalora,aeropuerto,-13.22324,-76.2697
Embarcadero Sabaluyoc,embarcadero,-12.31936,-69.27196
