dep,productores,ua_total,ha_0_5,ha_5_10,ha_10_20,ha_20_50,ha_50_100,ha_100_mas,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,ua_objetivo_5_mas,pct_objetivo
Puno,215170.0,212215.0,159834.0,21126.0,11857.0,8870.0,4587.0,5941.0,159834.0,32983.0,13457.0,5941.0,52381.0,24.682986593784605
San Martín,91224.0,90651.0,49978.0,16748.0,12257.0,9169.0,1986.0,513.0,49978.0,29005.0,11155.0,513.0,40673.0,44.86767934165095
Cajamarca,339979.0,329650.0,294266.0,21339.0,8894.0,3857.0,850.0,444.0,294266.0,30233.0,4707.0,444.0,35384.0,10.733808584862734
Cusco,182058.0,179128.0,147060.0,14519.0,8563.0,5366.0,1569.0,2051.0,147060.0,23082.0,6935.0,2051.0,32068.0,17.902282166942076
Junín,135849.0,132063.0,102989.0,14256.0,8411.0,4470.0,937.0,1000.0,102989.0,22667.0,5407.0,1000.0,29074.0,22.015250297206638
Huánuco,106926.0,106356.0,79725.0,11472.0,6475.0,5092.0,2349.0,1243.0,79725.0,17947.0,7441.0,1243.0,26631.0,25.03949001466772
Amazonas,69562.0,69028.0,43896.0,11378.0,6927.0,4760.0,1332.0,735.0,43896.0,18305.0,6092.0,735.0,25132.0,36.40841397693689
Loreto,67585.0,67219.0,44977.0,9367.0,6499.0,4854.0,885.0,637.0,44977.0,15866.0,5739.0,637.0,22242.0,33.088858804802214
La Libertad,127279.0,126100.0,104214.0,13898.0,5177.0,1992.0,439.0,380.0,104214.0,19075.0,2431.0,380.0,21886.0,17.35606661379857
Ucayali,25580.0,25482.0,11937.0,4005.0,3650.0,3986.0,1272.0,632.0,11937.0,7655.0,5258.0,632.0,13545.0,53.15516835413233
Piura,142850.0,139981.0,126510.0,8885.0,3008.0,1062.0,220.0,296.0,126510.0,11893.0,1282.0,296.0,13471.0,9.623448896635972
Ayacucho,113768.0,111604.0,99653.0,7267.0,2639.0,1026.0,315.0,704.0,99653.0,9906.0,1341.0,704.0,11951.0,10.708397548474965
Pasco,32556.0,30159.0,18910.0,3014.0,2865.0,3312.0,1292.0,766.0,18910.0,5879.0,4604.0,766.0,11249.0,37.298982061739444
Áncash,169938.0,168253.0,157899.0,6708.0,2219.0,758.0,196.0,473.0,157899.0,8927.0,954.0,473.0,10354.0,6.1538278663679105
Arequipa,58202.0,53208.0,43118.0,5320.0,1468.0,685.0,433.0,2184.0,43118.0,6788.0,1118.0,2184.0,10090.0,18.96331378740039
Lambayeque,59102.0,57324.0,47806.0,6528.0,2101.0,610.0,129.0,150.0,47806.0,8629.0,739.0,150.0,9518.0,16.60386574558649
Lima,78518.0,77241.0,68480.0,5612.0,1721.0,692.0,196.0,540.0,68480.0,7333.0,888.0,540.0,8761.0,11.342421770821195
Ica,32522.0,32291.0,25499.0,3965.0,1541.0,689.0,345.0,252.0,25499.0,5506.0,1034.0,252.0,6792.0,21.033724567216872
Madre de Dios,6642.0,6641.0,963.0,368.0,752.0,3092.0,1059.0,407.0,963.0,1120.0,4151.0,407.0,5678.0,85.49917181147417
Huancavelica,74922.0,72089.0,66718.0,3256.0,1014.0,395.0,133.0,573.0,66718.0,4270.0,528.0,573.0,5371.0,7.4505125608622675
Tacna,22059.0,21233.0,16868.0,3064.0,835.0,172.0,57.0,237.0,16868.0,3899.0,229.0,237.0,4365.0,20.55762256864315
Apurímac,83328.0,81590.0,77878.0,2221.0,645.0,202.0,77.0,567.0,77878.0,2866.0,279.0,567.0,3712.0,4.549577154062998
Moquegua,14205.0,13369.0,12196.0,588.0,137.0,77.0,88.0,283.0,12196.0,725.0,165.0,283.0,1173.0,8.774029471164635
Tumbes,8141.0,7626.0,6584.0,748.0,217.0,61.0,8.0,8.0,6584.0,965.0,69.0,8.0,1042.0,13.663781799108314
Callao,3008.0,3005.0,3004.0,0.0,0.0,0.0,0.0,1.0,3004.0,0.0,0.0,1.0,1.0,0.033277870216306155
