cultivo,total,abono,fertilizantes,plaguicidas,semillas,jornales,riego,asistencia_tecnica,insumos_soles,pct_insumos,insumos_usd,total_usd
piquillo,30281.0,666.2,2305.8,3022.8,77.5,18943.8,1312.4,62.5,5994.8,19.797232588091543,1598.6133333333335,8074.933333333333
tomate,20077.8,1153.1,1695.9,1619.0,164.9,3687.1,2403.0,0.0,4468.0,22.25343414119077,1191.4666666666667,5354.08
ají,15985.3,884.8,1747.4,1252.4,317.1,8586.2,446.5,15.0,3884.6,24.30107661413924,1035.8933333333332,4262.746666666667
pimiento,32838.6,446.7,1724.2,1610.0,1173.3,23390.7,1279.0,57.1,3780.9,11.513584622974184,1008.24,8756.96
cebolla,14925.2,592.1,1723.1,1231.7,441.5,3193.6,2944.4,34.1,3546.8999999999996,23.76450566826575,945.8399999999999,3980.0533333333337
palta,13373.3,256.8,1881.9,1394.6,0.0,5238.3,2299.0,119.1,3533.3,26.42055438822131,942.2133333333334,3566.213333333333
espárrago,11017.5,240.8,1811.7,1405.7,0.0,4479.1,215.8,74.6,3458.2,31.388245972316767,922.1866666666666,2938.0
melocotón,4167.8,810.0,1200.0,1440.0,0.0,224.7,292.0,0.0,3450.0,82.77748452420941,920.0,1111.4133333333334
uva,52802.2,664.8,1670.6,1096.5,0.0,41255.6,2061.0,269.6,3431.8999999999996,6.49953979190261,915.1733333333333,14080.586666666666
arándanos,40754.53,128.7,1883.9,1347.99,0.0,27530.61,1214.96,44.46,3360.59,8.245929961650889,896.1573333333333,10867.874666666667
alcachofa,12835.4,349.5,1556.7,1427.7,645.8,4356.5,543.2,39.3,3333.9,25.974258690808234,889.0400000000001,3422.773333333333
páprika,15096.9,628.7,1729.9,948.5,614.8,7674.8,1383.7,32.5,3307.1000000000004,21.905821724989902,881.8933333333334,4025.8399999999997
mandarina,10452.6,193.8,1602.4,1365.8,0.0,4507.2,1080.6,16.5,3162.0,30.2508466792951,843.2,2787.36
granada,15827.1,273.6,1617.5,1039.6,0.0,8318.9,2522.4,237.8,2930.7,18.516974050836854,781.52,4220.56
tangelo,13717.6,64.0,1576.4,1239.5,0.0,7914.6,2381.4,373.6,2879.9,20.994197235668047,767.9733333333334,3658.0266666666666
papa,10405.5,666.06,1158.88,1018.08,1261.36,2112.13,2.85,0.0,2843.02,27.322281485752725,758.1386666666666,2774.8
fresa,7954.1,533.3,1524.4,738.2,2207.4,1795.1,557.5,0.0,2795.8999999999996,35.15042556668887,745.5733333333333,2121.0933333333332
sandía,7744.8,454.1,1223.3,1113.8,484.4,969.3,281.7,0.0,2791.2,36.039665323830185,744.3199999999999,2065.28
zapallo,5085.0,412.1,1318.5,956.9,134.0,1015.4,104.0,0.0,2687.5,52.85152409046214,716.6666666666666,1356.0
mango,8244.1,172.8,1502.6,994.6,0.0,4563.1,248.6,427.2,2670.0,32.38679783117623,712.0,2198.4266666666667
zanahoria,6830.8,452.1,936.2,1164.4,634.0,1270.9,153.6,0.0,2552.7000000000003,37.37043977279382,680.72,1821.5466666666666
ajo,9952.2,602.3,1172.5,775.6,2188.8,3741.6,1057.8,0.0,2550.4,25.626494644400232,680.1066666666667,2653.92
naranja,5778.6,256.9,1347.4,884.4,0.0,3093.3,0.0,20.3,2488.7000000000003,43.06752500605683,663.6533333333334,1540.96
limón,7412.9,113.9,1553.2,808.12,0.0,2918.0,178.0,504.32,2475.2200000000003,33.39071078795074,660.0586666666667,1976.7733333333333
quinua,5906.2,568.0,1286.3,611.8,155.0,1397.9,0.0,0.0,2466.1,41.75442755070942,657.6266666666667,1574.9866666666667
lúcuma,11660.9,608.3,1249.2,583.9,0.0,7732.3,1032.0,115.3,2441.4,20.93663439357168,651.0400000000001,3109.5733333333333
