k,ua_tot_c,ua_objetivo_5_mas,dep,fert_suficiente,fert_poca,fert_si,pest_si,cred_total,cred_insumos,prod_total,persona_natural,juridica,tasa_fert,tasa_pest,tasa_credito,tasa_juridica,compradores_insumos,compran_a_credito,formales
junin,132063.0,29074.0,Junín,19638.0,55642.0,75280.0,60715.0,19545.0,16334.0,135849.0,134949.0,900.0,0.5700309700673164,0.4597426985605355,0.12368339353187494,0.006625002760417817,16573.080423737156,3595.970983545732,192.6153302563876
puno,212215.0,52381.0,Puno,4072.0,58311.0,62383.0,55717.0,8674.0,5004.0,215170.0,213466.0,1704.0,0.29396131281954624,0.2625497726362416,0.023579860047593243,0.00791931960775201,15397.98752680065,1235.1366491529816,414.821880373658
lalibertad,126100.0,21886.0,La Libertad,27636.0,53646.0,81282.0,72256.0,7020.0,6362.0,127279.0,126653.0,626.0,0.6445836637589215,0.573005551149881,0.050452022204599524,0.004918329025212329,14107.358065027756,1104.1929579698651,107.64254904579703
cajamarca,329650.0,35384.0,Cajamarca,21973.0,99744.0,121717.0,93391.0,14047.0,8226.0,339979.0,339427.0,552.0,0.36923100257849234,0.2833035037160625,0.024953738813893525,0.0016236296947752654,13064.869795237373,882.9630941908085,57.45051311992799
cusco,179128.0,32068.0,Cusco,10200.0,59160.0,69360.0,56778.0,13298.0,7786.0,182058.0,180641.0,1417.0,0.38720914653208877,0.3169688714215533,0.04346612478227859,0.007783233914466818,12417.022910991023,1393.8716895181099,249.5927451691219
huanuco,106356.0,26631.0,Huánuco,8625.0,38508.0,47133.0,42788.0,5540.0,4330.0,106926.0,106560.0,366.0,0.4431625860318177,0.40230922561961713,0.04071232464553011,0.00342292800628472,11801.862828613337,1084.2099176351123,91.15599573536838
sanmartin,90651.0,40673.0,San Martín,6509.0,16335.0,22844.0,21785.0,14080.0,9738.0,91224.0,91067.0,157.0,0.2519994263714686,0.2403172607031362,0.1074229738226826,0.001721038323248268,10249.572668806743,4369.214614289969,69.99979172147681
piura,139981.0,13471.0,Piura,26664.0,56236.0,82900.0,72277.0,23470.0,21261.0,142850.0,142348.0,502.0,0.5922232302955401,0.5163343596630972,0.1518848986648188,0.0035141757087854392,7977.839135311221,2046.041469913774,47.33946097304865
lambayeque,57324.0,9518.0,Lambayeque,18073.0,26749.0,44822.0,44141.0,11652.0,10807.0,59102.0,58894.0,208.0,0.7819063568487893,0.770026515944456,0.18852487614262786,0.003519339447057629,7442.184704486776,1794.379771125532,33.497072857094516
ancash,168253.0,10354.0,Áncash,26158.0,83706.0,109864.0,84606.0,5221.0,4359.0,169938.0,168847.0,1091.0,0.6529690406708945,0.5028498748907895,0.02590741324077431,0.0064199884663818565,6760.841447106442,268.2453566949772,66.47256058091774
pasco,30159.0,11249.0,Pasco,4492.0,10982.0,15474.0,12116.0,2390.0,1946.0,32556.0,32229.0,327.0,0.5130806724360887,0.40173745813853246,0.06452468583175834,0.01004423147806856,5771.644484233561,725.8381909214496,112.98755989679323
arequipa,53208.0,10090.0,Arequipa,17781.0,12500.0,30281.0,28848.0,9718.0,8027.0,58202.0,57792.0,410.0,0.5691061494512103,0.5421741091565179,0.15086077281611787,0.007044431462836329,5742.281047962711,1522.1851977146293,71.07831346001855
lima,77241.0,8761.0,Lima,23432.0,24601.0,48033.0,44834.0,10914.0,9688.0,78518.0,77050.0,1468.0,0.621858857342603,0.580443028961303,0.12542561592936394,0.018696349881555822,5448.105449178545,1098.8538211571574,163.79872131231056
amazonas,69028.0,25132.0,Amazonas,3894.0,10709.0,14603.0,14139.0,4351.0,2826.0,69562.0,69109.0,453.0,0.21155183403836125,0.20482992408877557,0.04093990844295069,0.006512176188148702,5316.720693052095,1028.9017789882366,163.66401196055318
ica,32291.0,6792.0,Ica,8283.0,10086.0,18369.0,17230.0,4871.0,4635.0,32522.0,31827.0,695.0,0.5688581957821065,0.5335852095010993,0.1435384472453625,0.02137014943730398,3863.6848657520673,974.913133690502,145.14605497816862
ayacucho,111604.0,11951.0,Ayacucho,3447.0,30587.0,34034.0,32408.0,7473.0,5075.0,113768.0,112901.0,867.0,0.3049532274828859,0.290383857209419,0.04547328052757966,0.007620772097602138,3644.4960216479694,543.4511755851045,91.07584733844315
tacna,21233.0,4365.0,Tacna,4824.0,7653.0,12477.0,9872.0,3653.0,2970.0,22059.0,21941.0,118.0,0.5876230396081571,0.46493665520651817,0.13987660716808742,0.005349290539009021,2564.9745678896056,610.5613902887015,23.349653202774377
huancavelica,72089.0,5371.0,Huancavelica,3193.0,30794.0,33987.0,26554.0,3187.0,2488.0,74922.0,74198.0,724.0,0.4714588910929545,0.36835023373885056,0.03451289378407246,0.009663383251915325,2532.2057040602585,185.3687525142532,51.902031446037206
ucayali,25482.0,13545.0,Ucayali,887.0,2858.0,3745.0,3646.0,2372.0,1550.0,25580.0,25300.0,280.0,0.1469664861470842,0.14308139078565263,0.06082725060827251,0.0109460516028147,1990.6610548622557,823.9051094890511,148.2642689601251
apurimac,81590.0,3712.0,Apurímac,3001.0,23833.0,26834.0,25206.0,8849.0,6934.0,83328.0,82651.0,677.0,0.3288883441598235,0.3089349184949136,0.08498590513543326,0.008124519969278033,1220.8335335212648,315.4676798627283,30.158218125960058
