dep,ha_cosechada,gasto_total,g_fert,g_plag,g_abono,n_cultivos,gasto_ha,gasto_ha_comprado,k
Ica,110514.94,75952886.0184,38778744.7816,26550024.545066666,10218375.5648,72,687.263514040726,591.130659136825,ica
Lima,124601.30799999999,75406234.84373333,37757511.15573333,25737179.59989333,11386706.3272,89,605.1801225371834,509.5828589185169,lima
Lambayeque,130124.67,76072448.41466667,40750422.66933333,28816843.053066667,5775362.78,67,584.6120371691753,534.6201125612845,lambayeque
Tumbes,26257.5,14761904.653760003,7760897.794080001,6132302.660906668,801600.45344,32,562.1976446257261,529.113603922181,tumbes
Lima Metropolitana,7908.751,4376495.395599999,2024443.2290666667,1499703.16392,833544.5201333333,58,553.3737748982107,445.60087844296356,limametropolitana
La Libertad,278106.52,149349948.24250665,78413534.93824,51624182.57061333,17715260.610186666,101,537.0242604974045,467.58241233917613,lalibertad
Piura,229836.99322615186,121920301.53027493,65183714.11897384,43141233.51895558,12195996.324881723,57,530.4642208328468,471.3120638997453,piura
Tacna,45422.0,23918257.007999998,13157330.778666666,5835052.2453333335,4917401.184,48,526.5786845141121,418.13180890317466,tacna
Arequipa,133942.46020272726,70181906.05825515,34880505.542060606,24215583.746070087,10967831.199289817,81,523.9705613293353,441.20504579866906,arequipa
Áncash,89106.86,44132280.872,22673618.78666667,14710662.925866667,6354331.938666667,76,495.2736621175968,419.54437304303326,ancash
Ayacucho,150285.2,73426997.66399999,36562009.74933334,23005599.226666667,13392367.952,79,488.58435603772017,396.3637735186166,ayacucho
Apurímac,98897.75,47935106.74746666,24169400.667733334,14392643.4616,9058060.361333333,75,484.6936027105436,389.9183159306792,apurimac
Huancavelica,88945.8,42429035.73866666,21061919.85066667,13303720.533333333,7645835.834666667,56,477.0212392115947,386.3660834350807,huancavelica
Loreto,220625.71,105109238.79599999,53979248.71466667,35878777.745866664,14090094.673333334,53,476.4142800764244,407.2871945002844,loreto
Ucayali,165735.31,77728590.07973333,44220084.975200005,25665566.0288,7279760.3664,47,468.99233530702253,421.6702584621226,ucayali
Junín,283502.24,132050871.68266666,68777508.75333333,40897929.105066665,20415130.266933333,91,465.7842268994653,386.85915800312546,junin
Cusco,240627.55,105408744.19333333,54481420.781333335,32302527.864,17120408.374666665,61,438.05767125723276,360.65674377407464,cusco
Amazonas,269973.76900000003,116895714.46573332,61321007.07040001,38661153.848346666,14723911.080133334,76,432.98915631219455,370.3402789429764,amazonas
Cajamarca,379261.272,157200794.74826664,81687998.50666668,46389074.90197334,26362767.38853333,69,414.4920833052172,337.7014287096522,cajamarca
San Martín,553252.8,228681617.32693332,123327455.33573334,83994791.50986665,18471809.340533335,42,413.34018974135023,374.73329885650827,sanmartin
Moquegua,16382.0,6359418.016,2911792.6186666666,2241244.0799999996,1193846.5573333332,56,388.19545940666586,314.5547978675782,moquegua
Puno,328260.0,126647675.12533332,55900201.776,43396569.62133333,26688812.55466667,55,385.8151316801722,302.4942770892991,puno
Pasco,131084.269,37466647.177279994,16136692.96832,15236617.033306668,5671059.468986667,52,285.82107878467093,239.33695660786475,pasco
Huánuco,399748.75,111577815.71919999,47600341.95413333,46553966.55173333,16625552.2,84,279.11986146098013,235.53371587995375,huanuco
Madre de Dios,48958.8,11616630.385333333,4899387.329333333,5247922.124,1305167.908,29,237.27359300745388,207.26221748354396,madrededios
