dep,sectores,distritos,ha_agricola,ha_comercial,tam_usd,sam_usd,agencias,k,productores,ua_total,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,ua_objetivo_5_mas,ha_prom_ua,densidad_ha_sector,score,rank
SAN MARTIN,263,78,1323243.095662399,1306158.6319591496,567697943.7718302,560368364.6895195,10,SAN MARTIN,91224.0,90651.0,49978.0,29005.0,11155.0,513.0,40673.0,14.597115262516674,5031.342569058551,85.94886720158394,1
UCAYALI,110,19,677549.246535553,677549.246535553,257468713.68351012,257468713.68351012,4,UCAYALI,25580.0,25482.0,11937.0,7655.0,5258.0,632.0,13545.0,26.589327624815674,6159.538604868664,59.97239926868636,2
PUNO,525,110,982833.4443520824,533703.8240790432,443219985.150957,240679844.93472666,13,PUNO,215170.0,212215.0,159834.0,32983.0,13457.0,5941.0,52381.0,4.631309965610736,1872.0637035277762,48.47988545486479,3
LORETO,152,53,684123.994748937,498011.4098789462,259967118.00459605,189244335.75399956,8,LORETO,67585.0,67219.0,44977.0,15866.0,5739.0,637.0,22242.0,10.177539010531799,4500.815754927217,45.43367035045098,4
CAJAMARCA,465,127,1233967.3913563923,291393.73513320216,653505348.5324807,154321229.0472964,13,CAJAMARCA,339979.0,329650.0,294266.0,30233.0,4707.0,444.0,35384.0,3.7432652551384566,2653.6933147449295,37.92766118973336,5
HUANUCO,420,84,859818.9689289792,473647.4267122196,372432227.9683072,205161287.1737634,11,HUANUCO,106926.0,106356.0,79725.0,17947.0,7441.0,1243.0,26631.0,8.084348498711678,2047.1880212594745,37.69364239764329,6
AMAZONAS,337,84,520995.2885194088,417309.4671778629,236209721.61591238,189200469.25932148,7,AMAZONAS,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,7.547593563762659,1545.9800846273258,33.61756437815144,7
LA LIBERTAD,364,84,623194.835476467,237956.6437139057,490203006.1184679,187175912.62648168,12,LA LIBERTAD,127279.0,126100.0,104214.0,19075.0,2431.0,380.0,21886.0,4.942068481177375,1712.073723836448,31.995845091567944,8
MADRE DE DIOS,65,11,193494.5941360536,193494.5941360536,73527945.77170037,73527945.77170037,3,MADRE DE DIOS,6642.0,6641.0,963.0,1120.0,4151.0,407.0,5678.0,29.136364122278813,2976.8399097854403,30.133172914461976,9
JUNIN,446,124,577133.3414644432,279526.16927846475,283176753.5914942,137152556.3906774,8,JUNIN,135849.0,132063.0,102989.0,22667.0,5407.0,1000.0,29074.0,4.370136536838049,1294.0209449875408,28.827291492292918,10
PIURA,330,65,725257.904435112,153548.61236467713,755346256.2973038,159918794.12833282,7,PIURA,142850.0,139981.0,126510.0,11893.0,1282.0,296.0,13471.0,5.181116754667505,2197.7512255609454,28.650523573040847,11
LAMBAYEQUE,212,38,330427.0990191745,120700.07819799574,434850596.79957557,158844420.43026295,3,LAMBAYEQUE,59102.0,57324.0,47806.0,8629.0,739.0,150.0,9518.0,5.764201713404063,1558.6183915998797,24.656824018740878,12
PASCO,121,29,256318.53278964615,210329.24784547254,110707096.6581152,90843764.27188247,3,PASCO,32556.0,30159.0,18910.0,5879.0,4604.0,766.0,11249.0,8.49890688648981,2118.334981732613,23.0718571656911,13
CUSCO,470,116,349317.5584920022,137578.79295580456,160773104.79271474,63320520.71079959,14,CUSCO,182058.0,179128.0,147060.0,23082.0,6935.0,2051.0,32068.0,1.9501002550801785,743.2288478553238,20.970971039370063,14
ICA,213,43,167178.94485662886,77360.70935014993,230313064.60100034,106575514.43107949,5,ICA,32522.0,32291.0,25499.0,5506.0,1034.0,252.0,6792.0,5.177261306761292,784.8776753832341,16.071347271762797,15
AYACUCHO,423,124,466107.8384324247,109807.89675668433,213488116.13828245,50294543.6286419,12,AYACUCHO,113768.0,111604.0,99653.0,9906.0,1341.0,704.0,11951.0,4.176443841013088,1101.9097835281907,14.466678055273096,16
ANCASH,338,166,498616.86519879417,67504.85191342974,311383567.362487,42156419.22721508,20,ANCASH,169938.0,168253.0,157899.0,8927.0,954.0,473.0,10354.0,2.963494649122418,1475.1978260319354,14.304316588912972,17
AREQUIPA,217,109,167690.46717951604,69959.27286218046,162873805.52627832,67949795.80274257,9,AREQUIPA,58202.0,53208.0,43118.0,6788.0,1118.0,2184.0,10090.0,3.1516025255509703,772.7671298595209,13.483761750646758,18
LIMA,440,171,262930.6952141297,65609.95851550574,270007336.4522011,67375816.00765158,11,LIMA,78518.0,77241.0,68480.0,7333.0,888.0,540.0,8761.0,3.4040301810454254,597.5697618502948,12.304676470592492,19
TACNA,51,28,75721.96114802554,34246.59694364854,92286635.91745706,41738264.24505911,5,TACNA,22059.0,21233.0,16868.0,3899.0,229.0,237.0,4365.0,3.5662393984846954,1484.744336235795,12.229835017447714,20
HUANCAVELICA,444,102,292244.7498985926,47902.20995924135,132314030.81080933,21687761.667753544,7,HUANCAVELICA,74922.0,72089.0,66718.0,4270.0,528.0,573.0,5371.0,4.053943734808259,658.2088961680014,7.811105334146619,21
APURIMAC,464,85,322731.79095383856,32302.45002629523,145229305.92922735,14536102.511832854,11,APURIMAC,83328.0,81590.0,77878.0,2866.0,279.0,567.0,3712.0,3.955531204238737,695.5426529177555,6.721322300362896,22
TUMBES,57,13,32040.67903906427,9631.530635870828,44856950.654689975,13484142.89021916,3,TUMBES,8141.0,7626.0,6584.0,965.0,69.0,8.0,1042.0,4.201505250336254,562.1171761239345,5.159429826939094,23
MOQUEGUA,109,21,26705.898502631033,5155.003491352356,18340356.03184746,3540214.135371797,4,MOQUEGUA,14205.0,13369.0,12196.0,725.0,165.0,283.0,1173.0,1.997598810878228,245.00824314340397,2.364698251310051,24
CALLAO,7,7,70.94676158282427,0.05194105673284972,99325.46621595397,72.71747942598961,2,CALLAO,3008.0,3005.0,3004.0,0.0,0.0,1.0,1.0,0.023609571242204416,10.135251654689181,0.0,25
