codigo,aduana,partida4,producto,fob_usd,kg
082,Salaverry,0804,"Palta, mango, dátil y piña",326063168.18,188828114.6
046,Paita,0901,Café,221910628.08,34811283.9
082,Salaverry,0810,"Arándano, fresa y otras bayas",199675886.72,25742144.8
127,Pisco,0806,Uva,140424686.14,49489564.7
118,Marítima del Callao,1801,Cacao en grano,134677777.85,28675672.5
055,Chiclayo,0804,"Palta, mango, dátil y piña",123479253.86,76778228.0
118,Marítima del Callao,0804,"Palta, mango, dátil y piña",119291924.45,62838109.8
118,Marítima del Callao,0901,Café,104043603.84,16909396.5
127,Pisco,0810,"Arándano, fresa y otras bayas",84787282.27,17278864.8
370,Chancay,0804,"Palta, mango, dátil y piña",84116492.81,46753157.0
127,Pisco,0804,"Palta, mango, dátil y piña",83197460.94,44653439.1
046,Paita,0804,"Palta, mango, dátil y piña",75761019.07,51230940.2
046,Paita,0806,Uva,67625030.66,24415248.8
118,Marítima del Callao,0805,Cítricos,65078649.78,55390832.8
127,Pisco,0805,Cítricos,54897994.62,43737048.1
055,Chiclayo,0810,"Arándano, fresa y otras bayas",54744007.67,7745239.3
118,Marítima del Callao,2005,Hortalizas preparadas,50750879.38,18973481.3
370,Chancay,0805,Cítricos,43405149.86,32316428.7
235,Aérea del Callao,0709,Hortalizas frescas (espárrago y otras),42766199.97,8179403.1
118,Marítima del Callao,0811,Frutas congeladas,36734028.81,13737550.9
118,Marítima del Callao,0810,"Arándano, fresa y otras bayas",33878639.19,6092514.6
091,Chimbote,0804,"Palta, mango, dátil y piña",33190898.0,17450173.9
046,Paita,0811,Frutas congeladas,32427819.86,12468275.5
235,Aérea del Callao,0810,"Arándano, fresa y otras bayas",32107129.83,4272446.4
118,Marítima del Callao,0904,Pimienta y ají,30991741.14,7091346.9
046,Paita,0803,Banano y plátano,30301679.78,34995403.1
118,Marítima del Callao,1804,Manteca de cacao,25173659.52,3401910.8
370,Chancay,0810,"Arándano, fresa y otras bayas",24868052.1,3041768.1
235,Aérea del Callao,1209,Semillas para siembra,23675659.38,19544.7
082,Salaverry,0709,Hortalizas frescas (espárrago y otras),23210190.52,5497280.4
118,Marítima del Callao,2008,Frutas preparadas,22443218.42,8048467.6
118,Marítima del Callao,0801,Coco y castaña,19600405.37,1932407.6
118,Marítima del Callao,2009,Jugos de fruta,18514303.25,8020056.6
118,Marítima del Callao,0910,"Jengibre, cúrcuma y especias",18442143.03,11580045.1
046,Paita,2009,Jugos de fruta,17172364.55,4989876.3
145,Mollendo Matarani,0806,Uva,16648221.98,4288474.0
091,Chimbote,0810,"Arándano, fresa y otras bayas",16589076.37,2302318.4
127,Pisco,1806,Chocolate,13703753.59,1444872.4
118,Marítima del Callao,1805,Cacao en polvo,12250377.0,1835955.7
055,Chiclayo,0805,Cítricos,12015413.83,6225520.0
118,Marítima del Callao,1806,Chocolate,11765551.57,1650530.7
118,Marítima del Callao,0806,Uva,11685963.55,4302958.4
118,Marítima del Callao,2001,Conservas en vinagre,11614427.44,4736278.7
127,Pisco,0709,Hortalizas frescas (espárrago y otras),11189848.01,2191909.4
046,Paita,0810,"Arándano, fresa y otras bayas",10805057.24,1555765.8
046,Paita,2005,Hortalizas preparadas,10301627.41,6266348.8
118,Marítima del Callao,2103,Salsas y condimentos,9563247.52,3500872.3
019,Tumbes,0804,"Palta, mango, dátil y piña",8560139.47,4708722.0
118,Marítima del Callao,0709,Hortalizas frescas (espárrago y otras),8512876.7,2441497.4
