dep,fob_usd,kg,empresas,producto_lider,pct_lider
Lima,1751592837.59,733658759.3,786,"Palta, mango, dátil y piña",34.3
La Libertad,351084660.12,137994615.0,66,"Palta, mango, dátil y piña",43.6
Piura,165088847.18,87434878.9,99,Uva,38.3
Ica,134434028.64,55022958.3,40,"Palta, mango, dátil y piña",39.1
Callao,113791954.28,24223681.1,41,Café,72.2
Cajamarca,88015268.4,14702406.0,59,Café,99.9
Junin,65066156.54,17200958.3,85,Café,56.5
Lambayeque,41444849.0,25611386.0,36,Café,20.1
Amazonas,30376894.55,5112161.8,15,Café,99.3
San Martin,30070903.88,6931739.7,46,Cacao en grano,63.2
Ancash,29289239.04,8484313.2,16,"Arándano, fresa y otras bayas",44.3
Ucayali,21761852.04,4643178.5,4,Cacao en grano,96.5
Arequipa,19686394.14,7423850.4,32,Uva,35.5
Tacna,13092035.19,13249703.9,100,Hortalizas preparadas,27.6
Madre De Dios,11094882.89,1062680.0,7,Coco y castaña,98.2
Cusco,6834696.65,1470497.4,12,Cacao en grano,80.1
Tumbes,3485168.34,7836828.5,12,Cebolla y ajo,64.8
Huanuco,2554606.2,360765.0,4,Cacao en grano,31.0
Ayacucho,1432464.15,379992.0,6,Plantas para perfumería,58.3
Loreto,737830.72,150738.0,2,Cacao en grano,99.6
Moquegua,573288.49,95072.4,3,"Arándano, fresa y otras bayas",96.1
Apurimac,153482.72,23240.0,2,Café,92.6
Pasco,149327.66,20010.0,2,Café,100.0
Puno,48372.8,78800.0,2,Maní,69.9
