k,dep,cultivo,tipo,ha,usd,pct_dep,rank_dep,rank_nac,mes_pico
amazonas,Amazonas,Café,permanente,60214.75,9801355.573333334,22.31,1,2,Set
amazonas,Amazonas,Arroz,transitorio,38850.95,24672114.49306667,14.39,2,3,Feb
amazonas,Amazonas,Brachiaria (pasto),permanente,27438.999999999996,5069263.786666667,10.16,3,1,Ene
amazonas,Amazonas,Pasto elefante,permanente,21523.0,8980543.493333332,7.97,4,19,Ago
amazonas,Amazonas,Maíz amarillo duro,transitorio,12717.0,5306210.64,4.71,5,5,Dic
amazonas,Amazonas,Plátano,permanente,12043.610000000002,3185936.298666667,4.46,6,9,Ago
amazonas,Amazonas,Grama azul,permanente,11993.0,2215666.7733333325,4.44,7,48,Mar
amazonas,Amazonas,Yuca,transitorio,10237.0,1136170.5066666668,3.79,8,11,Ago
amazonas,Amazonas,Maíz amiláceo,transitorio,9775.0,4078651.333333333,3.62,9,8,Dic
amazonas,Amazonas,Ryegrass (pasto),permanente,9391.0,1734955.9466666668,3.48,10,17,Dic
amazonas,Amazonas,Cacao,permanente,9272.0,2475500.373333333,3.43,11,7,Jun
amazonas,Amazonas,Pasto gramalote,permanente,8888.0,1642028.373333333,3.29,12,35,Set
amazonas,Amazonas,Frijol,transitorio,6867.0,2865278.64,2.54,13,15,Dic
amazonas,Amazonas,Trébol,permanente,6656.0,1229673.813333333,2.47,14,45,Abr
amazonas,Amazonas,Papa,transitorio,4138.5,2402493.056,1.53,15,4,Abr
amazonas,Amazonas,Grama chilena,permanente,2677.0,494566.82666666666,0.99,16,39,Jul
amazonas,Amazonas,Maíz choclo,transitorio,2287.0,954258.3733333333,0.85,17,21,Dic
amazonas,Amazonas,Caña de azúcar para alcohol,permanente,2005.0,836592.9333333333,0.74,18,32,Feb
amazonas,Amazonas,Pacae,permanente,1353.9999999999998,564961.0133333333,0.5,19,61,Nov
amazonas,Amazonas,Frijol grano verde,transitorio,1307.0,545350.1066666666,0.48,20,62,Dic
amazonas,Amazonas,Piña,permanente,1189.5,498923.88,0.44,21,40,Ene
amazonas,Amazonas,Papaya,permanente,1105.5,318000.76,0.41,22,42,Oct
amazonas,Amazonas,Arracacha,transitorio,1007.5,420382.73333333334,0.37,23,92,Ago
amazonas,Amazonas,Arveja grano verde,transitorio,890.0,371355.4666666667,0.33,24,23,Abr
amazonas,Amazonas,Limón,permanente,685.0,431334.45333333337,0.25,25,30,Jun
amazonas,Amazonas,Maní,transitorio,563.0,234913.62666666668,0.21,26,75,Oct
amazonas,Amazonas,Naranja,permanente,541.9999999999999,322569.4933333334,0.2,27,27,Ago
amazonas,Amazonas,Col,transitorio,352.5,147081.8,0.13,28,91,Nov
amazonas,Amazonas,Zanahoria,transitorio,297.5,166647.60000000003,0.11,29,56,Nov
amazonas,Amazonas,Pituca,transitorio,281.5,117456.81333333334,0.1,30,85,Nov
amazonas,Amazonas,Mango,permanente,248.0,165148.16,0.09,31,25,May
amazonas,Amazonas,Cocona,permanente,236.0,98471.78666666668,0.09,32,84,Nov
amazonas,Amazonas,Soya,transitorio,204.0,85119.68000000001,0.08,33,108,Feb
amazonas,Amazonas,Tomate,transitorio,176.0,155579.30666666667,0.07,34,66,Nov
amazonas,Amazonas,Granadilla,permanente,164.5,57197.74666666667,0.06,35,64,Set
amazonas,Amazonas,Trigo,transitorio,161.0,19577.6,0.06,36,12,Mar
amazonas,Amazonas,Palta,permanente,160.0,139797.33333333334,0.06,37,16,Dic
amazonas,Amazonas,Alfalfa,permanente,155.0,28635.73333333333,0.06,38,6,Abr
amazonas,Amazonas,Lechuga,transitorio,150.5,34610.986666666664,0.06,39,65,Nov
amazonas,Amazonas,Haba grano verde,transitorio,146.0,60918.986666666664,0.05,40,47,Nov
amazonas,Amazonas,Olluco,transitorio,132.0,50395.840000000004,0.05,41,33,Nov
amazonas,Amazonas,Arveja grano seco,transitorio,129.0,53825.68,0.05,42,22,Nov
amazonas,Amazonas,Caigua,transitorio,126.5,52782.54666666666,0.05,43,106,Nov
amazonas,Amazonas,Zapallo,transitorio,113.0,68565.38666666667,0.04,44,57,Oct
