cultivo,ha_nac,usd_nac,usd_ha,deps,dep_lider,pct_lider,rank_nac
Brachiaria (pasto),428913.05,79240256.27733332,185.0,7,Huánuco,47.5,1
Café,428269.1,69710788.97066668,163.0,16,Junín,20.4,2
Arroz,422853.1,268530887.8405333,635.0,17,San Martín,27.4,3
Papa,323919.15,188042408.7424,581.0,20,Puno,17.5,4
Maíz amarillo duro,289159.6,120652806.96533333,417.0,24,San Martín,23.7,5
Alfalfa,211293.01,39035679.28746666,185.0,20,Puno,44.1,6
Cacao,200953.05,53651784.975999996,267.0,16,San Martín,35.1,7
Maíz amiláceo,189210.0,78948503.2,417.0,20,Cajamarca,17.5,8
Plátano,174693.51,46212256.51200001,265.0,25,San Martín,20.1,9
Avena forrajera,119058.0,49677347.36,417.0,12,Puno,72.0,10
Yuca,118036.05,13100427.736000001,111.0,22,Loreto,43.0,11
Trigo,112530.5,13683708.8,122.0,19,La Libertad,25.7,12
Cebada grano,111476.5,13555542.4,122.0,20,La Libertad,22.8,13
Palma,100489.0,41929370.21333333,417.0,4,Ucayali,46.0,14
Frijol,68979.0,28781717.68,417.0,23,Cajamarca,22.8,15
Palta,65069.29,56853207.649333335,874.0,24,La Libertad,26.1,16
Ryegrass (pasto),64124.6,11846806.101333331,185.0,10,Cajamarca,60.6,17
Quinua,59053.5,29890519.56,506.0,15,Puno,46.9,18
Pasto elefante,55850.07,23303627.8744,417.0,11,Amazonas,38.5,19
Haba grano seco,52999.5,22114218.04,417.0,17,Cusco,18.1,20
Maíz choclo,46787.7,19522323.783999998,417.0,22,Cajamarca,18.3,21
Arveja grano seco,43701.25,18234492.233333334,417.0,16,Cajamarca,35.0,22
Arveja grano verde,37949.1,15834388.472000001,417.0,19,Cajamarca,35.8,23
Uva,37803.649999999994,27895061.31066666,738.0,14,Ica,47.3,24
Mango,36902.45,24574079.504,666.0,23,Piura,71.2,25
Maíz chala,35838.25,14953629.273333333,417.0,10,Arequipa,40.5,26
Naranja,33506.85,19941490.088000003,595.0,25,Junín,42.2,27
Espárrago,29718.55,25497723.405333336,858.0,5,Ica,44.8,28
Olivo,28533.1,14168396.136,497.0,7,Tacna,75.4,29
Limón,27233.82,17148737.02464,630.0,23,Piura,59.8,30
Castilla,24566.8,10250579.189333333,417.0,9,Piura,54.7,31
Caña de azúcar para alcohol,24180.701999999997,10089478.511839999,417.0,12,Cajamarca,32.1,32
Olluco,23612.7,9015014.024,382.0,18,Cusco,13.3,33
Mandarina,21557.55,17063231.976,792.0,17,Lima,40.6,34
Pasto gramalote,18853.0,3483028.906666666,185.0,2,Cajamarca,52.9,35
Cebada forrajera,18313.0,7641160.293333333,417.0,9,Puno,81.6,36
Arándano,17774.04,7416277.436799999,417.0,7,La Libertad,51.0,37
Camote,17012.05,5506006.689333334,324.0,20,Lima,35.9,38
Grama chilena,16961.299999999996,3133543.637333333,185.0,2,Cajamarca,84.2,39
Piña,16533.35,6934748.324,419.0,13,Junín,40.8,40
Cebolla de cabeza,14046.7,11068050.442666668,788.0,19,Arequipa,55.6,41
Papaya,13442.15,3866679.254666667,288.0,23,Ucayali,36.7,42
Achiote,13160.55,5491283.356,417.0,13,Cusco,52.5,43
Oca,13015.0,7635466.666666666,587.0,17,Puno,22.0,44
Trébol,12767.819,2358812.0008533327,185.0,9,Amazonas,52.1,45
Algodón,12735.0,3995054.4000000004,314.0,9,Ica,51.3,46
Haba grano verde,12547.5,5235486.2,417.0,17,Junín,21.7,47
Grama azul,11993.0,2215666.7733333325,185.0,1,Amazonas,100.0,48
Tuna,11525.7,2457586.5919999997,213.0,17,Ayacucho,29.0,49
Tarwi,11228.75,4685233.366666667,417.0,11,La Libertad,33.8,50
Avena grano,10734.0,4478797.28,417.0,7,Puno,47.3,51
Caña de azúcar para etanol,9896.599999999999,4129389.3386666663,417.0,1,Piura,100.0,52
Frijol loctao,9028.0,3766963.0933333333,417.0,10,Piura,35.3,53
Ajo,8969.0,4659335.706666667,519.0,18,Arequipa,57.5,54
Alcachofa,8391.4,6678211.776000001,796.0,8,Arequipa,31.4,55
Zanahoria,8080.0,4526092.800000001,560.0,18,Lima,25.6,56
Zapallo,7889.25,4786986.52,607.0,23,Arequipa,16.1,57
Manzana,7331.709999999999,3328791.8522666655,454.0,16,Lima,73.8,58
Maracuyá,6457.639999999999,3091057.0133333337,479.0,14,Lima,30.6,59
Mashua,6365.75,2656130.4066666667,417.0,11,Ayacucho,28.0,60
Pacae,6195.9,2585259.928,417.0,17,Amazonas,21.9,61
Frijol grano verde,6087.5,2540029.6666666665,417.0,7,Cajamarca,54.8,62
Pallar grano seco,5766.0,2405882.7199999997,417.0,8,Lambayeque,55.2,63
Granadilla,5729.9,1992324.4293333336,348.0,18,Pasco,32.5,64
Lechuga,5341.25,1228345.0666666667,230.0,20,Lima,44.5,65
Tomate,5156.95,4558606.281333333,884.0,24,Ica,20.4,66
Sandía,5059.25,3153059.513333333,623.0,15,Loreto,28.3,67
Páprika,4871.0,3479063.04,714.0,9,Lima,42.6,68
Cañihua,4799.0,2002398.7466666666,417.0,2,Puno,87.8,69
Ají,4793.25,3834344.36,800.0,20,Tacna,23.1,70
Melocotón,4782.949999999999,3367196.8,704.0,16,Lima,48.0,71
Pijuayo,4538.15,242034.66666666666,53.0,7,Loreto,45.8,72
Lenteja,4187.0,1747039.7066666665,417.0,5,Cajamarca,58.0,73
Camu camu,4042.2,1686621.424,417.0,3,Loreto,81.3,74
Maní,4000.25,1669117.6466666665,417.0,10,Loreto,34.3,75
Maíz morado,3898.5,1626662.1199999999,417.0,13,Ayacucho,30.1,76
Tangelo,3886.6699999999996,2918526.414133333,751.0,6,Junín,67.6,77
Chirimoya,3423.56,942620.1866666665,275.0,20,Lima,35.8,78
Granada,3357.4700000000003,2378968.9431999996,709.0,8,Ica,86.6,79
Maca,3349.0,1397381.4133333333,417.0,5,Junín,80.8,80
Orégano,3263.73,752311.5232000002,231.0,7,Tacna,63.9,81
Coco,2948.5,1230271.4533333336,417.0,12,Ucayali,37.2,82
Brócoli,2844.75,1453629.3199999998,511.0,8,Lima,39.6,83
Cocona,2603.01,1086114.5992,417.0,9,Loreto,50.1,84
Pituca,2546.5,1062535.6133333333,417.0,5,Puno,69.8,85
Kiwicha,2478.0,1033953.7599999999,417.0,7,Apurímac,79.9,86
Pepinillo,2416.25,1008188.3666666667,417.0,14,Lima,27.8,87
Frijol zarandaja,2404.0,1003077.0133333333,417.0,3,Lambayeque,85.9,88
Betarraga,2392.5,998278.6,417.0,14,Lima,38.0,89
Vainita,2383.5,382758.31999999995,161.0,10,Lima,56.3,90
Col,2321.3,968570.1626666667,417.0,16,Lima,19.2,91
Arracacha,2306.2,962269.6373333333,417.0,6,Cajamarca,52.1,92
Pecana,2303.28,1191502.0992,517.0,5,Ica,89.8,93
Pimiento,2217.35,1971490.232,889.0,8,La Libertad,26.3,94
Apio,2125.5,886871.96,417.0,10,Lima,31.4,95
Cebolla china,2066.1,1627976.608,788.0,9,Lima,49.6,96
Té,2033.0,848276.0266666667,417.0,3,Cusco,91.0,97
Pimiento piquillo,1994.0,2833394.24,1421.0,4,Piura,43.2,98
Fresa,1740.5,1050148.0800000003,603.0,9,Lima,77.2,99
Guanábana,1599.8,667521.8826666665,417.0,10,Junín,62.7,100
Lima,1511.8899999999999,630841.1421333333,417.0,16,Cajamarca,21.3,101
Rocoto,1504.65,424511.92,282.0,6,Pasco,92.3,102
Melon,1466.7,611985.4639999999,417.0,10,Loreto,38.0,103
Espinaca,1451.5,605643.2133333334,417.0,9,Junín,47.6,104
Lúcuma,1443.38,705562.6341333333,489.0,16,Lima,39.5,105
Caigua,1372.3,572596.7493333333,417.0,14,Loreto,36.6,106
Sacha inchi,1368.69,571090.4648,417.0,5,San Martín,54.7,107
Soya,1365.0,569550.7999999999,417.0,8,Ucayali,45.2,108
Coliflor,1357.0,566212.7733333333,417.0,12,Lima,48.3,109
Poro,1253.0,522818.42666666664,417.0,9,Lima,34.3,110
Frijol de palo,1237.0,516142.3733333333,417.0,5,Lambayeque,48.8,111
Calabaza,1134.5,473373.9066666666,417.0,8,Huánuco,34.3,112
Zapote,1038.0,433108.96,417.0,6,Ucayali,47.2,113
Guayaba,993.5,414541.18666666665,417.0,14,Loreto,50.5,114
Toronja,974.9,406780.27466666664,417.0,12,Loreto,65.6,115
Caimito,957.75,399624.38,417.0,7,Loreto,42.7,116
