candidato,region,puntos_nuevos,clientes_cadena,clientes_nuevos,sam_mm,sam_nuevo_mm,rescata_juliaca,h_a_la_red
Mariscal Nieto,Moquegua,186,51728,3475,264.3,16.1,186,5.849705041325501
Islay,Arequipa,203,51535,3282,268.7,20.5,203,
Arequipa,Arequipa,201,51322,3070,266.9,18.8,201,4.437874042686684
Camana,Arequipa,200,51191,2938,264.5,16.3,199,6.8166365096991814
Castilla,Arequipa,192,51034,2781,264.4,16.3,192,7.700465756314745
Santa,Ancash,182,50967,2714,255.5,7.4,0,4.6338027106777755
Barranca,Lima,155,50694,2442,263.3,15.2,0,
Tacna,Tacna,56,50552,2300,257.5,9.3,56,
Dos De Mayo,Huanuco,80,50512,2259,257.4,9.3,0,7.459887103004866
Condesuyos,Arequipa,45,50325,2072,262.4,14.3,45,
Padre Abad,Ucayali,56,50272,2019,271.0,22.8,0,7.925456262500774
Cutervo,Cajamarca,52,50134,1882,260.5,12.3,0,5.134624796106323
Huaura,Lima,105,50095,1843,262.3,14.1,0,5.087355273652894
Candarave,Tacna,53,50044,1791,255.1,6.9,53,6.727917958981315
Huanuco,Huanuco,65,50029,1777,261.5,13.4,0,5.015590688861649
Huaral,Lima,98,49870,1617,261.6,13.4,0,4.57272988343412
Yarowilca,Huanuco,61,49864,1612,258.8,10.6,0,5.9913586063701665
Leoncio Prado,Huanuco,60,49846,1594,263.4,15.2,0,inf
Utcubamba,Amazonas,69,49839,1587,268.8,20.6,0,5.221350360182751
Bagua,Amazonas,57,49784,1531,267.6,19.4,0,5.06929364361305
Jaen,Cajamarca,52,49764,1512,265.8,17.6,0,4.408750112942358
Puerto Inca,Huanuco,47,49701,1449,272.2,24.0,0,8.176193574904511
Viru,La Libertad,151,49686,1433,253.0,4.8,0,3.645772398887248
Oyon,Lima,79,49604,1351,261.3,13.1,0,5.565036036601279
Canta,Lima,79,49585,1333,258.3,10.1,0,4.787742202145805
Sullana,Piura,13,49522,1270,259.8,11.7,0,3.5016477423964028
Ambo,Huanuco,56,49505,1253,259.1,10.9,0,3.8969716942257207
Pasco,Pasco,49,49481,1229,256.0,7.8,0,2.3533982616138838
Huarochiri,Lima,66,49469,1217,255.6,7.5,0,3.558914012564964
Pachitea,Huanuco,53,49452,1199,259.4,11.2,0,6.2249678901932
Huari,Ancash,39,49368,1116,252.2,4.0,0,11.569565959493204
Luya,Amazonas,63,49323,1070,261.5,13.4,0,7.777848309326367
Chachapoyas,Amazonas,63,49323,1070,262.0,13.8,0,7.975895565859675
San Ignacio,Cajamarca,47,49307,1054,258.2,10.1,0,6.762531516369946
Coronel Portillo,Ucayali,45,49299,1046,266.5,18.4,0,10.21031730281616
Bongara,Amazonas,69,49292,1040,261.6,13.4,0,6.917699252669471
Morropon,Piura,9,49239,987,260.0,11.8,0,3.241000153883122
Piura,Piura,9,49239,987,259.5,11.4,0,3.0088343391385597
