h3,sectores,ha_agricola,ha_cosechada,clientes,sam_usd,horas_capital,horas_puerto,costo_viaje,region_nat,dep,prov,prospectos,empresas,exportadores,fob_export,centro_lat,centro_lon,km2,sam_por_km2,res,hub,horas_al_hub,cubierto_2h
858f5617fffffff,1,43039.33837561729,16949.214273798236,969.3717818575846,4315768.262347482,1.8465728469332487,2.2648380497665443,66.63847598472216,COSTA,LAMBAYEQUE,LAMBAYEQUE,4,0,0,0.0,-6.06827217226029,-80.16151514139248,301.26033361852245,14325.710293517828,5,Chiclayo,1.938728490606192,True
85b30447fffffff,2,23819.94753120444,14288.452654406456,806.8671056546891,2657343.032398511,0.9594699117280624,1.9152837715740176,31.30545550967068,COSTA,TACNA,TACNA,2,0,0,0.0,-18.17782386636945,-70.42785052777599,273.37281737229193,9720.582528802111,5,Juliaca,8.760857732108603,False
858f5177fffffff,10,28669.768431766577,12794.152123658838,649.0019908446968,2489148.4991636924,1.3372697915644636,2.7055443459954622,49.42488927791654,SIERRA,LA LIBERTAD,OTUZCO,0,7,0,0.0,-7.852779431376056,-78.43361410011937,300.59646900148823,8280.697732185832,5,Chiclayo,5.767719406295273,False
858e636ffffffff,17,13788.738354543895,9115.15258835356,318.6725442247214,2344265.970373072,1.02156497962046,1.2551036940121667,37.38111676402809,COSTA,ICA,PISCO,35,19,0,0.0,-13.628267410837893,-76.04237189239949,295.1916023802873,7941.506301229455,5,Pisco,0.6665177942452757,True
858f5053fffffff,24,22906.223813229142,9020.642748401266,515.9151564940872,2296920.851352297,1.0146525757612388,0.7040667958704283,36.16517608316288,COSTA,LAMBAYEQUE,FERREÑAFE,34,414,16,118054873.4924,-6.699017663244655,-79.7864317138458,301.4821650151394,7618.761963040013,5,Chiclayo,0.2764130371427082,True
858f5627fffffff,17,22195.880647027898,8740.90428154105,499.91615077654217,2225691.213356664,1.311536252386813,0.896826432450187,46.85449315245003,COSTA,LAMBAYEQUE,LAMBAYEQUE,2,127,4,43221024.86,-6.60001694511166,-79.92320427570408,301.540586949212,7381.066793942183,5,Chiclayo,0.5471842990721545,True
858f5057fffffff,9,21603.561564593456,8507.644584121344,486.5753926227642,2166296.436540078,0.5095462915787993,0.8365512490279962,18.21546043903895,COSTA,LAMBAYEQUE,CHICLAYO,1,15,0,0.0,-6.797966907955861,-79.64962248979766,301.4159762919816,7187.065739480202,5,Chiclayo,0.4436463004350804,True
858f53bbfffffff,5,22502.21570643292,10041.824075163917,509.386144037017,1953673.137850101,0.6556813372586108,0.9885453905902756,23.05905892595217,COSTA,LA LIBERTAD,ASCOPE,3,22,0,0.0,-7.861384521146199,-79.17026376042476,301.6029244790834,6477.633269718482,5,Chiclayo,2.5741205236832543,False
858e4583fffffff,1,10863.00551979554,7181.074173362153,251.0557179279325,1846853.1000618795,1.1776733748138803,1.4112120892055873,43.23654872324792,COSTA,ICA,ICA,0,0,0,0.0,-13.817972912354794,-75.76433355554367,294.42628321543714,6272.71818226399,5,Pisco,1.3692480878039526,True
858e636bfffffff,16,10630.739267557545,7027.532763275371,245.6877955237894,1807364.7975655016,0.9445224398921394,1.1780611542838462,34.06739455666636,COSTA,ICA,CHINCHA,42,27,0,0.0,-13.533176831713506,-76.18140126553588,295.56420303080307,6114.965137970859,5,Pisco,0.33245238793376586,True
858f5637fffffff,17,17817.27374273103,7016.576040387054,401.2971167238074,1786626.5477723635,1.498375992761252,1.0806814899433308,53.63750682295579,COSTA,LAMBAYEQUE,LAMBAYEQUE,1,41,0,0.0,-6.433151780621693,-79.90577461916982,301.3653777257668,5928.439959676252,5,Chiclayo,1.013624084134972,True
858f538ffffffff,6,19854.293652576285,8860.16410991998,449.4447221645473,1723776.9242847108,0.7514160844331911,1.3360058672974693,26.661048680844612,COSTA,LA LIBERTAD,ASCOPE,0,49,6,90107935.3824,-7.762661670107694,-79.30748791192451,301.71596601133666,5713.24397271022,5,Chiclayo,2.314001366762243,False
858e658ffffffff,3,20330.796097467537,9986.99229538519,583.8233465198091,1706998.7923914024,3.32736731379997,9.716996543299205,114.66847102263574,SELVA ALTA,JUNIN,SATIPO,0,0,0,0.0,-11.16204101725502,-74.49721968895051,293.31796491275765,5819.618968443067,5,Satipo,0.7755910302940637,True
858e458bfffffff,2,10024.553648677464,6626.809051585201,231.67819519097196,1704305.30934178,0.891308615646422,1.1248473300381288,32.791008110214655,COSTA,ICA,ICA,73,0,0,0.0,-13.889146213491829,-75.9188662768169,294.6735242563991,5783.706947010423,5,Pisco,0.7757212090522804,True
858f5167fffffff,9,19201.132591213744,8568.684881540044,434.6590140003741,1667068.5877848142,1.2908648153628275,2.0088503681140653,47.80239829615047,SIERRA,LA LIBERTAD,JULCAN,0,14,0,0.0,-8.019780784543089,-78.45030056156924,300.7127600288267,5543.724142683559,5,Chiclayo,5.179245020523892,False
858e60affffffff,38,19539.225186956017,9598.152992357884,561.0924325031106,1640537.5194605489,0.5631510851566324,5.931294878593574,20.450484400623665,SIERRA,JUNIN,HUANCAYO,37,53,1,128114.48,-12.015045013922782,-75.30424456577832,294.8460484743419,5564.047841066154,5,Tarma,1.715449670031545,True
858f50cbfffffff,17,15759.423907067494,6206.179339964691,354.9483196167726,1580275.7221178252,1.3511982562807083,0.97482757282889,48.01484434549501,COSTA,LAMBAYEQUE,FERREÑAFE,0,19,0,0.0,-6.532139234837258,-79.76907171885289,301.3109027921191,5244.668239596001,5,Chiclayo,0.6187151887767949,True
858f4aaffffffff,1,37881.92422608587,17612.139769183632,519.966748299453,1547482.5672362573,1.923338734184908,12.96169363946541,69.31328607739525,SELVA BAJA,HUANUCO,PUERTO INCA,0,0,0,0.0,-9.687412158390185,-75.09484280262139,294.89858926239054,5247.507528289194,5,Tarma,6.9124474817455575,False
858e45bbfffffff,16,8736.000773705147,5775.001165212201,201.8983551158869,1485234.457596409,0.6247764086952238,1.5606900577179406,22.80198587656504,COSTA,ICA,ICA,77,50,6,34140406.092,-14.07837030513632,-75.64068984693124,293.8880467062691,5053.742315286641,5,Pisco,1.304193835475294,True
858e65d3fffffff,3,17663.037234214593,8676.5228437452,507.21543112951,1483010.457840574,3.2614959196488704,9.490900504670892,117.45483857312372,SELVA ALTA,JUNIN,CHANCHAMAYO,2,0,0,0.0,-10.876223424245437,-74.90934300684701,294.38136744340926,5037.718489862175,5,Tarma,5.366874971643353,False
85b3047bfffffff,1,13289.056338288916,7971.472315908164,450.1480286852296,1482521.370857013,1.0696402704946784,2.1344017450804107,35.05088936168043,COSTA,TACNA,TACNA,0,0,0,0.0,-18.338857522519127,-70.4402268498465,273.08527009341304,5428.785559726065,5,Juliaca,8.893784480010963,False
858f5b0ffffffff,11,14558.727839294475,7337.210603648765,301.6668875795266,1473259.5813977425,0.5101986768007044,0.4193503524624609,18.66930142982001,COSTA,LIMA,BARRANCA,6,121,1,72123.37599999999,-10.710406573868088,-77.68478145850177,299.9582059782076,4911.549516017498,5,Pisco,5.79940530506873,False
858f5137fffffff,9,16921.112355662346,7551.204541296234,383.0458426013517,1469114.113164877,1.2279580291430028,3.5066268038523782,42.51635787913635,SIERRA,LA LIBERTAD,SANCHEZ CARRION,0,23,0,0.0,-7.813638785856349,-77.98918327507319,299.9002940794833,4898.675133594615,5,Chiclayo,6.519139313076349,False
858e45abfffffff,15,8567.00053483194,5663.282244656292,197.99257819043208,1456502.2053200556,0.3711241153542439,1.7489317131758646,13.51507227294636,COSTA,ICA,ICA,15,43,2,327271645.9584,-14.244099444502757,-75.65606892781996,293.7350986795919,4958.556916988723,5,Pisco,1.6243171856104666,True
858e45d3fffffff,11,8549.030739300368,5651.403171746202,197.5772769268936,1453447.1049130382,0.6040833888237316,0.8023007044357169,21.740821257608967,COSTA,ICA,PISCO,77,47,2,5447894.4,-13.699276221813872,-76.19707358605756,295.43238599843534,4919.728417725793,5,Pisco,0.058548143385360255,True
858f513bfffffff,4,16727.519795547174,7464.812051938779,378.6634578176554,1452306.1423712934,2.9404742184377093,4.37996493576312,106.89038686299526,SIERRA,LA LIBERTAD,OTUZCO,0,0,0,0.0,-7.784132720702924,-78.2798550279492,300.32928390030474,4835.712733405614,5,Chiclayo,7.669118125272005,False
