umbral_h,k,hub,provincia,region,lat,lon,sam_cubierto,pct_sam,marginal
2.0,1,Chiclayo,Chiclayo,Lambayeque,-6.77369,-79.83987,33896923.65634051,6.7434813050278315,6.7434813050278315
2.0,2,Pisco,Pisco,Ica,-13.71173,-76.20448,56977058.9598062,11.33506201938333,4.591580714355498
2.0,3,Bellavista,Bellavista,San Martin,-7.05936,-76.59079,72750296.91947573,14.473002688547588,3.1379406691642586
2.0,4,Juliaca,San Roman,Puno,-15.49396,-70.13582,88278272.32339211,17.56215062724719,3.0891479386996004
2.0,5,Satipo,Satipo,Junin,-11.24928,-74.6386,102844582.80569892,20.45998417156923,2.89783354432204
2.0,6,Tarma,Tarma,Junin,-11.42073,-75.69104,116228092.95337366,23.12251046426462,2.662526292695393
2.0,7,Chulucanas,Morropon,Piura,-5.09714,-80.16423,129581617.89883119,25.779071476669998,2.6565610124053762
2.0,8,Viru,Viru,La Libertad,-8.41636,-78.75449,142929278.40105647,28.434465812013404,2.6553943353434057
2.0,9,Moyobamba,Moyobamba,San Martin,-6.03309,-76.97251,155133280.62615243,30.862339848188913,2.42787403617551
2.0,10,Puerto Inca,Puerto Inca,Huanuco,-9.37714,-74.96786,166445229.71122655,33.11274811390643,2.250408265717514
2.0,11,Urcos,Quispicanchi,Cusco,-13.68439,-71.6243,177622458.0351808,35.33635492285395,2.2236068089475225
2.0,12,Huacho,Huaura,Lima,-11.10751,-77.60803,187908781.11434096,37.382724324545,2.0463694016910523
4.0,1,Chiclayo,Chiclayo,Lambayeque,-6.77369,-79.83987,61714344.99540838,12.277501520428647,12.277501520428647
4.0,2,Tarma,Tarma,Junin,-11.42073,-75.69104,99357851.191437,19.76633097475393,7.488829454325284
4.0,3,Tarapoto,San Martin,San Martin,-6.48895,-76.36512,134234251.40361536,26.704670135024628,6.938339160270697
4.0,4,Chincha Alta,Chincha,Ica,-13.42019,-76.13568,167958898.7993317,33.413878661950314,6.709208526925686
4.0,5,Sicuani,Canchis,Cusco,-14.27128,-71.22905,199955568.88385046,39.77932199024879,6.3654433282984755
4.0,6,Huamachuco,Sanchez Carrion,La Libertad,-7.81549,-78.05275,228204321.95588145,45.39915168815578,5.619829697906994
4.0,7,Puerto Inca,Puerto Inca,Huanuco,-9.37714,-74.96786,252199141.08606958,50.17270034001644,4.773548651860658
4.0,8,Mollendo,Islay,Arequipa,-17.02514,-72.01812,272865952.6997438,54.28417249496155,4.111472154945112
4.0,9,Bagua Grande,Utcubamba,Amazonas,-5.7561,-78.44291,291599838.2623685,58.01110678383351,3.726934288871959
4.0,10,Tingo Maria,Leoncio Prado,Huanuco,-9.29569,-75.99961,307338450.3042901,61.14215894502077,3.131052161187256
4.0,11,Barranca,Barranca,Lima,-10.75406,-77.76298,321192635.3445178,63.89832168009234,2.7561627350715696
4.0,12,Ilave,El Collao,Puno,-16.08685,-69.63887,333046799.94137305,66.25659873661995,2.358277056527612
6.0,1,Lambayeque,Lambayeque,Lambayeque,-6.7025,-79.90942,99875092.51220246,19.869231379880144,19.869231379880144
6.0,2,Junin,Junin,Junin,-11.16582,-75.99829,172375716.9406884,34.292564021893746,14.423332642013602
6.0,3,Lampa,Lampa,Puno,-15.36387,-70.36544,225731019.2420828,44.907110853380615,10.61454683148687
6.0,4,Picota,Picota,San Martin,-6.9195,-76.3317,270538060.0338858,53.821059652289506,8.91394879890889
6.0,5,Chincha Alta,Chincha,Ica,-13.42019,-76.13568,311242233.5473006,61.918780728903435,8.09772107661393
6.0,6,Huamachuco,Sanchez Carrion,La Libertad,-7.81549,-78.05275,338730032.107677,67.38722552311404,5.468444794210605
6.0,7,Aguaytia,Padre Abad,Ucayali,-9.03776,-75.51285,365480636.25958765,72.7090122677016,5.3217867445875555
6.0,8,Camana,Camana,Arequipa,-16.62378,-72.71141,386352376.88094306,76.8612531645587,4.1522408968571085
6.0,9,Bagua Grande,Utcubamba,Amazonas,-5.7561,-78.44291,401254394.72166157,79.82587260126321,2.96461943670451
6.0,10,Ayacucho,Huamanga,Ayacucho,-13.16055,-74.22667,415151730.4013615,82.59061975932053,2.764747158057318
6.0,11,Piura,Piura,Piura,-5.19598,-80.62973,427127575.86590207,84.97310410571123,2.3824843463906973
6.0,12,La Union,Dos De Mayo,Huanuco,-9.82626,-76.80129,436553489.68364614,86.84830299565152,1.8751988899402932
