ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon,region_nat,region_agraria,agencia_agraria,k,ha_dep,share,productores,ua_total,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,ua_objetivo_5_mas,est_productores,est_ua_micro_0_5,est_ua_pequeno_5_20,est_ua_mediano_20_100,est_ua_grande_100_mas,est_ua_objetivo_5_mas,gasto_ha,tam_usd,ha_comercial,sam_usd
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010101,AEROPUERTO,3529.484692928348,944.5104422956867,0.2676057624468811,-6.211162749999971,-77.87639983399998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.001812896321922306,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,126.10869394555944,79.57889694710154,33.18506717278781,11.044164393150687,1.3324787966128948,45.561710362551395,450,425029.69903305906,756.5387981501049,340442.4591675472
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010102,TAQUIA,6667.912617994845,1499.8461990896242,0.2249348911744817,-6.256540977999975,-77.81428665399994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.002878809525038056,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,200.25574818069725,126.3682229110705,52.69660835582162,17.537707626531837,2.1159250009029713,72.35024098325643,450,674930.7895903309,1201.3544690001877,540609.5110500845
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010103,MOLINO,1949.6648133184976,915.023537998494,0.4693235123021198,-6.266829395999935,-77.87408786399999,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0017562990648127643,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,122.17167554650551,77.0945037490211,32.149054381397654,10.69937390283936,1.2908798126373817,44.139308096874394,450,411760.5920993223,732.9202269419936,329814.1021238971
10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,01010104,PENCAPAMPA,3193.3407650302224,612.4306315532327,0.1917836762865602,-6.2581085599999255,-77.91189073599998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0011755012858056157,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,81.77022044321025,51.59980444172331,21.517551036671797,7.161153833127811,0.8639934450671276,29.542698314866733,450,275593.7841989547,490.54781524643414,220746.51686089535
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010201,VISTA HERMOSA,595.6949724197626,304.6615802644105,0.5114388980434899,-5.965723329999946,-77.75835636099998,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0005847683980602079,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,40.67765930586418,25.668993601250886,10.704185526492106,3.5624090809827864,0.4298047725742528,14.696399380049145,450,137097.7111189847,244.02938861695776,109813.22487763099
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010202,BATAN - POLLAN,1257.2269130033255,335.8198180687566,0.2671115409600433,-5.984437884999977,-77.75157796799994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0006445736179747549,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,44.8378300135599,28.29420353461984,11.798920077027889,3.926742480702207,0.47376160921144483,16.19942416694154,450,151118.91813094047,268.9866730739523,121044.00288327855
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010203,ASUNCION,1036.963349910637,280.08607149682337,0.2701021897456265,-6.009581135999952,-77.73935117799994,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0005375980890207019,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,37.396398268458064,23.598405715652728,9.840733019523947,3.2750475583141156,0.39513459543021584,13.510915173268279,450,126038.73217357052,224.3447720850664,100955.14743827989
10102,AMAZONAS,CHACHAPOYAS,ASUNCION,01010204,CUELCACHA,600.7720434416435,346.1925103052992,0.5762460388836766,-6.0275512819999335,-77.71729303699993,SIERRA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0006644829961689805,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,46.22276617950662,29.16814559983357,12.163361244873188,4.048030412661429,0.4883950021842007,16.699786659718818,450,155786.62963738464,277.2950450800272,124782.77028601224
10103,AMAZONAS,CHACHAPOYAS,BALSAS,01010301,ACHUPAS,15036.618011126644,1488.3681916057023,0.0989829089562795,-6.765361233999954,-77.93609947999994,SELVA ALTA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0028567786012718534,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,198.72323306167266,125.40115348142928,52.29333229628128,17.403495238948132,2.0997322719348124,71.79655980716421,520,773951.4596349652,1192.1607559418776,619923.5930897763
10103,AMAZONAS,CHACHAPOYAS,BALSAS,01010302,SAN BASILIO,10278.825204461484,542.6781368692665,0.0527957355120426,-6.87231971999995,-77.93897979099995,SELVA ALTA,AMAZONAS,CHACHAPOYAS,AMAZONAS,520995.2885194088,0.0010416181275102836,69562.0,69028.0,43896.0,18305.0,6092.0,735.0,25132.0,72.45704018587034,45.72286932519141,19.06681982407574,6.345537632792648,0.7655893237200584,26.177946780588446,520,282192.6311720186,434.67710579411965,226032.0950129422
