k,ha_cosechada,g_fert,g_plag,n_cultivos,gasto_ha,dep,ua_total,ua_objetivo_5_mas_x,share_comercial,productores_x,compradores_insumos,compran_a_credito,tasa_fert,tasa_pest,tasa_credito,tam_usd,tasa_compra,ha_sam,sam_usd,clientes_sam,ticket_anual,densidad,score,rank,pct_sam,pct_acum,productores_y,ua_objetivo_5_mas_y,ua_micro_0_5,ua_pequeno_5_20,ua_mediano_20_100,ua_grande_100_mas,tasa_fert_e,tasa_pest_e,tasa_credito_e,compran_a_credito_e,prospectos,fundos,sectores,ha_agricola,region_nat,uso_ha
lalibertad,278106.52,78413534.93824,51624182.57061333,101.0,467.5824123391761,La Libertad,126100.0,21886.0,0.6455083057947524,127279.0,14107.358065027756,1104.1929579698651,0.6445836637589215,0.573005551149881,0.0504520222045995,130037717.50885336,0.6445836637589215,115715.7035078694,54106627.79173444,14107.358065027756,3835.34801784504,194.55361129877295,76.60752406400348,1,10.562032169461622,10.562032169461622,127279.0,21886.0,104214.0,19075.0,2431.0,380.0,0.6445836637589215,0.573005551149881,0.0504520222045995,1104.1929579698651,293,18,364,623194.835476467,SIERRA,0.4462593464648534
junin,283502.24,68777508.75333333,40897929.105066665,91.0,386.8591580031255,Junín,132063.0,29074.0,0.7750811323144658,135849.0,16573.080423737156,3595.970983545732,0.5700309700673164,0.4597426985605355,0.1236833935318749,109675437.8584,0.5700309700673164,125257.03047697362,48456829.34429384,16573.080423737156,2923.827562852497,170.9222098008603,75.49862249127709,2,9.4591478207542,20.02117999021582,135849.0,29074.0,102989.0,22667.0,5407.0,1000.0,0.5700309700673164,0.4597426985605355,0.1236833935318749,3595.970983545732,181,8,446,577133.3414644432,SIERRA,0.49122485157525136
sanmartin,553252.8,123327455.33573334,83994791.50986665,42.0,374.7332988565082,San Martín,90651.0,40673.0,0.9007916342443348,91224.0,10249.572668806744,4369.214614289969,0.2519994263714686,0.2403172607031362,0.1074229738226826,207322246.8456,0.2519994263714686,125587.8185766217,47061937.55141012,10249.572668806744,4591.599969297947,85.06407477993807,63.15222027380638,3,9.186854155621988,29.208034145837807,91224.0,40673.0,49978.0,29005.0,11155.0,513.0,0.2519994263714686,0.2403172607031362,0.1074229738226826,4369.214614289969,27,4,263,1323243.095662399,SELVA BAJA,0.4181036740819332
lambayeque,130124.67,40750422.66933333,28816843.053066667,67.0,534.6201125612845,Lambayeque,57324.0,9518.0,0.6091279250404723,59102.0,7442.184704486776,1794.379771125532,0.7819063568487893,0.770026515944456,0.1885248761426278,69567265.7224,0.7819063568487893,61975.90752588504,33133566.657576416,7442.184704486776,4452.129041839114,254.629400078989,60.47217762506557,4,6.467928444429579,35.67596259026739,59102.0,9518.0,47806.0,8629.0,739.0,150.0,0.7819063568487893,0.770026515944456,0.1885248761426278,1794.379771125532,119,40,212,330427.0990191745,COSTA,0.39380750061437586
piura,229836.99322615183,65183714.11897384,43141233.51895558,57.0,471.3120638997453,Piura,139981.0,13471.0,0.4861990364455094,142850.0,7977.839135311221,2046.041469913774,0.5922232302955401,0.5163343596630972,0.1518848986648188,108324947.6379294,0.5922232302955401,66178.88780020649,31190908.195705,7977.839135311221,3909.6937988695377,135.7088245799239,54.79581250188973,5,6.088706489449466,41.76466907971685,142850.0,13471.0,126510.0,11893.0,1282.0,296.0,0.5922232302955401,0.5163343596630972,0.1518848986648188,2046.041469913774,236,112,330,725257.904435112,COSTA,0.3169038101076154
ica,110514.94,38778744.7816,26550024.545066666,72.0,591.130659136825,Ica,32291.0,6792.0,0.7648133074771548,32522.0,3863.6848657520673,974.913133690502,0.5688581957821065,0.5335852095010993,0.1435384472453625,65328769.32666667,0.5688581957821065,48081.77011183071,28422608.45867178,3863.6848657520673,7356.347488536519,257.18340396937987,52.12110398769082,6,5.548312972599695,47.31298205231655,32522.0,6792.0,25499.0,5506.0,1034.0,252.0,0.5688581957821065,0.5335852095010993,0.1435384472453625,974.913133690502,561,400,213,167178.94485662886,COSTA,0.6610577671415298
arequipa,133942.46020272726,34880505.542060606,24215583.746070087,81.0,441.20504579866906,Arequipa,53208.0,10090.0,0.8851114965774322,58202.0,5742.281047962711,1522.185197714629,0.5691061494512103,0.5421741091565179,0.1508607728161178,59096089.28813069,0.5691061494512103,67469.81693286462,29768023.669892352,5742.281047962711,5184.006742486711,222.2448626435356,48.61078475759333,7,5.810948426372431,53.123930478688976,58202.0,10090.0,43118.0,6788.0,1118.0,2184.0,0.5691061494512103,0.5421741091565179,0.1508607728161178,1522.185197714629,402,160,217,167690.46717951604,SIERRA,0.7987482082648094
lima,132510.059,39781954.3848,27236882.76381333,89.0,505.7641484305228,Lima,77241.0,8761.0,0.6384228520136753,78518.0,5448.105449178545,1098.8538211571574,0.621858857342603,0.580443028961303,0.1254256159293639,67018837.14861333,0.621858857342603,52607.67345881642,26607075.1678093,5448.105449178545,4883.729842604472,200.792870885442,47.916432111822736,8,5.193906834101679,58.31783731279066,78518.0,8761.0,68480.0,7333.0,888.0,540.0,0.621858857342603,0.580443028961303,0.1254256159293639,1098.8538211571574,1483,49,440,262930.6952141297,SIERRA,0.5039733337033333
puno,328260.0,55900201.776,43396569.62133333,55.0,302.4942770892991,Puno,212215.0,52381.0,0.8856569730653544,215170.0,15397.98752680065,1235.1366491529816,0.2939613128195462,0.2625497726362416,0.0235798600475932,99296771.39733332,0.2939613128195462,85462.12548579788,25851803.86734139,15397.98752680065,1678.9079626376863,78.75404821586972,47.44442018992689,9,5.046472035486641,63.3643093482773,215170.0,52381.0,159834.0,32983.0,13457.0,5941.0,0.2939613128195462,0.2625497726362416,0.0235798600475932,1235.1366491529816,240,207,525,982833.4443520824,SIERRA,0.3339935183182541
cusco,240627.55,54481420.781333335,32302527.864,61.0,360.6567437740746,Cusco,179128.0,32068.0,0.7820836968420585,182058.0,12417.022910991023,1393.87168951811,0.3872091465320887,0.3169688714215533,0.0434661247822785,86783948.64533333,0.3872091465320887,72869.23152689158,26280779.76380786,12417.022910991023,2116.512142419036,109.21766756885428,47.088114089972855,10,5.130211447889915,68.49452079616722,182058.0,32068.0,147060.0,23082.0,6935.0,2051.0,0.3872091465320887,0.3169688714215533,0.0434661247822785,1393.87168951811,252,39,470,349317.5584920022,SIERRA,0.6888504289300112
