ubigeo,dep,prov,dist,cod_se,sector,ha_se,ha_agricola,intensidad,lat,lon
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1010101,AEROPUERTO,3529.4846929283476,944.5104422956867,0.26760576244688117,-6.211162749999971,-77.87639983399998
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1010102,TAQUIA,6667.912617994845,1499.8461990896242,0.22493489117448173,-6.256540977999975,-77.81428665399994
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1010103,MOLINO,1949.6648133184976,915.0235379984941,0.4693235123021198,-6.266829395999935,-77.87408786399999
010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1010104,PENCAPAMPA,3193.3407650302224,612.4306315532327,0.1917836762865602,-6.2581085599999255,-77.91189073599998
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,1010201,VISTA HERMOSA,595.6949724197626,304.6615802644105,0.5114388980434899,-5.965723329999946,-77.75835636099998
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,1010202,BATAN - POLLAN,1257.2269130033255,335.8198180687566,0.2671115409600433,-5.984437884999977,-77.75157796799994
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,1010203,ASUNCION,1036.963349910637,280.08607149682337,0.27010218974562655,-6.009581135999952,-77.73935117799994
010102,AMAZONAS,CHACHAPOYAS,ASUNCION,1010204,CUELCACHA,600.7720434416435,346.1925103052992,0.5762460388836766,-6.0275512819999335,-77.71729303699993
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1010301,ACHUPAS,15036.618011126644,1488.3681916057023,0.09898290895627958,-6.765361233999954,-77.93609947999994
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1010302,SAN BASILIO,10278.825204461484,542.6781368692665,0.052795735512042676,-6.87231971999995,-77.93897979099995
010103,AMAZONAS,CHACHAPOYAS,BALSAS,1010303,HORNOPAMPA,6558.446883310169,225.9695361789526,0.03445473298777433,-6.804144657999927,-77.99634447699998
010104,AMAZONAS,CHACHAPOYAS,CHETO,1010401,CHETO,1281.0860192458229,618.7465767533984,0.4829859724155411,-6.275737246999938,-77.70892396799997
010104,AMAZONAS,CHACHAPOYAS,CHETO,1010402,GACMAL,874.7258211859323,257.16285758206214,0.2939925304061642,-6.295984905999944,-77.67386647199999
