dep,ha_agricola,ha_territorial,n_sectores,n_distritos,pct_nacional,pct_acum
SAN MARTIN,1323243.095738,5101411.717475,246,77,11.358586670230032,11.358586670230032
CAJAMARCA,1233967.391069,3285919.259185,435,126,10.592252931331403,21.950839601561434
PUNO,982833.387017,6741497.877042,448,109,8.436543704467365,30.3873833060288
HUANUCO,860631.138178,3751640.664215,385,84,7.387571796580207,37.774955102609006
PIURA,725390.649518,3553282.596643,298,63,6.2266809393245826,44.00163604193359
LORETO,684123.994937,37491135.036591,143,53,5.87245209493578,49.87408813686937
UCAYALI,677549.248116,10513113.126262,90,17,5.816015124403546,55.69010326127292
LA LIBERTAD,623194.834885,2524943.487545,295,83,5.349442265960268,61.03954552723319
JUNIN,575062.408617977,4412358.84472916,418,122,4.936278322643019,65.9758238498762
AMAZONAS,520995.418322,3933442.101762,310,84,4.472172673988315,70.44799652386452
ANCASH,498616.866445,3593397.123394,248,165,4.280077418121988,74.72807394198651
AYACUCHO,466107.838375,4350857.674313,387,118,4.0010231656665125,78.72909710765302
CUSCO,351388.2775000551,7200782.63457868,344,112,3.016281904468355,81.74537901212138
LAMBAYEQUE,330294.354433,1449346.154406,192,38,2.8352137740968293,84.5805927862182
APURIMAC,322731.790950655,2111415.366246,400,84,2.770297483930642,87.35089027014885
HUANCAVELICA,292244.74987,2206197.184124,394,99,2.508599765991407,89.85949003614026
LIMA,262930.695565,3501324.8343929998,401,168,2.256970849466836,92.1164608856071
PASCO,255506.36329,2387945.2894530003,111,29,2.1932411221886134,94.3097020077957
MADRE DE DIOS,193494.661587,8462780.308043,63,11,1.6609388637217837,95.97064087151749
AREQUIPA,167690.467192444,6321993.825436,202,109,1.4394382343740364,97.41007910589153
ICA,167178.944784,2108076.660595,208,42,1.4350473770714065,98.84512648296294
TACNA,75721.961245,1599067.560448,52,28,0.6499897580507984,99.49511624101373
TUMBES,32040.679097,464667.31021799997,53,13,0.2750339916138592,99.77015023262759
MOQUEGUA,26705.8985060557,1574546.8272328,105,20,0.2292407674481163,99.9993910000757
CALLAO,70.946762,14041.49122,1,7,0.0006089999243107637,100.00000000000001
