dep,prov,dist,ha_agricola,ha_territorial,n_sectores,intensidad_agricola
AMAZONAS,BAGUA,ARAMANGO,27343.671347,81990.308321,3,0.33349882329929625
AMAZONAS,BAGUA,BAGUA,5695.286737,13311.092252,3,0.42786021080608766
AMAZONAS,BAGUA,COPALLIN,4279.421791,9907.273586,4,0.43194747312189546
AMAZONAS,BAGUA,EL PARCO,988.52055,1818.6091740000002,2,0.5435585414021451
AMAZONAS,BAGUA,IMAZA,43450.237407,459076.76914700004,6,0.09464699659652542
AMAZONAS,BAGUA,LA PECA,7255.590114,13821.658316000001,4,0.5249435305169499
AMAZONAS,BONGARA,CHISQUILLA,1036.627612,16200.766953999999,2,0.06398632947090538
AMAZONAS,BONGARA,CHURUJA,1050.178982,3186.114373,1,0.3296112000559372
AMAZONAS,BONGARA,COROSHA,1241.4862309999999,6427.16961,3,0.1931622014562021
AMAZONAS,BONGARA,CUISPES,1687.646387,9659.926696,3,0.1747059206669574
AMAZONAS,BONGARA,FLORIDA,9980.068373,22240.497513,7,0.4487340432544937
AMAZONAS,BONGARA,JAZAN,2423.707778,7587.9426570000005,4,0.3194156687207026
AMAZONAS,BONGARA,JUMBILLA,3668.194254,15885.962902,3,0.23090789501580572
AMAZONAS,BONGARA,RECTA,1742.352789,2808.600363,2,0.6203633710062295
AMAZONAS,BONGARA,SAN CARLOS,1528.6668450000002,11260.753064,2,0.13575174202931978
AMAZONAS,BONGARA,SHIPASBAMBA,3773.7805930000004,12555.857467,3,0.3005593686387775
AMAZONAS,BONGARA,VALERA,1214.755549,7813.548307,4,0.15546784908358793
AMAZONAS,BONGARA,YAMBRASBAMBA,14904.162606,168211.90809500002,6,0.0886034929083776
AMAZONAS,CHACHAPOYAS,ASUNCION,1266.75997,3490.6572800000004,4,0.36290012693540624
AMAZONAS,CHACHAPOYAS,BALSAS,2257.015863,31873.890102999998,3,0.07081080645338511
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3971.810802,15340.402893,4,0.2589117658580129
AMAZONAS,CHACHAPOYAS,CHETO,1991.7376259999999,7038.847492,5,0.28296359997339177
AMAZONAS,CHACHAPOYAS,CHILIQUIN,2287.9270260000003,14180.205777,4,0.16134653205886268
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,2458.284115,18424.104879,2,0.13342760102293924
AMAZONAS,CHACHAPOYAS,GRANADA,916.673858,17134.473819,2,0.05349880408837082
AMAZONAS,CHACHAPOYAS,HUANCAS,768.235307,4627.070108,2,0.16603061744661166
AMAZONAS,CHACHAPOYAS,LA JALCA,5299.3593120000005,12421.313396,5,0.4266343777870171
