dep,prov,dist,sector,ha_agricola,ha_territorial,intensidad_agricola
AMAZONAS,BAGUA,ARAMANGO,ARAMANGO,8712.072771,25200.27356,0.3457134205411379
AMAZONAS,BAGUA,ARAMANGO,C.N. TUTUMBEROS,8495.611222,33673.733792,0.25229192801952766
AMAZONAS,BAGUA,ARAMANGO,EL PORVENIR,10135.987354,23116.300969,0.43847791078654047
AMAZONAS,BAGUA,BAGUA,CASUAL,1431.529032,4224.630481,0.33885307565672507
AMAZONAS,BAGUA,BAGUA,ESPITAL,2451.733207,5328.455337,0.46012081399566773
AMAZONAS,BAGUA,BAGUA,TOMAQUE,1812.024498,3758.006434,0.48217706111569686
AMAZONAS,BAGUA,COPALLIN,ALENYA,1174.975502,3231.505422,0.36360004040246974
AMAZONAS,BAGUA,COPALLIN,CHONZA LAGUNA,1816.368858,2876.91735,0.6313594160082492
AMAZONAS,BAGUA,COPALLIN,COPALLIN,581.064174,666.109001,0.8723259603573499
AMAZONAS,BAGUA,COPALLIN,LLUHUANA,707.013257,3132.741813,0.2256851343657154
AMAZONAS,BAGUA,EL PARCO,EL PARCO,463.095899,1014.219421,0.45660326494576164
AMAZONAS,BAGUA,EL PARCO,SAN JOSE,525.424651,804.389753,0.6531965990869603
AMAZONAS,BAGUA,IMAZA,CHIRIACO,8162.151548,63306.735752,0.1289302228435011
AMAZONAS,BAGUA,IMAZA,KUN CHIN,8905.8033,178933.045133,0.04977170814580595
AMAZONAS,BAGUA,IMAZA,MESONES MURO,12288.302682,84389.63854,0.1456138797913614
AMAZONAS,BAGUA,IMAZA,PUERTO PACUI,3649.712684,27427.539062,0.13306745004536566
AMAZONAS,BAGUA,IMAZA,SAN RAMON,6455.563411,68754.31974,0.09389320460753932
AMAZONAS,BAGUA,IMAZA,VILLA RICA,3988.703782,36265.49092,0.10998620674400622
AMAZONAS,BAGUA,LA PECA,ARRAYAN,3230.607421,5713.778386,0.5654064968490362
AMAZONAS,BAGUA,LA PECA,LIMONYACO ALTO,588.502807,1393.579518,0.4222958212277629
AMAZONAS,BAGUA,LA PECA,SAN FRANCISCO,2695.797212,5249.199696,0.513563470266573
AMAZONAS,BAGUA,LA PECA,SAN ISIDRO,740.682674,1465.100716,0.5055506873426442
AMAZONAS,BONGARA,CHISQUILLA,CHILAC,634.147992,7002.645296,0.09055834833762513
AMAZONAS,BONGARA,CHISQUILLA,CHISQUILLA,402.47962,9198.121658,0.0437567184871866
AMAZONAS,BONGARA,CHURUJA,CHURUJA,1050.178982,3186.114373,0.3296112000559372
AMAZONAS,BONGARA,COROSHA,BEIRUT,294.112489,3078.992675,0.09552230876937698
AMAZONAS,BONGARA,COROSHA,COROSHA,550.505009,1245.79182,0.4418916548994518
AMAZONAS,BONGARA,COROSHA,GOQUETE,396.868733,2102.385115,0.18877071102170548
AMAZONAS,BONGARA,CUISPES,CHINATA,497.180132,2184.713969,0.22757218521725855
AMAZONAS,BONGARA,CUISPES,CUISPES,846.015437,3114.995981,0.2715943911839031
AMAZONAS,BONGARA,CUISPES,FANRE,344.450818,4360.216746,0.07899855398610499
AMAZONAS,BONGARA,FLORIDA,CARRERA,1954.746343,6583.851665,0.2969001190278183
AMAZONAS,BONGARA,FLORIDA,EL CHIDO,1467.584341,2827.464223,0.5190461223388573
AMAZONAS,BONGARA,FLORIDA,MIRAFLORES,1228.458722,2381.29531,0.5158783611764641
AMAZONAS,BONGARA,FLORIDA,NUEVO GALULO,1304.05238,3305.790598,0.3944751917405024
AMAZONAS,BONGARA,FLORIDA,POMACOCHAS,2531.547365,4380.258419,0.5779447518482128
AMAZONAS,BONGARA,FLORIDA,SAN JOSE,845.237099,1976.415416,0.42766166067994277
AMAZONAS,BONGARA,FLORIDA,SAN LORENZO,648.442123,785.421882,0.825597220883133
AMAZONAS,BONGARA,JAZAN,CHOSGON,733.743735,2546.23661,0.28816793070931457
AMAZONAS,BONGARA,JAZAN,CUCHULIA,235.925022,1283.65907,0.18379102949819848
AMAZONAS,BONGARA,JAZAN,SAN JERONIMO,1275.710868,3254.451794,0.39198948048698606
AMAZONAS,BONGARA,JAZAN,SUYOBAMBA,178.328153,503.595183,0.35411012459982166
AMAZONAS,BONGARA,JUMBILLA,CEBADA - LAS PALMAS,962.357652,5966.525586,0.16129280569216017
AMAZONAS,BONGARA,JUMBILLA,JUMBILLA,765.632421,889.830347,0.8604251625956291
AMAZONAS,BONGARA,JUMBILLA,JUMPAMPA,1940.204181,9029.606969,0.21487138783127693
AMAZONAS,BONGARA,RECTA,CHUELTA,1003.283416,1836.395504,0.5463329733789197
AMAZONAS,BONGARA,RECTA,TEATA,739.069373,972.204859,0.7601992174367439
AMAZONAS,BONGARA,SAN CARLOS,SAN CARLOS,579.123631,1588.308771,0.3646165289607911
AMAZONAS,BONGARA,SAN CARLOS,TACALA,949.543214,9672.444293,0.09816993360067108
AMAZONAS,BONGARA,SHIPASBAMBA,COMBOCA,855.444266,4136.707125,0.2067935292856876
AMAZONAS,BONGARA,SHIPASBAMBA,LA UNION,43.018503,894.725457,0.04808011514978052
AMAZONAS,BONGARA,SHIPASBAMBA,SHIPASBAMBA,2875.317824,7524.424885,0.382131241649042
AMAZONAS,BONGARA,VALERA,LA COCA,657.992913,6598.900303,0.09971251008306073
AMAZONAS,BONGARA,VALERA,MATIAZA RIMACHI,140.761905,232.898767,0.6043909412367134
