cod_se,ubigeo,dep,prov,dist,sector,region_nat,lat,lon,alt_m,piso,ha_agricola,s_sam_usd,s_clientes_sam
1010101,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,AEROPUERTO,SIERRA,-6.211162749999971,-77.87639983399998,2437.984517684353,quechua,944.5104422956867,33716.55547272396,9.638663389122357
1010102,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,TAQUIA,SIERRA,-6.256540977999975,-77.81428665399994,2400.992232013766,quechua,1499.8461990896242,53540.59130277805,15.305826173125306
1010103,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,MOLINO,SIERRA,-6.266829395999935,-77.87408786399999,2742.7551541199678,quechua,915.023537998494,32663.950017098978,9.337751581078066
1010104,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PENCAPAMPA,SIERRA,-6.2581085599999255,-77.91189073599998,1944.6819511159074,yunga,612.4306315532327,21862.17371167569,6.249812010952063
1010201,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,VISTA HERMOSA,SIERRA,-5.965723329999946,-77.75835636099998,2599.7450517529523,quechua,304.6615802644105,10875.622556830303,3.109050242609632
1010202,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,BATAN - POLLAN,SIERRA,-5.984437884999977,-77.75157796799994,2933.703696599735,quechua,335.8198180687566,11987.890252684616,3.427017892881836
1010203,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,ASUNCION,SIERRA,-6.009581135999952,-77.73935117799994,2853.6348237286315,quechua,280.08607149682337,9998.341091716164,2.858258884441628
1010204,010102,AMAZONAS,CHACHAPOYAS,ASUNCION,CUELCACHA,SIERRA,-6.0275512819999335,-77.71729303699993,2847.2628470661566,quechua,346.1925103052992,12358.168269246124,3.5328704959128747
1010301,010103,AMAZONAS,CHACHAPOYAS,BALSAS,ACHUPAS,SELVA ALTA,-6.765361233999954,-77.93609947999994,2079.482324927891,ceja de selva,1488.3681916057023,53130.85641926806,15.188693904850483
1010302,010103,AMAZONAS,CHACHAPOYAS,BALSAS,SAN BASILIO,SELVA ALTA,-6.87231971999995,-77.93897979099995,2564.195170029104,ceja de selva,542.6781368692665,19372.191863876724,5.5379926527921
1010303,010103,AMAZONAS,CHACHAPOYAS,BALSAS,HORNOPAMPA,SELVA ALTA,-6.804144657999927,-77.99634447699998,1485.619086101597,ceja de selva,225.9695361789526,8066.522147923691,2.3060034043998168
1010401,010104,AMAZONAS,CHACHAPOYAS,CHETO,CHETO,SIERRA,-6.275737246999938,-77.70892396799997,2364.4538213835126,quechua,618.7465767533984,22087.636456361157,6.314265792554068
1010402,010104,AMAZONAS,CHACHAPOYAS,CHETO,GACMAL,SIERRA,-6.295984905999944,-77.67386647199999,2323.3062119217,quechua,257.16285758206214,9180.04223660599,2.6243290803579384
1010403,010104,AMAZONAS,CHACHAPOYAS,CHETO,HUAMAZAN,SIERRA,-6.278197987999931,-77.64197628199997,2784.3953741051187,quechua,61.742996536253145,2204.063686905295,0.6300829864858015
1010404,010104,AMAZONAS,CHACHAPOYAS,CHETO,YAMIA,SIERRA,-6.303895157999932,-77.64631825699996,2458.5447035074767,quechua,121.1238538009562,4323.805172364155,1.2360605059517156
1010405,010104,AMAZONAS,CHACHAPOYAS,CHETO,HUACAPAMPA,SIERRA,-6.313207606999981,-77.70108261299998,2448.6516732151044,quechua,932.961352934628,33304.283151885305,9.520805735233878
1010501,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,SENGANCHE,SIERRA,-6.039875628999937,-77.78594772299994,2687.982282161844,quechua,394.7412513259656,14091.231501215949,4.028307022296334
1010502,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,VITUYA,SIERRA,-6.056148140999937,-77.75879851999997,2631.380586896702,quechua,733.9118582310239,26198.736162188045,7.489519482262722
1010503,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CHILIQUIN,SIERRA,-6.092866840999932,-77.74182801799998,2550.9927291429403,quechua,825.8260260587833,29479.831848924496,8.427497173890748
1010504,010105,AMAZONAS,CHACHAPOYAS,CHILIQUIN,CUELCHO,SIERRA,-6.131928744999925,-77.74395311699999,2404.6051936615722,quechua,333.44788992769764,11903.218614167894,3.402812531129258
1010601,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUQUIBAMBA,SIERRA,-6.931201705999968,-77.85445405999997,2905.2326945909576,quechua,964.3921093311352,34426.27904958736,9.84155441879009
1010602,010106,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,CHUMBOL,SIERRA,-6.940220611999962,-77.95374894999998,2600.9851360614803,quechua,1493.8920303013322,53328.04303093844,15.245064294651126
1010701,010107,AMAZONAS,CHACHAPOYAS,GRANADA,GRANADA,SIERRA,-6.075865561999933,-77.59529466099997,3591.168539934665,suni,829.8542376089355,29623.628478484738,8.468604792667012
1010702,010107,AMAZONAS,CHACHAPOYAS,GRANADA,CALVICHE,SIERRA,-6.126326628999948,-77.55618421699995,3197.9510449091563,quechua,86.81962207546523,3099.2337117136394,0.8859882064641598
1010801,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,HUANCAS,SIERRA,-6.142778094999926,-77.88025713399998,2614.253147761488,quechua,448.9071631056121,16024.813055709115,4.581066385697281
1010802,010108,AMAZONAS,CHACHAPOYAS,HUANCAS,MARIPAMPA,SIERRA,-6.185732946999963,-77.86327172199998,2415.9877237763203,quechua,319.32813959931826,11399.180412058977,3.258721460814661
